Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2071 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2072 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2073 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2074 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2075 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2076 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2077 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2078 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2079 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2080 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2081 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2082 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2083 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2084 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2085 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2086 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2087 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2088 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2089 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2090 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2091 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2092 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2093 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2094 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2095 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2096 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2097 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2098 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2099 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
2100 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
