Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2071 280.2529 29.48613 -3.896953 0 -3.837234 0 -3.858387 0 -3.808139 0 4.413689 4.26871 76.73124 76.73124 NA 215 
2072 330.5324 31.34933 -2.769227 0 -2.417549 0 -2.33578 0 -2.245965 0 0 0 90.74656 90.74656 NA NA 
2073 282.1982 28.21795 -3.840773 0 -3.756879 0 -3.75281 0 -3.726785 0 0 0 79.05464 79.05464 NA 235 
2074 371.3921 33.71586 -2.863303 0 -2.5773 0 -2.512703 0 -2.434925 0 0 0 90.44171 90.44171 NA NA 
2075 376.518 35.95531 -2.464169 0 -1.938157 0 -1.733668 0 -1.70194 0 0 0 91.73981 91.73981 NA NA 
2076 252.6196 27.88656 -4.597076 0 -4.565777 0 -4.617207 0 -4.552495 0 9.96547 9.823366 68.64886 68.64886 NA 148 
2077 297.1201 30.05687 -4.055554 0 -4.01211 0 -4.037067 0 -3.991311 0 0 0 76.98631 76.98631 NA 215 
2078 318.4416 31.80436 -3.411514 0 -3.323413 0 -3.275283 0 -3.279363 0 0 0 83.96875 83.96875 NA 211 
2079 314.3608 31.95807 -3.755057 0 -3.681864 0 -3.692271 0 -3.647007 0 0 0 79.94613 79.94613 NA 213 
2080 370.8891 34.46007 -2.517999 0 -1.993624 0 -1.825218 0 -1.75084 0 0 0 91.56402 91.56402 NA NA 
2081 299.5299 31.65058 -3.899632 0 -3.838 0 -3.855141 0 -3.809133 0 0 0 78.46517 78.46517 NA 208 
2082 285.4544 29.11467 -3.619625 0 -3.543614 0 -3.532078 0 -3.507063 0 0 0 81.44076 81.44076 NA 185 
2083 372.6309 36.42837 -2.84376 0 -2.662707 0 -2.599387 0 -2.573284 0 0 0 90.50498 90.50498 NA NA 
2084 313.85 31.43224 -4.039057 0 -3.980785 0 -4.005511 0 -3.953055 0 0 0 77.13738 77.13738 NA 198 
2085 360.3948 33.71607 -2.377541 0 -1.84409 0 -1.628629 0 -1.599025 0 0 0 92.02316 92.02316 NA NA 
2086 316.9574 31.97001 -3.441126 0 -3.317826 0 -3.261318 0 -3.256798 0 0 0 83.59038 83.59038 NA 198 
2087 279.1771 28.53786 -4.192633 0 -4.164108 0 -4.17448 0 -4.150756 0 0 0 75.77704 75.77704 NA 201 
2088 232.8209 30.04867 -5.875149 0 -5.852826 0 -5.916113 0 -5.845797 0 34.15019 33.96077 41.13367 41.13367 NA 179 
2089 221.8114 29.49697 -5.993821 0 -5.922477 0 -6.016322 0 -5.90877 0 36.05385 35.67552 38.40579 38.40579 NA 179 
2090 193.7217 26.27578 -6.043961 0 -5.99622 0 -6.10152 0 -5.977546 0 38.11816 37.59101 37.96999 37.96999 NA 173 
2091 238.3012 25.48742 -5.620194 0 -5.590478 0 -5.639944 0 -5.577171 0 0 0 66.68947 66.68947 NA 187 
2092 333.3396 32.67564 -3.310797 0 -3.164541 0 -3.096097 0 -3.092001 0 0 0 85.30631 85.30631 NA 204 
2093 346.5671 31.3222 -3.765069 0 -3.685208 0 -3.710504 0 -3.646898 0 0 0 79.83991 79.83991 NA 209 
2094 337.3704 32.8954 -4.555922 0 -4.512064 0 -4.561675 0 -4.491525 0 0 0 72.92418 72.92418 NA 204 
2095 329.0929 32.34478 -4.561682 0 -4.476914 0 -4.498743 0 -4.43453 0 0 0 72.88261 72.88261 NA 207 
2096 362.668 33.71994 -2.787826 0 -2.569083 0 -2.493748 0 -2.466374 0 0 0 90.68623 90.68623 NA NA 
2097 280.9358 28.90107 -5.054659 0 -4.990407 0 -5.057968 0 -4.962274 0 0 0 69.67559 69.67559 NA 197 
2098 290.5118 29.21521 -5.039752 0 -5.007382 0 -5.066449 0 -4.993212 0 0 0 69.76337 69.76337 NA 189 
2099 290.0419 30.53319 -6.231876 0 -5.920745 0 -5.959075 0 -5.879747 0 0 0 64.0698 64.0698 NA 174 
2100 346.198 32.41083 -2.985234 0 -2.778274 0 -2.735291 0 -2.675588 0 0 0 90.04764 90.04764 NA 236 
