Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 229.909 26.91381 -3.796919 0 -3.747417 0 -3.781109 0 -3.722201 0 3.980667 3.86663 62.34469 62.34469 NA 202 26 0 0 
1986 200.7668 25.03824 -5.465221 0 -5.450969 0 -5.486338 0 -5.445848 0 24.25339 24.14069 46.34472 41.47934 NA 203 137 42 0 
1987 268.7291 28.71752 -3.549719 0 -3.512981 0 -3.509271 0 -3.494941 0 0 0 65.76838 65.76838 NA 243 7 0 0 
1988 282.9151 29.61462 -2.632635 0 -2.291755 0 -2.179148 0 -2.128484 0 0 0 70.15479 70.15479 NA NA 0 0 0 
1989 215.8243 25.0805 -4.857499 0 -4.822548 0 -4.90221 0 -4.807975 0 0 0 57.1081 57.1081 NA 194 57 0 0 
1990 266.281 28.90553 -3.406021 0 -3.299847 0 -3.275989 0 -3.266517 0 0 0 67.12549 67.12549 NA 204 0 0 0 
1991 304.8228 32.56763 -2.228712 0 -1.611941 0 -1.341249 0 -1.303556 0 0 0 71.0853 71.0853 NA NA 0 0 0 
1992 249.1595 27.44785 -3.572516 0 -3.527398 0 -3.517205 0 -3.50484 0 0 0 65.56312 65.56312 NA 234 18 0 0 
1993 269.5043 28.5599 -2.877042 0 -2.713088 0 -2.682455 0 -2.635354 0 0 0 69.59619 69.59619 NA 243 0 0 0 
1994 269.1253 27.89307 -4.075253 0 -4.03719 0 -4.068263 0 -4.023049 0 0 0 61.62021 61.62021 NA 214 22 0 0 
1995 304.3401 31.65147 -2.879813 0 -2.640052 0 -2.596701 0 -2.573481 0 0 0 69.58987 69.58987 NA NA 0 0 0 
1996 265.4428 27.0718 -3.113978 0 -2.947768 0 -2.968135 0 -2.873542 0 0 0 69.05796 69.05796 NA 214 0 0 0 
1997 248.2464 27.73476 -4.073543 0 -4.047223 0 -4.07322 0 -4.034063 0 0 0 61.63197 61.63197 NA 200 22 0 0 
1998 320.115 33.23172 -2.755084 0 -2.493135 0 -2.415881 0 -2.385081 0 0 0 69.8745 69.8745 NA NA 0 0 0 
1999 234.5322 26.36264 -4.056189 0 -4.040361 0 -4.063384 0 -4.032447 0 0 0 61.7519 61.7519 NA 220 40 0 0 
2000 212.949 28.08942 -5.890072 0 -5.858803 0 -5.915991 0 -5.845341 0 34.31164 33.9485 41.45801 32.82819 NA 192 168 35 6 
2001 285.7035 31.024 -4.061441 0 -4.020684 0 -4.052213 0 -4.000306 0 0 0 61.7155 61.7155 NA 197 18 0 0 
2002 297.4842 30.81885 -3.231486 0 -3.080021 0 -3.05935 0 -3.007107 0 0 0 68.79227 68.79227 NA 230 0 0 0 
2003 228.8152 26.07292 -3.5968 0 -3.547648 0 -3.540396 0 -3.523071 0 0 0 65.34732 65.34732 NA 192 13 0 0 
2004 282.3956 29.12963 -3.433164 0 -3.32449 0 -3.3425 0 -3.280472 0 0 0 66.86044 66.86044 NA 209 1 0 0 
2005 217.0602 24.56945 -4.392335 0 -4.367232 0 -4.393033 0 -4.354681 0 0 0 59.59754 59.59754 NA 177 34 0 0 
