Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 286.9 30.88222 -3.726533 0 -3.670159 0 -3.696564 0 -3.644476 0 3.641048 3.534448 63.0414 63.0414 NA 227 9 0 0 
2007 242.8975 26.39875 -4.069499 0 -4.024982 0 -4.062182 0 -4.003019 0 5.468023 5.333377 59.8225 59.8225 NA 215 29 0 0 
2008 275.3035 28.37686 -3.458123 0 -3.415935 0 -3.417749 0 -3.394841 0 0 0 66.6204 66.6204 NA 205 3 0 0 
2009 301.0401 30.28274 -2.826954 0 -2.641366 0 -2.603566 0 -2.555447 0 0 0 69.71038 69.71038 NA NA 0 0 0 
2010 296.0147 30.48124 -3.658327 0 -3.593437 0 -3.604877 0 -3.560992 0 0 0 64.81341 64.81341 NA 209 9 0 0 
2011 279.0824 28.90537 -3.777209 0 -3.636578 0 -3.631423 0 -3.573479 0 0 0 63.83106 63.83106 NA 213 5 0 0 
2012 271.9683 28.96716 -3.609945 0 -3.571735 0 -3.58224 0 -3.55263 0 0 0 65.23173 65.23173 NA 230 8 0 0 
2013 306.4407 31.29856 -3.354105 0 -3.24282 0 -3.212612 0 -3.187178 0 0 0 67.64439 67.64439 NA 252 0 0 0 
2014 264.4768 27.59745 -3.527345 0 -3.432458 0 -3.434373 0 -3.391281 0 0 0 65.97242 65.97242 NA 218 6 0 0 
2015 289.2216 29.31404 -2.852942 0 -2.541478 0 -2.533766 0 -2.429927 0 0 0 69.65111 69.65111 NA NA 0 0 0 
2016 212.8539 25.403 -4.415624 0 -4.397668 0 -4.430344 0 -4.390353 0 8.295959 8.22942 56.67287 56.67287 NA 198 60 3 0 
2017 288.9128 30.39762 -3.805139 0 -3.757456 0 -3.786106 0 -3.733614 0 0 0 63.60917 63.60917 NA 224 11 0 0 
2018 315.8854 31.99088 -3.241935 0 -3.168742 0 -3.129899 0 -3.133756 0 0 0 68.76868 68.76868 NA 230 0 0 0 
2019 298.1517 30.43598 -3.191559 0 -3.060144 0 -3.051151 0 -2.997028 0 0 0 68.88245 68.88245 NA 259 0 0 0 
2020 298.8253 31.25097 -3.555625 0 -3.501977 0 -3.49107 0 -3.475153 0 0 0 65.71495 65.71495 NA 237 7 0 0 
2021 299.1978 28.44531 -2.987222 0 -2.809801 0 -2.794175 0 -2.742877 0 0 0 69.34549 69.34549 NA 257 0 0 0 
2022 304.2999 29.90059 -3.272283 0 -3.201078 0 -3.174829 0 -3.174242 0 0 0 68.49561 68.49561 NA 250 0 0 0 
2023 278.3302 28.53384 -3.200827 0 -3.061627 0 -3.051515 0 -2.992612 0 0 0 68.86151 68.86151 NA 219 0 0 0 
2024 243.1043 26.91634 -4.081109 0 -4.042634 0 -4.068378 0 -4.023396 0 0 0 61.58001 61.58001 NA 208 18 0 0 
2025 275.366 29.35814 -3.644356 0 -3.606686 0 -3.597734 0 -3.587851 0 0 0 64.93306 64.93306 NA 218 11 0 0 
2026 280.1175 29.22634 -3.463856 0 -3.36939 0 -3.370363 0 -3.332693 0 0 0 66.56575 66.56575 NA 202 2 0 0 
2027 259.1036 27.21171 -3.709439 0 -3.647805 0 -3.670233 0 -3.616989 0 0 0 64.38334 64.38334 NA 212 8 0 0 
2028 288.3725 30.07286 -4.228796 0 -4.188645 0 -4.254751 0 -4.170524 0 0 0 60.60288 60.60288 NA 202 23 0 0 
