Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 278.4588 28.35113 -2.956438 0 -2.767549 0 -2.725684 0 -2.672196 0 1.27096 1.128017 68.98978 68.98978 NA 264 0 0 0 
1986 271.3767 30.3897 -3.94406 0 -3.870031 0 -3.920162 0 -3.833418 0 4.582739 4.394409 61.01962 61.01962 NA 201 17 0 0 
1987 289.5594 31.62719 -3.623127 0 -3.547884 0 -3.558468 0 -3.510262 0 0 0 65.11665 65.11665 NA 199 6 0 0 
1988 274.2173 28.49608 -3.564545 0 -3.523963 0 -3.508854 0 -3.503672 0 0 0 65.63459 65.63459 NA 248 10 0 0 
1989 254.5828 27.94985 -3.674169 0 -3.619782 0 -3.618548 0 -3.592588 0 0 0 64.67883 64.67883 NA 202 21 0 0 
1990 187.4448 22.61923 -4.594373 0 -4.562375 0 -4.605882 0 -4.54771 0 9.928899 9.77262 55.11811 55.11811 NA 167 108 5 0 
1991 270.6477 24.00806 -3.252571 0 -3.134046 0 -3.09376 0 -3.077249 0 0 0 68.70709 68.70709 NA 201 0 0 0 
1992 318.3413 31.34763 -2.973291 0 -2.7832 0 -2.757618 0 -2.691755 0 0 0 69.37715 69.37715 NA 232 0 0 0 
1993 229.3763 25.19367 -3.744376 0 -3.710406 0 -3.727332 0 -3.697718 0 0 0 64.09614 64.09614 NA 204 15 0 0 
1994 280.1339 28.09201 -2.798303 0 -2.555174 0 -2.490808 0 -2.439301 0 0 0 69.77577 69.77577 NA NA 0 0 0 
1995 291.5449 29.47496 -3.329386 0 -3.233208 0 -3.193224 0 -3.185394 0 0 0 67.89714 67.89714 NA 224 0 0 0 
1996 309.8008 31.15286 -2.581909 0 -2.244376 0 -2.138927 0 -2.099324 0 0 0 70.27115 70.27115 NA NA 0 0 0 
1997 274.5851 26.85826 -3.390346 0 -3.309481 0 -3.295077 0 -3.269048 0 0 0 67.28048 67.28048 NA 222 0 0 0 
1998 252.5204 26.19992 -3.580598 0 -3.522534 0 -3.519028 0 -3.497049 0 0 0 65.49097 65.49097 NA 215 6 0 0 
1999 214.035 24.50598 -4.119722 0 -4.087679 0 -4.121533 0 -4.071657 0 0 0 61.31777 61.31777 NA 192 59 0 0 
2000 317.3774 31.77873 -2.409515 0 -1.891255 0 -1.688715 0 -1.678458 0 0 0 70.66768 70.66768 NA NA 0 0 0 
2001 304.3607 31.19626 -2.326646 0 -1.647586 0 -1.36181 0 -1.308056 0 0 0 70.85887 70.85887 NA NA 0 0 0 
2002 301.6969 29.54969 -2.537097 0 -2.205835 0 -2.117249 0 -2.102331 0 0 0 70.37406 70.37406 NA NA 0 0 0 
2003 291.3979 29.157 -2.931117 0 -2.742677 0 -2.716553 0 -2.651615 0 0 0 69.47306 69.47306 NA 222 0 0 0 
2004 308.1828 29.2385 -2.539585 0 -2.150961 0 -2.014496 0 -1.961599 0 0 0 70.36834 70.36834 NA NA 0 0 0 
2005 291.8046 29.89811 -2.930436 0 -2.716378 0 -2.684347 0 -2.622281 0 0 0 69.47461 69.47461 NA 241 0 0 0 
