Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 346.1039 32.18717 -2.489359 0 -1.931022 0 -1.713832 0 -1.692938 0 0.4666011 0.3510519 70.3387 70.3387 NA NA 0 0 0 
2007 275.3733 27.96381 -3.227051 0 -3.133052 0 -3.091739 0 -3.085918 0 1.944865 1.839883 68.1518 68.1518 NA 224 0 0 0 
2008 281.1308 28.73686 -2.634627 0 -2.211277 0 -2.080582 0 -2.020342 0 0 0 70.15022 70.15022 NA NA 0 0 0 
2009 249.249 27.2128 -3.644848 0 -3.577176 0 -3.569955 0 -3.542224 0 3.269193 3.139127 63.83034 63.83034 NA 206 12 0 0 
2010 292.2951 27.95537 -2.586381 0 -2.315198 0 -2.209184 0 -2.200572 0 0 0 70.26088 70.26088 NA NA 0 0 0 
2011 272.7929 27.05762 -3.470094 0 -3.39174 0 -3.376867 0 -3.352564 0 0 0 66.50649 66.50649 NA 206 1 0 0 
2012 292.593 29.27501 -2.500894 0 -2.172973 0 -2.019663 0 -2.011474 0 0 0 70.45729 70.45729 NA NA 0 0 0 
2013 281.126 28.59535 -2.759705 0 -2.416631 0 -2.346362 0 -2.250138 0 0 0 69.86394 69.86394 NA NA 0 0 0 
2014 281.4471 29.10259 -2.710993 0 -2.395892 0 -2.339332 0 -2.243394 0 0 0 69.97533 69.97533 NA NA 0 0 0 
2015 298.9531 29.86667 -3.266046 0 -3.149731 0 -3.094574 0 -3.092095 0 0 0 68.56225 68.56225 NA 222 0 0 0 
2016 304.9762 31.23206 -2.361021 0 -1.80562 0 -1.585061 0 -1.559325 0 0 0 70.77951 70.77951 NA NA 0 0 0 
2017 318.05 31.25545 -2.561673 0 -2.023317 0 -1.886031 0 -1.804653 0 0 0 70.31761 70.31761 NA NA 0 0 0 
2018 283.6455 27.10912 -3.067211 0 -2.956135 0 -2.942897 0 -2.903314 0 0 0 69.16394 69.16394 NA 231 0 0 0 
2019 305.1844 28.69202 -3.286574 0 -3.208313 0 -3.179122 0 -3.169182 0 0 0 68.34388 68.34388 NA 226 0 0 0 
2020 336.48 33.6571 -3.045856 0 -2.875116 0 -2.875469 0 -2.791355 0 0 0 69.21237 69.21237 NA 230 0 0 0 
2021 251.7994 26.21529 -4.385022 0 -4.369504 0 -4.394418 0 -4.362426 0 8.042432 7.979841 56.93852 56.93852 NA 207 28 1 0 
2022 328.9262 31.96679 -2.741381 0 -2.446012 0 -2.368166 0 -2.341135 0 0 0 69.90582 69.90582 NA NA 0 0 0 
2023 243.7339 26.65289 -3.475283 0 -3.397648 0 -3.377338 0 -3.35883 0 0 0 66.45735 66.45735 NA 185 5 0 0 
2024 324.582 30.34088 -2.456347 0 -2.024623 0 -1.882042 0 -1.87225 0 0 0 70.55979 70.55979 NA NA 0 0 0 
2025 234.7038 27.01339 -4.876425 0 -4.869645 0 -4.895063 0 -4.867226 0 13.74758 13.71307 52.39944 48.79456 NA 217 72 39 0 
2026 266.8774 29.52984 -4.946135 0 -4.931001 0 -4.972136 0 -4.92436 0 14.64401 14.54468 51.76626 47.89697 NA 190 94 3 0 
2027 285.5339 29.02467 -3.669424 0 -3.580325 0 -3.605872 0 -3.535776 0 0 0 64.71902 64.71902 NA 197 11 0 0 
2028 305.2347 29.29225 -3.737449 0 -3.69218 0 -3.716634 0 -3.669546 0 0 0 64.15265 64.15265 NA 202 8 0 0 
2029 280.8583 27.76409 -3.303068 0 -3.23794 0 -3.210515 0 -3.208252 0 0 0 68.17039 68.17039 NA 246 0 0 0 
2030 242.9429 25.0387 -3.744892 0 -3.724438 0 -3.724666 0 -3.714211 0 0 0 64.09193 64.09193 NA 245 23 0 0 
2031 242.8722 27.04185 -4.573169 0 -4.569306 0 -4.584139 0 -4.567831 0 0 0 58.56959 58.56959 NA 202 64 0 0 
2032 255.1887 27.09663 -3.595229 0 -3.515528 0 -3.514386 0 -3.488156 0 0 0 65.3612 65.3612 NA 212 9 0 0 
2033 309.6276 30.38478 -2.440436 0 -1.917255 0 -1.724292 0 -1.675218 0 0 0 70.59643 70.59643 NA NA 0 0 0 
2034 312.3938 32.83869 -3.330198 0 -3.249259 0 -3.229577 0 -3.21202 0 0 0 67.88878 67.88878 NA 198 0 0 0 
2035 230.1936 26.16695 -3.946562 0 -3.864609 0 -3.868498 0 -3.826873 0 0 0 62.53386 62.53386 NA 213 39 0 0 
2036 301.9791 29.65449 -3.895646 0 -3.861703 0 -3.874537 0 -3.844732 0 0 0 62.912 62.912 NA 227 22 0 0 
2037 307.6068 29.37632 -2.342542 0 -1.751001 0 -1.517617 0 -1.51432 0 0 0 70.82216 70.82216 NA NA 0 0 0 
2038 273.4678 26.43892 -3.806415 0 -3.734784 0 -3.750611 0 -3.698969 0 0 0 63.59911 63.59911 NA 218 23 0 0 
2039 273.1142 26.88794 -3.579056 0 -3.505721 0 -3.499148 0 -3.474673 0 0 0 65.50471 65.50471 NA 198 11 0 0 
2040 266.3049 26.44899 -4.059527 0 -3.994665 0 -4.03256 0 -3.962234 0 0 0 61.72875 61.72875 NA 208 17 0 0 
2041 268.792 26.62218 -4.680811 0 -4.582868 0 -4.619545 0 -4.559973 0 0 0 57.99541 57.99541 NA 187 32 0 0 
2042 263.1493 26.75059 -4.563364 0 -4.503679 0 -4.567108 0 -4.49005 0 0 0 58.62324 58.62324 NA 208 24 0 0 
2043 284.6854 25.62901 -3.068501 0 -2.889458 0 -2.889884 0 -2.80727 0 0 0 69.16101 69.16101 NA 267 0 0 0 
2044 241.6997 25.12231 -4.590734 0 -4.565813 0 -4.616734 0 -4.553994 0 0 0 58.47406 58.47406 NA 195 46 0 0 
2045 224.114 25.97885 -5.524634 0 -5.488342 0 -5.550472 0 -5.471141 0 25.08677 24.70085 45.84001 38.2385 NA 190 157 16 0 
2046 263.0742 26.78761 -4.87801 0 -4.831922 0 -4.902519 0 -4.808878 0 0 0 57.00926 57.00926 NA 182 30 0 0 
2047 238.9943 24.92171 -5.512311 0 -5.484659 0 -5.543199 0 -5.475829 0 0 24.80565 54.31572 54.31572 NA 188 57 15 0 
2048 284.0436 26.42217 -4.020317 0 -3.953479 0 -4.003645 0 -3.920059 0 0 0 62.00307 62.00307 NA 207 19 0 0 
2049 248.5774 29.00044 -5.709119 0 -5.537928 0 -5.576585 0 -5.421749 0 26.32445 0 44.75626 35.38542 NA 200 154 23 0 
2050 349.4207 30.14226 -2.362407 0 -1.899409 0 -1.721849 0 -1.688824 0 0 0 70.77631 70.77631 NA NA 0 0 0 
2051 297.5895 27.25206 -3.208452 0 -3.14651 0 -3.135879 0 -3.123168 0 0 0 68.84428 68.84428 NA 216 0 0 0 
2052 331.4702 28.72303 -2.725696 0 -2.411344 0 -2.335403 0 -2.258425 0 0 0 69.94169 69.94169 NA NA 0 0 0 
2053 262.3146 25.5673 -3.980276 0 -3.923725 0 -3.952415 0 -3.895449 0 0 0 62.28879 62.28879 NA 213 28 0 0 
2054 204.3509 25.20438 -5.69569 0 -5.650851 0 -5.716448 0 -5.624644 0 28.92605 28.28761 43.92924 34.36526 NA 182 172 38 0 
2055 335.9389 30.86746 -2.429437 0 -1.948699 0 -1.769299 0 -1.740992 0 0 0 70.62177 70.62177 NA NA 0 0 0 
2056 294.2058 30.31434 -3.479719 0 -3.393865 0 -3.377879 0 -3.350938 0 0 0 66.41547 66.41547 NA 217 2 0 0 
2057 302.1021 28.18479 -3.255511 0 -3.122567 0 -3.082361 0 -3.057733 0 0 0 68.67539 68.67539 NA 222 0 0 0 
2058 268.2197 28.4819 -4.351902 0 -4.336612 0 -4.37817 0 -4.330323 0 0 0 59.83906 59.83906 NA 207 25 0 0 
2059 295.6005 28.97168 -3.158565 0 -2.990557 0 -3.014817 0 -2.906553 0 0 0 68.95705 68.95705 NA 216 0 0 0 
2060 245.381 27.29021 -4.369155 0 -4.33491 0 -4.369908 0 -4.317788 0 0 0 59.73546 59.73546 NA 209 71 0 0 
2061 327.9166 30.39783 -3.260487 0 -3.19738 0 -3.182915 0 -3.166683 0 0 0 68.62185 68.62185 NA 276 0 0 0 
2062 383.7631 35.14112 -3.06945 0 -2.862925 0 -2.837696 0 -2.759662 0 0 0 69.15886 69.15886 NA 100 0 0 0 
2063 240.8183 26.99562 -4.131029 0 -4.074706 0 -4.150446 0 -4.047753 0 0 0 61.24191 61.24191 NA 185 25 0 0 
2064 305.6138 29.52048 -2.861347 0 -2.641505 0 -2.601032 0 -2.53749 0 0 0 69.63195 69.63195 NA NA 0 0 0 
2065 290.5655 29.48629 -3.182688 0 -3.081693 0 -3.040069 0 -3.032177 0 0 0 68.9025 68.9025 NA 226 0 0 0 
2066 252.0901 28.35703 -4.063394 0 -4.038004 0 -4.063092 0 -4.025624 0 0 0 61.70199 61.70199 NA 193 51 0 0 
2067 281.0945 35.88916 -6.582194 0 -6.25392 0 -6.197968 0 -6.033201 0 45.62878 39.17032 35.77655 22.3819 NA 195 162 81 17 
