Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2006 273.0004 28.13312 -3.094233 0 -2.940237 0 -2.910488 0 -2.876122 0 1.549356 1.436271 87.89729 87.89729 NA 257 
2007 274.0812 27.77043 -3.007592 0 -2.823064 0 -2.784242 0 -2.748031 0 0 0 89.87379 89.87379 NA 236 
2008 281.0711 28.52346 -3.50994 0 -3.439846 0 -3.426471 0 -3.403812 0 2.786332 2.671569 81.62124 81.62124 NA 216 
2009 311.7011 29.06192 -2.955871 0 -2.755505 0 -2.707457 0 -2.658716 0 0 0 90.14243 90.14243 NA 230 
2010 305.6613 31.24836 -2.254321 0 -1.545238 0 -1.223295 0 -1.227007 0 0 0 92.42716 92.42716 NA NA 
2011 300.0002 28.73942 -3.397645 0 -3.31476 0 -3.275311 0 -3.27373 0 0 0 84.14822 84.14822 NA 248 
2012 240.7692 24.84943 -3.454732 0 -3.338443 0 -3.309311 0 -3.290293 0 0 0 83.41871 83.41871 NA 210 
2013 250.9276 26.59699 -3.013957 0 -2.854344 0 -2.820497 0 -2.792386 0 0 0 89.76846 89.76846 NA 241 
2014 290.0938 29.28346 -3.040115 0 -2.898447 0 -2.869744 0 -2.829238 0 0 0 89.34024 89.34024 NA 226 
2015 297.9019 30.12944 -2.42555 0 -1.969493 0 -1.775068 0 -1.757012 0 0 0 91.86606 91.86606 NA NA 
2016 304.3422 31.48234 -2.299369 0 -1.67246 0 -1.38954 0 -1.374954 0 0 0 92.27934 92.27934 NA NA 
2017 298.811 29.52889 -2.529494 0 -2.121943 0 -1.920351 0 -1.919676 0 0 0 91.52651 91.52651 NA NA 
2018 262.8091 26.52868 -3.385521 0 -3.266968 0 -3.21534 0 -3.207691 0 0 0 84.30633 84.30633 NA 234 
2019 239.8935 27.84202 -5.168962 0 -5.14896 0 -5.194958 0 -5.140465 0 18.22394 18.07252 61.72979 54.05486 NA 189 
2020 313.2331 30.61977 -3.067089 0 -2.923525 0 -2.899601 0 -2.85314 0 0 0 88.90631 88.90631 NA 228 
2021 324.5457 31.81432 -2.813065 0 -2.546231 0 -2.483847 0 -2.41403 0 0 0 90.60441 90.60441 NA NA 
2022 295.6172 31.02573 -2.977481 0 -2.788295 0 -2.760636 0 -2.697443 0 0 0 90.07266 90.07266 NA 206 
2023 303.8044 30.62229 -2.688499 0 -2.38671 0 -2.27067 0 -2.251198 0 0 0 91.0087 91.0087 NA NA 
2024 266.0415 27.3085 -4.084884 0 -4.056585 0 -4.065983 0 -4.047194 0 0 0 76.72075 76.72075 NA 222 
2025 280.7658 27.755 -3.621659 0 -3.560301 0 -3.54861 0 -3.529621 0 0 0 81.41748 81.41748 NA 242 
2026 298.6958 28.88363 -3.355281 0 -3.255259 0 -3.20013 0 -3.205361 0 0 0 84.70565 84.70565 NA 237 
2027 344.0298 33.69628 -2.277553 0 -1.615627 0 -1.297075 0 -1.314411 0 0 0 92.35091 92.35091 NA NA 
2028 294.3401 27.60424 -3.194864 0 -3.087057 0 -3.037195 0 -3.041581 0 0 0 86.95036 86.95036 NA 222 
2029 248.1259 23.83034 -3.75991 0 -3.72053 0 -3.721586 0 -3.706526 0 0 0 79.89457 79.89457 NA 66 
2030 264.8786 27.82317 -4.869812 0 -4.840891 0 -4.881422 0 -4.826435 0 0 0 70.80201 70.80201 NA 186 
2031 293.5682 29.20396 -2.969466 0 -2.73598 0 -2.702992 0 -2.62153 0 0 0 90.09853 90.09853 NA 267 
2032 304.0168 29.48358 -2.570418 0 -2.2574 0 -2.12003 0 -2.105992 0 0 0 91.39306 91.39306 NA NA 
2033 281.0342 28.28008 -3.508807 0 -3.455199 0 -3.458755 0 -3.429441 0 0 0 82.74957 82.74957 NA 244 
2034 304.6603 30.78616 -3.891532 0 -3.833409 0 -3.849528 0 -3.804347 0 0 0 78.54523 78.54523 NA 233 
2035 284.8625 27.059 -3.561234 0 -3.505456 0 -3.475719 0 -3.479461 0 0 0 82.12023 82.12023 NA 250 
2036 310.4898 29.61176 -3.085744 0 -2.925953 0 -2.908924 0 -2.848534 0 0 0 88.61064 88.61064 NA 206 
2037 326.4337 32.41743 -2.838065 0 -2.597549 0 -2.530008 0 -2.480929 0 0 0 90.52342 90.52342 NA NA 
2038 285.846 28.66468 -3.180887 0 -3.064535 0 -3.025171 0 -3.007569 0 0 0 87.15666 87.15666 NA 227 
2039 292.4641 28.96981 -3.359116 0 -3.266023 0 -3.21933 0 -3.222643 0 0 0 84.6546 84.6546 NA 236 
2040 308.8108 30.14705 -3.235432 0 -3.131789 0 -3.068793 0 -3.082745 0 0 0 86.36166 86.36166 NA 208 
2041 337.1244 30.27988 -2.814105 0 -2.571332 0 -2.487795 0 -2.456124 0 0 0 90.60104 90.60104 NA NA 
2042 287.6865 29.23359 -3.644663 0 -3.585468 0 -3.608492 0 -3.560981 0 0 0 81.15606 81.15606 NA 219 
2043 356.6448 33.72623 -2.808531 0 -2.551024 0 -2.470194 0 -2.427147 0 0 0 90.61911 90.61911 NA NA 
2044 326.1635 30.63635 -2.621109 0 -2.253517 0 -2.121464 0 -2.077019 0 0 0 91.22792 91.22792 NA NA 
