Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 279.3962 29.4236 -3.539142 0 -3.465151 0 -3.458003 0 -3.427089 0 2.869776 2.745166 64.90023 64.90023 NA 210 7 0 0 
1986 268.0803 29.72513 -3.857329 0 -3.82019 0 -3.84721 0 -3.800816 0 4.328201 4.232946 61.74883 61.74883 NA 226 24 0 0 
1987 278.0843 30.50117 -3.98729 0 -3.949148 0 -3.984642 0 -3.93043 0 5.016255 4.910309 60.5528 60.5528 NA 203 28 0 0 
1988 246.3156 26.34078 -4.013361 0 -3.970933 0 -4.010993 0 -3.949322 0 5.142287 5.017601 60.32442 60.32442 NA 224 22 0 0 
1989 258.4737 27.5192 -3.471466 0 -3.396238 0 -3.380667 0 -3.358624 0 0 0 66.49348 66.49348 NA 215 3 0 0 
1990 297.8938 30.71399 -3.171834 0 -3.042221 0 -3.034645 0 -2.992874 0 0 0 68.92704 68.92704 NA 194 0 0 0 
1991 300.2128 31.69819 -2.133884 0 -1.474755 0 -1.165399 0 -1.150664 0 0 0 71.30504 71.30504 NA NA 0 0 0 
1992 265.1796 28.90574 -3.647861 0 -3.580262 0 -3.58142 0 -3.546463 0 0 0 64.90296 64.90296 NA 209 8 0 0 
1993 253.0632 26.85491 -3.646349 0 -3.587339 0 -3.590835 0 -3.557833 0 0 0 64.91594 64.91594 NA 209 11 0 0 
1994 270.1672 27.59279 -3.084719 0 -2.935784 0 -2.93026 0 -2.864221 0 0 0 69.12425 69.12425 NA 242 0 0 0 
1995 240.9587 28.48595 -4.930536 0 -4.888865 0 -4.957038 0 -4.871766 0 14.02868 13.77772 52.04788 47.12704 NA 193 54 11 0 
1996 289.0708 28.22504 -2.855413 0 -2.636554 0 -2.592118 0 -2.531974 0 0 0 69.64548 69.64548 NA NA 0 0 0 
1997 316.9471 30.49378 -2.843334 0 -2.703293 0 -2.672492 0 -2.633273 0 0 0 69.67302 69.67302 NA 310 0 0 0 
1998 263.3022 28.24098 -3.384205 0 -3.327585 0 -3.30966 0 -3.303422 0 0 0 67.34159 67.34159 NA 245 0 0 0 
1999 221.0927 24.20587 -3.933299 0 -3.884772 0 -3.901269 0 -3.860508 0 0 0 62.63142 62.63142 NA 195 29 0 0 
2000 256.236 26.24825 -3.2109 0 -3.139264 0 -3.102175 0 -3.103851 0 0 0 68.83875 68.83875 NA 251 0 0 0 
2001 329.8509 33.36217 -2.396961 0 -1.89259 0 -1.68066 0 -1.662914 0 0 0 70.69662 70.69662 NA NA 0 0 0 
2002 272.3787 29.61027 -3.824734 0 -3.777698 0 -3.805763 0 -3.75418 0 0 0 63.45544 63.45544 NA 211 14 0 0 
2003 251.4081 25.73325 -3.270207 0 -3.216825 0 -3.179628 0 -3.190134 0 0 0 68.51777 68.51777 NA 222 0 0 0 
2004 293.1962 30.23921 -2.399644 0 -1.886959 0 -1.696533 0 -1.680911 0 0 0 70.69043 70.69043 NA NA 0 0 0 
2005 291.9709 29.04695 -2.728087 0 -2.491837 0 -2.429535 0 -2.375225 0 0 0 69.93622 69.93622 NA NA 0 0 0 
