Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 305.4322 29.47357 -2.882604 0 -2.640715 0 -2.624179 0 -2.536161 0 1.086653 0.9597522 69.22207 69.22207 NA NA 0 0 0 
2007 303.398 31.72594 -3.241023 0 -3.005626 0 -3.043275 0 -2.893062 0 1.676155 1.465333 68.20835 68.20835 NA 209 0 0 0 
2008 239.4902 24.5418 -3.212595 0 -3.150622 0 -3.118809 0 -3.125631 0 1.991128 1.928307 68.17712 68.17712 NA 209 0 0 0 
2009 272.7461 29.84239 -3.790493 0 -3.739441 0 -3.753496 0 -3.716878 0 3.944248 3.842934 62.41838 62.41838 NA 196 20 0 0 
2010 270.1718 27.39521 -3.226059 0 -3.118104 0 -3.088251 0 -3.065224 0 0 0 68.80452 68.80452 NA 214 0 0 0 
2011 308.7344 31.25081 -3.160861 0 -3.041944 0 -3.027149 0 -2.985526 0 0 0 68.95186 68.95186 NA 147 0 0 0 
2012 242.5659 25.99584 -3.274216 0 -3.196467 0 -3.149984 0 -3.157592 0 0 0 68.47501 68.47501 NA 232 0 0 0 
2013 255.5052 25.87478 -3.487935 0 -3.404462 0 -3.374786 0 -3.362725 0 0 0 66.33817 66.33817 NA 239 1 0 0 
2014 280.0375 29.92507 -3.104139 0 -2.939213 0 -2.939338 0 -2.859821 0 0 0 69.08025 69.08025 NA 247 0 0 0 
2015 294.489 29.12506 -3.153167 0 -3.08952 0 -3.056669 0 -3.063316 0 0 0 68.96926 68.96926 NA 254 0 0 0 
2016 286.2431 28.43269 -2.794462 0 -2.479489 0 -2.420895 0 -2.332277 0 0 0 69.78454 69.78454 NA NA 0 0 0 
2017 268.6014 28.09334 -3.461542 0 -3.3898 0 -3.367137 0 -3.353929 0 0 0 66.58778 66.58778 NA 213 1 0 0 
