Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2006 272.8387 28.56833 -3.52787 0 -3.451171 0 -3.448013 0 -3.426455 0 2.82338 2.743135 81.38922 81.38922 NA 246 
2007 271.5012 28.34725 -2.7153 0 -2.395187 0 -2.301352 0 -2.258467 0 0 0 90.92162 90.92162 NA NA 
2008 317.2581 31.83075 -3.096574 0 -2.966141 0 -2.953525 0 -2.903501 0 0 0 88.44063 88.44063 NA 231 
2009 283.0356 29.2166 -3.24431 0 -3.141953 0 -3.082171 0 -3.091706 0 0 0 86.23479 86.23479 NA 201 
2010 255.8456 28.18977 -4.313578 0 -4.25741 0 -4.295152 0 -4.23144 0 7.102117 6.899235 71.93307 71.93307 NA 203 
2011 300.899 30.98034 -4.075581 0 -4.022921 0 -4.043424 0 -3.99659 0 0 0 76.80457 76.80457 NA 223 
2012 248.0116 27.37191 -3.691515 0 -3.593039 0 -3.598774 0 -3.552409 0 0 0 80.63373 80.63373 NA 204 
2013 272.2107 27.11657 -3.052457 0 -2.918349 0 -2.901711 0 -2.864284 0 0 0 89.14074 89.14074 NA 237 
2014 336.4139 33.38093 -2.601167 0 -2.275493 0 -2.143965 0 -2.118146 0 0 0 91.29286 91.29286 NA NA 
2015 301.0772 32.03999 -3.012864 0 -2.817503 0 -2.802293 0 -2.738893 0 0 0 89.78652 89.78652 NA 237 
2016 307.9272 32.87419 -2.258938 0 -1.537125 0 -1.211371 0 -1.206524 0 0 0 92.41201 92.41201 NA NA 
2017 278.4446 26.4716 -2.823526 0 -2.53374 0 -2.446127 0 -2.394834 0 0 0 90.57052 90.57052 NA NA 
2018 243.8617 27.24289 -4.768222 0 -4.750077 0 -4.769743 0 -4.742365 0 12.13286 12.03456 66.60512 61.97607 NA 208 
2019 314.5471 30.18133 -3.695915 0 -3.620492 0 -3.645492 0 -3.58278 0 0 0 80.58535 80.58535 NA 224 
2020 267.7335 29.95672 -3.721777 0 -3.695013 0 -3.70436 0 -3.681631 0 0 0 80.30333 80.30333 NA 218 
2021 333.1541 33.12271 -2.735735 0 -2.389866 0 -2.280479 0 -2.221286 0 0 0 90.85525 90.85525 NA NA 
2022 339.4379 34.12807 -2.469906 0 -2.003638 0 -1.81099 0 -1.80762 0 0 0 91.72106 91.72106 NA NA 
2023 310.8472 32.54932 -2.788606 0 -2.512046 0 -2.419882 0 -2.38024 0 0 0 90.6837 90.6837 NA NA 
