Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 259.141 29.25273 -3.908276 0 -3.852695 0 -3.880292 0 -3.823658 0 4.492629 4.348322 61.3077 61.3077 NA 205 18 0 0 
1986 237.1071 25.54238 -3.269385 0 -3.163061 0 -3.11179 0 -3.110241 0 0 0 68.52655 68.52655 NA 207 0 0 0 
1987 265.1829 29.15838 -3.463048 0 -3.352563 0 -3.335614 0 -3.29732 0 0 0 66.57344 66.57344 NA 199 1 0 0 
1988 244.5063 27.4429 -3.890155 0 -3.850056 0 -3.875001 0 -3.830007 0 0 4.377244 62.95338 62.95338 NA 202 15 0 0 
1989 261.8364 27.59323 -4.35457 0 -4.318074 0 -4.352317 0 -4.299759 0 7.597665 7.447028 57.27007 57.27007 NA 205 37 0 0 
1990 299.9051 29.59961 -3.051532 0 -2.890362 0 -2.881482 0 -2.825858 0 0 0 69.19949 69.19949 NA 223 0 0 0 
1991 242.3889 26.82581 -4.633217 0 -4.597603 0 -4.630745 0 -4.579804 0 10.31341 10.11751 54.78054 54.02267 NA 207 55 11 0 
1992 316.5668 34.00651 -2.811034 0 -2.596189 0 -2.539925 0 -2.506874 0 0 0 69.74671 69.74671 NA NA 0 0 0 
1993 290.0836 30.50481 -2.774774 0 -2.467723 0 -2.406045 0 -2.334154 0 0 0 69.82951 69.82951 NA NA 0 0 0 
1994 294.7016 31.97982 -2.575102 0 -2.178727 0 -2.060238 0 -2.002326 0 0 0 70.28677 70.28677 NA NA 0 0 0 
1995 270.5485 28.57451 -3.407771 0 -3.315935 0 -3.288421 0 -3.28047 0 0 0 67.10827 67.10827 NA 202 0 0 0 
1996 262.9701 30.3892 -4.650862 0 -4.566813 0 -4.6615 0 -4.548832 0 0 0 58.1525 58.1525 NA 186 39 0 0 
1997 319.5157 31.27883 -2.548822 0 -2.188777 0 -2.079069 0 -2.032273 0 0 0 70.34713 70.34713 NA NA 0 0 0 
1998 281.3717 27.54245 -3.460991 0 -3.414513 0 -3.404321 0 -3.393255 0 0 0 66.59303 66.59303 NA 270 3 0 0 
1999 208.8469 25.32289 -4.74372 0 -4.714297 0 -4.764308 0 -4.702405 0 11.68375 11.53609 53.74641 50.15813 NA 198 82 4 0 
2000 272.9191 28.87372 -3.796739 0 -3.725041 0 -3.760703 0 -3.689192 0 0 0 63.67556 63.67556 NA 220 16 0 0 
2001 309.7053 32.89564 -2.234906 0 -1.634647 0 -1.364823 0 -1.359291 0 0 0 71.07096 71.07096 NA NA 0 0 0 
2002 301.5874 29.82783 -2.625837 0 -2.248849 0 -2.136919 0 -2.086688 0 0 0 70.17037 70.17037 NA NA 0 0 0 
2003 319.0329 30.57718 -2.838444 0 -2.568876 0 -2.517271 0 -2.483799 0 0 0 69.68417 69.68417 NA NA 0 0 0 
2004 295.412 30.51407 -3.258686 0 -3.113537 0 -3.087309 0 -3.041941 0 0 0 68.64121 68.64121 NA 218 0 0 0 
2005 277.6971 30.52886 -3.840996 0 -3.761998 0 -3.799455 0 -3.722763 0 0 0 63.32904 63.32904 NA 215 13 0 0 
