Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 323.7457 33.57945 -2.304914 0 -1.669177 0 -1.431555 0 -1.381657 0 0.3412172 0.2420357 70.79933 70.79933 NA NA 0 0 0 
2007 290.5652 28.26452 -3.569821 0 -3.496111 0 -3.487856 0 -3.46602 0 2.975167 2.872683 64.59619 64.59619 NA 197 9 0 0 
2008 252.7601 27.47089 -3.751042 0 -3.686976 0 -3.715252 0 -3.653758 0 3.712515 3.575977 62.79448 62.79448 NA 212 14 0 0 
2009 255.7283 27.78331 -3.964761 0 -3.919497 0 -3.955262 0 -3.895749 0 4.849411 4.721522 60.77159 60.77159 NA 216 23 0 0 
2010 295.0896 31.17392 -2.81565 0 -2.552778 0 -2.513856 0 -2.465573 0 0 0 69.73618 69.73618 NA NA 0 0 0 
2011 272.3558 28.37988 -4.366251 0 -4.308817 0 -4.389182 0 -4.290057 0 7.520048 7.370624 57.226 57.226 NA 204 25 0 0 
2012 277.7499 29.8244 -3.904584 0 -3.828062 0 -3.862406 0 -3.789801 0 0 0 62.84491 62.84491 NA 220 15 0 0 
2013 333.7875 32.96464 -2.422569 0 -1.938175 0 -1.76992 0 -1.715391 0 0 0 70.63759 70.63759 NA NA 0 0 0 
2014 293.566 29.169 -3.004097 0 -2.851438 0 -2.834828 0 -2.777951 0 0 0 69.30716 69.30716 NA 240 0 0 0 
2015 291.5381 30.5938 -2.66934 0 -2.387603 0 -2.309263 0 -2.252161 0 0 0 70.07068 70.07068 NA NA 0 0 0 
2016 243.042 25.69741 -4.039603 0 -3.984073 0 -4.018223 0 -3.958697 0 0 0 61.86748 61.86748 NA 207 19 0 0 
2017 268.9719 27.58132 -4.001016 0 -3.95266 0 -3.980798 0 -3.928483 0 0 0 62.14009 62.14009 NA 174 15 0 0 
