Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 272.3928 27.82305 -3.804009 0 -3.721957 0 -3.750958 0 -3.679343 0 3.865522 3.680443 62.31922 62.31922 NA 205 11 0 0 
1986 281.3112 28.52105 -3.014398 0 -2.861499 0 -2.842588 0 -2.806495 0 0 0 69.28377 69.28377 NA 222 0 0 0 
1987 224.1332 26.61734 -4.802659 0 -4.778164 0 -4.825147 0 -4.769797 0 12.4968 12.38742 53.17741 49.42913 NA 203 47 13 0 
1988 289.0189 31.41134 -3.280373 0 -3.148213 0 -3.10403 0 -3.095036 0 0 0 68.40956 68.40956 NA 222 0 0 0 
1989 249.9027 29.22347 -4.669183 0 -4.633704 0 -4.703743 0 -4.617673 0 0 0 58.05616 58.05616 NA 187 29 0 0 
1990 278.3324 28.41604 -2.202561 0 -1.685336 0 -1.463578 0 -1.426724 0 0 0 71.14585 71.14585 NA NA 0 0 0 
1991 232.5054 26.5889 -3.552838 0 -3.478584 0 -3.490159 0 -3.441457 0 0 0 65.74014 65.74014 NA 189 3 0 0 
1992 277.4838 30.07696 -3.758025 0 -3.703627 0 -3.702902 0 -3.676429 0 0 0 63.98538 63.98538 NA 226 16 0 0 
1993 239.8399 24.58605 -3.179395 0 -3.077561 0 -3.043011 0 -3.03606 0 0 0 68.90995 68.90995 NA 212 0 0 0 
1994 301.7966 31.28044 -2.980085 0 -2.780679 0 -2.7845 0 -2.684649 0 0 0 69.36171 69.36171 NA 236 0 0 0 
1995 267.8264 30.35796 -3.669505 0 -3.613507 0 -3.603298 0 -3.586129 0 0 0 64.71833 64.71833 NA 200 10 0 0 
1996 288.3263 30.16567 -3.691238 0 -3.633583 0 -3.671897 0 -3.608512 0 0 0 64.53513 64.53513 NA 210 10 0 0 
1997 257.4876 27.35842 -3.323654 0 -3.222989 0 -3.176785 0 -3.172657 0 0 0 67.95629 67.95629 NA 220 0 0 0 
1998 337.935 33.79149 -2.704445 0 -2.50013 0 -2.433485 0 -2.402822 0 0 0 69.99031 69.99031 NA NA 0 0 0 
1999 287.9886 29.06813 -2.763032 0 -2.507984 0 -2.431289 0 -2.392297 0 0 0 69.85633 69.85633 NA NA 0 0 0 
2000 291.7226 30.34222 -3.024616 0 -2.90539 0 -2.905323 0 -2.849394 0 0 0 69.26057 69.26057 NA 251 0 0 0 
2001 272.4401 29.60778 -3.77868 0 -3.734582 0 -3.773495 0 -3.727809 0 0 0 63.81929 63.81929 NA 219 20 0 0 
2002 325.4876 34.3291 -2.881738 0 -2.634726 0 -2.595861 0 -2.520901 0 0 0 69.58549 69.58549 NA NA 0 0 0 
2003 260.433 27.99019 -3.609215 0 -3.586702 0 -3.595845 0 -3.576214 0 0 0 65.23813 65.23813 NA 225 14 0 0 
2004 303.2046 31.60583 -2.484648 0 -1.963916 0 -1.822888 0 -1.707752 0 0 0 70.49466 70.49466 NA NA 0 0 0 
2005 281.9796 28.28842 -3.222748 0 -3.132386 0 -3.086804 0 -3.094807 0 0 0 68.81199 68.81199 NA 234 0 0 0 
