Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 269.6988 28.74976 -3.180378 0 -3.042801 0 -3.021938 0 -2.976014 0 1.750745 1.616225 68.32218 68.32218 NA 246 0 0 0 
2007 262.8133 27.03868 -3.6589 0 -3.6089 0 -3.610524 0 -3.583045 0 3.391744 3.291538 63.66885 63.66885 NA 248 10 0 0 
2008 234.524 25.80168 -4.011458 0 -3.971851 0 -4.010214 0 -3.954288 0 5.14766 5.04775 60.3613 60.3613 NA 200 40 0 0 
2009 274.5992 29.20535 -4.167131 0 -4.139023 0 -4.168726 0 -4.124578 0 6.220057 6.121492 58.91242 58.91242 NA 229 25 0 0 
2010 240.4327 25.40886 -3.793099 0 -3.757235 0 -3.764194 0 -3.740787 0 0 0 63.70442 63.70442 NA 196 22 0 0 
2011 261.7357 28.81324 -3.679343 0 -3.618266 0 -3.62293 0 -3.587727 0 0 0 64.63513 64.63513 NA 204 8 0 0 
2012 275.0667 30.17819 -4.461527 0 -4.428719 0 -4.497041 0 -4.414091 0 8.583866 8.447123 56.31008 56.31008 NA 197 29 5 0 
2013 308.1433 29.92167 -3.097519 0 -2.999546 0 -3.000174 0 -2.965256 0 0 0 69.09524 69.09524 NA 271 0 0 0 
2014 283.6267 30.0716 -3.089214 0 -2.995375 0 -2.984913 0 -2.949786 0 0 0 69.11406 69.11406 NA 232 0 0 0 
2015 188.3768 25.32809 -4.770532 0 -4.753568 0 -4.789971 0 -4.746544 0 12.17842 12.08778 53.44478 49.48226 NA 159 108 32 0 
2016 307.0969 29.94817 -2.963649 0 -2.754125 0 -2.74302 0 -2.651439 0 0 0 69.39907 69.39907 NA 245 0 0 0 
2017 326.158 33.57466 -2.599551 0 -2.265397 0 -2.171014 0 -2.105872 0 0 0 70.23066 70.23066 NA NA 0 0 0 
2018 249.783 28.1619 -3.82983 0 -3.79247 0 -3.833348 0 -3.775171 0 0 0 63.41571 63.41571 NA 192 17 0 0 
2019 231.8391 25.40435 -3.502919 0 -3.44888 0 -3.457973 0 -3.421861 0 0 0 66.19814 66.19814 NA 208 3 0 0 
2020 342.1401 33.94853 -2.9866 0 -2.79385 0 -2.766095 0 -2.703528 0 0 0 69.34691 69.34691 NA 258 0 0 0 
2021 191.7496 26.21347 -5.154888 0 -5.130272 0 -5.202694 0 -5.121058 0 17.89212 17.73026 49.75489 43.96292 NA 171 104 35 0 
2022 210.2172 25.75291 -4.687587 0 -4.664679 0 -4.733476 0 -4.654992 0 0 0 57.96015 57.96015 NA 188 90 0 0 
2023 357.6131 36.20869 -2.774001 0 -2.519238 0 -2.455274 0 -2.39608 0 0 0 69.83127 69.83127 NA NA 0 0 0 
2024 291.2226 29.09905 -3.096156 0 -2.934101 0 -2.934205 0 -2.856107 0 0 0 69.09833 69.09833 NA 249 0 0 0 
