Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 231.4507 25.07712 -3.665662 0 -3.627179 0 -3.626157 0 -3.607268 0 3.464357 3.385333 63.58688 63.58688 NA 197 15 0 0 
1986 217.2624 23.03683 -3.871687 0 -3.84335 0 -3.862372 0 -3.829073 0 4.444755 4.372553 61.60747 61.60747 NA 212 41 0 0 
1987 254.2084 25.0006 -3.104456 0 -2.952506 0 -2.978135 0 -2.877133 0 0 0 69.07953 69.07953 NA 231 0 0 0 
1988 317.1789 32.62367 -2.434603 0 -1.881397 0 -1.691759 0 -1.629906 0 0 0 70.60987 70.60987 NA NA 0 0 0 
1989 312.3412 30.54048 -2.870748 0 -2.682938 0 -2.653779 0 -2.59292 0 0 0 69.61053 69.61053 NA NA 0 0 0 
1990 304.0839 31.6699 -2.806164 0 -2.572843 0 -2.508067 0 -2.461761 0 0 0 69.75783 69.75783 NA NA 0 0 0 
1991 311.4929 31.63001 -2.81731 0 -2.529785 0 -2.448662 0 -2.404862 0 0 0 69.73239 69.73239 NA NA 0 0 0 
1992 269.6737 28.96989 -2.363556 0 -1.860091 0 -1.704116 0 -1.695583 0 0 0 70.77367 70.77367 NA NA 0 0 0 
1993 257.3457 27.96003 -3.344932 0 -3.278517 0 -3.257433 0 -3.24531 0 0 0 67.73774 67.73774 NA 251 0 0 0 
1994 223.2706 25.51338 -4.10756 0 -4.077744 0 -4.094321 0 -4.061963 0 5.804673 5.703181 59.44939 59.44939 NA 181 40 0 0 
1995 267.9143 30.20069 -3.843918 0 -3.79459 0 -3.805881 0 -3.769926 0 0 0 63.30644 63.30644 NA 208 14 0 0 
1996 264.2818 26.87992 -3.655223 0 -3.608142 0 -3.618025 0 -3.585672 0 0 0 64.83992 64.83992 NA 223 10 0 0 
1997 282.7258 27.76556 -2.838637 0 -2.728787 0 -2.709047 0 -2.680536 0 0 0 69.68374 69.68374 NA 284 0 0 0 
1998 282.5442 30.58862 -3.85856 0 -3.696532 0 -3.70101 0 -3.682327 0 0 0 63.19372 63.19372 NA 218 23 0 0 
1999 217.9819 27.88533 -4.874953 0 -4.831038 0 -4.907255 0 -4.812517 0 13.20729 12.95591 52.5861 47.78738 NA 168 117 8 0 
2000 289.7905 29.70749 -3.773935 0 -3.71024 0 -3.753886 0 -3.678392 0 0 0 63.85728 63.85728 NA 167 8 0 0 
2001 263.1283 27.75384 -3.993515 0 -3.968347 0 -3.991155 0 -3.955763 0 0 0 62.19369 62.19369 NA 213 14 0 0 
2002 240.3252 26.66006 -4.319373 0 -4.297663 0 -4.329777 0 -4.286808 0 0 0 60.03666 60.03666 NA 212 47 0 0 
2003 258.0087 27.50644 -2.236231 0 -1.552581 0 -1.260065 0 -1.240039 0 0 0 71.0679 71.0679 NA NA 0 0 0 
2004 263.8769 27.78834 -3.674791 0 -3.603701 0 -3.628027 0 -3.576254 0 0 0 64.67358 64.67358 NA 219 8 0 0 
2005 289.4126 29.35369 -3.438727 0 -3.376475 0 -3.36322 0 -3.34535 0 0 0 66.80663 66.80663 NA 214 1 0 0 
