Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2006 233.892 27.49794 -4.883592 0 -4.873557 0 -4.9147 0 -4.869435 0 13.8032 13.74446 47.40803 44.26481 NA 201 
2007 325.5489 33.00493 -3.0482 0 -2.914497 0 -2.888397 0 -2.849873 0 0 0 64.86554 64.86554 NA 256 
2008 271.3034 28.2944 -2.734927 0 -2.358474 0 -2.2754 0 -2.176698 0 0 0 66.06419 66.06419 NA NA 
2009 313.5639 31.05665 -3.522609 0 -3.436639 0 -3.395681 0 -3.394157 0 0 0 60.04672 60.04672 NA 220 
2010 266.8718 27.32364 -4.754983 0 -4.723012 0 -4.761897 0 -4.707026 0 0 0 52.02211 52.02211 NA 197 
2011 272.4417 29.01143 -3.376149 0 -3.277046 0 -3.231701 0 -3.227494 0 0 0 61.38988 61.38988 NA 208 
2012 265.316 28.96979 -3.56985 0 -3.484419 0 -3.47589 0 -3.441703 0 0 0 59.63699 59.63699 NA 203 
2013 253.7831 26.7902 -3.67783 0 -3.623593 0 -3.623196 0 -3.606013 0 0 0 58.73998 58.73998 NA 217 
2014 301.7691 31.82119 -4.516666 0 -4.493943 0 -4.524393 0 -4.482581 0 0 0 53.23239 53.23239 NA 222 
2015 279.2141 29.32265 -3.581187 0 -3.547868 0 -3.540552 0 -3.535437 0 0 0 59.54028 59.54028 NA 240 
2016 221.5714 29.02104 -5.612429 0 -5.592319 0 -5.638718 0 -5.585409 0 27.50365 27.33863 40.5199 33.63742 NA 177 
2017 287.3825 31.45379 -3.783759 0 -3.714124 0 -3.729862 0 -3.679307 0 0 0 57.90976 57.90976 NA 210 
2018 195.0659 26.69489 -5.774741 0 -5.681445 0 -5.745396 0 -5.629168 0 29.68661 28.39404 39.3634 30.64611 NA 168 
2019 255.12 27.95356 -3.818077 0 -3.77404 0 -3.782388 0 -3.752021 0 0 0 57.65067 57.65067 NA 212 
2020 267.0163 28.60536 -4.204729 0 -4.152718 0 -4.203787 0 -4.127421 0 0 0 55.02384 55.02384 NA 214 
2021 281.6196 29.51521 -4.13539 0 -4.115013 0 -4.128073 0 -4.104824 0 0 0 55.45877 55.45877 NA 211 
2022 257.0647 26.98146 -3.483981 0 -3.415456 0 -3.392417 0 -3.38633 0 0 0 60.39001 60.39001 NA 211 
2023 254.6429 28.00184 -3.937382 0 -3.889836 0 -3.913725 0 -3.866062 0 0 0 56.7851 56.7851 NA 218 
2024 226.7304 26.15223 -4.574645 0 -4.545826 0 -4.590499 0 -4.532301 0 0 0 52.92634 52.92634 NA 207 
2025 279.8995 28.60129 -3.004662 0 -2.883686 0 -2.852283 0 -2.82439 0 0 0 65.384 65.384 NA 291 
2026 259.354 28.43498 -4.120727 0 -4.082738 0 -4.094829 0 -4.063743 0 0 0 55.55262 55.55262 NA 216 
2027 207.7214 27.42286 -6.190128 0 -6.167896 0 -6.213929 0 -6.154721 0 43.08156 42.69431 34.17408 26.58038 NA 187 
2028 267.3403 27.90469 -3.59915 0 -3.55535 0 -3.547398 0 -3.534949 0 0 0 59.38827 59.38827 NA 223 
2029 297.2878 29.6778 -3.305485 0 -3.195841 0 -3.134476 0 -3.142163 0 0 0 62.0805 62.0805 NA 183 
2030 308.8491 30.83647 -2.804184 0 -2.644317 0 -2.575566 0 -2.567008 0 0 0 65.90082 65.90082 NA NA 
2031 242.888 27.35315 -4.550936 0 -4.48739 0 -4.514741 0 -4.45851 0 0 0 53.05055 53.05055 NA 192 
2032 297.9153 29.70338 -3.313627 0 -3.22952 0 -3.169592 0 -3.187633 0 0 0 61.99942 61.99942 NA 244 
2033 249.469 26.80053 -3.700203 0 -3.644095 0 -3.658982 0 -3.620579 0 0 0 58.56068 58.56068 NA 220 
2034 219.0067 28.19664 -6.22911 0 -6.195456 0 -6.267703 0 -6.176178 0 43.89431 43.32541 33.82743 28.70443 NA 192 
2035 253.3651 25.18247 -3.504844 0 -3.423942 0 -3.421686 0 -3.404802 0 0 0 60.20367 60.20367 NA 255 
2036 171.9968 25.42499 -6.328827 0 -6.27243 0 -6.340291 0 -6.233336 0 46.18034 45.01668 32.88667 22.81154 NA 161 
2037 293.5312 32.057 -4.232265 0 -4.205827 0 -4.235014 0 -4.192609 0 0 0 54.85508 54.85508 NA 186 
2038 269.7554 29.41307 -5.776068 0 -5.74199 0 -5.821156 0 -5.729567 0 0 0 47.96726 47.96726 NA 192 
2039 282.43 28.47963 -4.113768 0 -4.083195 0 -4.093148 0 -4.067908 0 0 0 55.59739 55.59739 NA 216 
2040 298.7419 31.85274 -4.191313 0 -4.170023 0 -4.189461 0 -4.159377 0 0 0 55.10687 55.10687 NA 221 
2041 277.6826 28.55753 -3.902257 0 -3.797605 0 -3.789363 0 -3.748189 0 0 0 57.03444 57.03444 NA 184 
2042 270.2253 30.0072 -5.549698 0 -5.528159 0 -5.566618 0 -5.518814 0 0 0 48.73747 48.73747 NA 200 
2043 247.6673 27.82973 -4.59062 0 -4.566727 0 -4.611182 0 -4.556588 0 0 0 52.84337 52.84337 NA 193 
2044 309.6382 30.87222 -2.938664 0 -2.723306 0 -2.680485 0 -2.618581 0 0 0 65.58439 65.58439 NA 245 
2045 225.6081 24.43294 -3.843779 0 -3.793636 0 -3.807127 0 -3.781199 0 0 0 57.45966 57.45966 NA 205 
2046 266.8248 28.4816 -4.452747 0 -4.419293 0 -4.480346 0 -4.405292 0 0 0 53.57902 53.57902 NA 200 
2047 240.0296 27.74318 -3.955808 0 -3.757999 0 -3.805008 0 -3.704657 0 0 0 56.65608 56.65608 NA 189 
2048 182.0955 24.66972 -6.590122 0 -6.55258 0 -6.5849 0 -6.520352 0 54.56466 53.60431 29.76483 21.51856 NA 177 
2049 279.4052 29.17412 -3.595096 0 -3.530751 0 -3.529827 0 -3.498578 0 0 0 59.42244 59.42244 NA 224 
2050 295.0164 30.94533 -3.80704 0 -3.758764 0 -3.759152 0 -3.74759 0 0 0 57.73349 57.73349 NA 231 
2051 290.7421 30.68927 -3.502866 0 -3.432632 0 -3.411463 0 -3.398342 0 0 0 60.22124 60.22124 NA 220 
2052 215.0747 25.39773 -6.002869 0 -5.98699 0 -6.025104 0 -5.979256 0 0 0 47.25384 47.25384 NA 186 
2053 257.381 28.46794 -5.570166 0 -5.552711 0 -5.6002 0 -5.546186 0 0 0 48.66526 48.66526 NA 184 
2054 282.3663 31.49151 -3.972526 0 -3.912632 0 -3.95114 0 -3.882684 0 0 0 56.54004 56.54004 NA 198 
2055 230.7246 27.15822 -6.16922 0 -6.152219 0 -6.185318 0 -6.145584 0 0 0 46.76391 46.76391 NA 176 
2056 276.9945 30.81802 -4.290962 0 -4.252552 0 -4.29448 0 -4.233347 0 0 0 54.50255 54.50255 NA 212 
2057 341.4913 34.81922 -3.468045 0 -3.419613 0 -3.408001 0 -3.395397 0 0 0 60.53387 60.53387 NA 202 
2058 278.6372 29.41213 -3.381908 0 -3.31992 0 -3.294762 0 -3.294706 0 0 0 61.33487 61.33487 NA 219 
2059 216.6047 26.15758 -5.301655 0 -5.284529 0 -5.31196 0 -5.276737 0 0 0 49.65695 49.65695 NA 174 
2060 272.3057 31.94335 -4.868591 0 -4.841423 0 -4.890186 0 -4.829286 0 0 0 51.48687 51.48687 NA 176 
2061 192.4407 29.80234 -6.726897 0 -6.682544 0 -6.728318 0 -6.639821 0 58.39605 57.14538 28.31398 18.31854 NA 177 
2062 288.5699 29.85448 -3.488024 0 -3.379997 0 -3.351041 0 -3.325983 0 0 0 60.35373 60.35373 NA 215 
2063 235.6633 26.3719 -3.639961 0 -3.586501 0 -3.586628 0 -3.559771 0 0 0 59.04851 59.04851 NA 187 
2064 308.6625 29.8769 -3.675239 0 -3.625991 0 -3.625298 0 -3.601367 0 0 0 58.7609 58.7609 NA 253 
2065 269.0683 28.35098 -4.012061 0 -3.974344 0 -3.992716 0 -3.955486 0 0 0 56.2695 56.2695 NA 222 
2066 173.3749 28.26416 -6.963487 0 -6.943892 0 -6.968338 0 -6.920778 0 65.76121 65.13399 25.62098 20.48402 NA 173 
