Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 225.0745 26.92545 -4.484819 0 -4.443687 0 -4.497773 0 -4.425157 0 8.725868 8.550384 56.12945 56.12945 NA 188 69 4 0 
2007 275.4988 28.41267 -2.815378 0 -2.603672 0 -2.562009 0 -2.501214 0 0 0 69.7368 69.7368 NA NA 0 0 0 
2008 283.4984 29.68821 -3.761401 0 -3.707298 0 -3.716979 0 -3.680246 0 0 0 63.95811 63.95811 NA 208 19 0 0 
2009 252.5553 25.15364 -2.979547 0 -2.872182 0 -2.854999 0 -2.8185 0 0 0 69.36293 69.36293 NA 291 0 0 0 
2010 332.8252 30.33646 -3.053523 0 -2.884396 0 -2.888579 0 -2.801619 0 0 0 69.19498 69.19498 NA 225 0 0 0 
2011 322.1473 32.1458 -3.530648 0 -3.478588 0 -3.480824 0 -3.455865 0 0 0 65.94214 65.94214 NA 187 5 0 0 
2012 221.277 27.27151 -4.762456 0 -4.738273 0 -4.774989 0 -4.733395 0 11.98267 11.92107 53.61776 50.24004 NA 165 82 27 0 
2013 335.1627 34.31523 -2.384998 0 -1.763121 0 -1.551346 0 -1.494168 0 0 0 70.7242 70.7242 NA NA 0 0 0 
2014 293.6283 30.27551 -3.349562 0 -3.282742 0 -3.251813 0 -3.249332 0 0 0 67.69055 67.69055 NA 234 0 0 0 
2015 338.9396 33.35445 -2.949505 0 -2.640332 0 -2.631853 0 -2.49126 0 0 0 69.43123 69.43123 NA NA 0 0 0 
2016 285.2071 28.29281 -2.9631 0 -2.832023 0 -2.799937 0 -2.767835 0 0 0 69.40032 69.40032 NA 241 0 0 0 
2017 350.9694 33.54068 -2.664962 0 -2.23393 0 -2.150246 0 -2.024411 0 0 0 70.08071 70.08071 NA NA 0 0 0 
2018 315.7872 32.17978 -3.194361 0 -3.069486 0 -3.038987 0 -3.009678 0 0 0 68.87612 68.87612 NA 235 0 0 0 
2019 250.8459 26.21909 -3.532364 0 -3.468476 0 -3.464834 0 -3.4386 0 0 0 65.92642 65.92642 NA 211 14 0 0 
2020 254.8586 27.43233 -3.707117 0 -3.656438 0 -3.673564 0 -3.631098 0 0 0 64.40262 64.40262 NA 206 6 0 0 
2021 278.4157 29.50831 -4.550546 0 -4.512185 0 -4.558109 0 -4.493004 0 0 0 58.69372 58.69372 NA 204 45 0 0 
2022 289.5469 29.22655 -3.056676 0 -2.932976 0 -2.921658 0 -2.881985 0 0 0 69.18783 69.18783 NA 248 0 0 0 
2023 265.8695 27.58537 -3.664594 0 -3.606617 0 -3.6235 0 -3.583604 0 0 0 64.76004 64.76004 NA 222 7 0 0 
2024 288.1703 29.19597 -3.433276 0 -3.379111 0 -3.361362 0 -3.352029 0 0 0 66.85935 66.85935 NA 232 2 0 0 
2025 286.8548 30.11277 -3.500282 0 -3.428141 0 -3.409969 0 -3.39207 0 0 0 66.2227 66.2227 NA 199 5 0 0 
2026 339.903 33.29883 -2.487469 0 -2.039787 0 -1.902617 0 -1.82503 0 0 0 70.48817 70.48817 NA NA 0 0 0 
2027 212.2994 26.07375 -5.256084 0 -5.2358 0 -5.273943 0 -5.227473 0 19.83061 19.67336 48.66282 42.97196 NA 186 140 15 0 
2028 210.4375 24.63918 -3.978199 0 -3.944885 0 -3.977507 0 -3.933635 0 0 0 62.30377 62.30377 NA 182 44 0 0 
2029 225.6185 25.05892 -4.712443 0 -4.673795 0 -4.727413 0 -4.654471 0 0 0 57.83167 57.83167 NA 197 40 0 0 
2030 346.2088 34.65531 -2.40704 0 -1.782505 0 -1.583214 0 -1.47315 0 0 0 70.67338 70.67338 NA NA 0 0 0 
2031 304.3889 30.94341 -3.067582 0 -2.944938 0 -2.936808 0 -2.883658 0 0 0 69.1631 69.1631 NA 261 0 0 0 
2032 276.8403 28.86852 -4.411776 0 -4.381382 0 -4.431253 0 -4.366424 0 0 0 59.48299 59.48299 NA 205 19 0 0 
2033 331.3384 34.14175 -3.652626 0 -3.603602 0 -3.623689 0 -3.57909 0 0 0 64.86212 64.86212 NA 218 8 0 0 
2034 255.2156 27.95149 -3.857247 0 -3.812289 0 -3.831169 0 -3.793896 0 0 0 63.2038 63.2038 NA 199 27 0 0 
2035 257.9203 27.58949 -4.033532 0 -3.914652 0 -3.926035 0 -3.856768 0 0 0 61.91003 61.91003 NA 207 20 0 0 
