Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 309.5994 31.33265 -3.102267 0 -2.972548 0 -2.973538 0 -2.908587 0 1.609625 1.492478 68.54652 68.54652 NA 230 0 0 0 
1986 297.7111 32.37122 -2.288314 0 -1.657656 0 -1.389804 0 -1.357975 0 0 0 70.94743 70.94743 NA NA 0 0 0 
1987 268.6406 28.04815 -2.58403 0 -2.237635 0 -2.120774 0 -2.069984 0 0 0 70.26628 70.26628 NA NA 0 0 0 
1988 270.4186 28.5891 -3.468801 0 -3.351085 0 -3.338863 0 -3.290744 0 2.511881 2.340536 65.67472 65.67472 NA 207 3 0 0 
1989 246.1825 26.00886 -3.653355 0 -3.578327 0 -3.575815 0 -3.550946 0 3.273562 3.171105 63.75946 63.75946 NA 204 13 0 0 
1990 288.2795 30.27081 -3.089711 0 -2.958548 0 -2.964783 0 -2.894706 0 0 0 69.11293 69.11293 NA 236 0 0 0 
1991 288.0182 29.33184 -3.069957 0 -2.853342 0 -2.845416 0 -2.779711 0 0 0 69.15771 69.15771 NA 208 0 0 0 
1992 264.6941 26.72567 -3.378005 0 -3.298922 0 -3.272369 0 -3.270395 0 0 0 67.40352 67.40352 NA 256 0 0 0 
1993 322.4165 31.53575 -2.770876 0 -2.438498 0 -2.368009 0 -2.279968 0 0 0 69.83841 69.83841 NA NA 0 0 0 
1994 215.8099 24.64736 -4.247963 0 -4.204636 0 -4.251794 0 -4.184018 0 6.695477 6.542553 58.23127 58.23127 NA 196 65 0 0 
1995 269.1781 28.25973 -4.068076 0 -4.001865 0 -4.039232 0 -3.981194 0 0 0 61.66964 61.66964 NA 203 18 0 0 
1996 296.0668 31.02189 -3.514476 0 -3.432536 0 -3.440427 0 -3.395108 0 0 0 66.09095 66.09095 NA 234 6 0 0 
1997 220.327 27.32916 -5.070365 0 -5.048273 0 -5.103674 0 -5.039153 0 16.49192 16.34176 50.59244 45.62543 NA 187 61 28 0 
1998 296.8738 30.68334 -3.364081 0 -3.264066 0 -3.230798 0 -3.214226 0 0 0 67.54343 67.54343 NA 207 0 0 0 
1999 241.9883 28.88837 -4.566107 0 -4.520069 0 -4.611159 0 -4.500204 0 0 0 58.60821 58.60821 NA 190 51 0 0 
2000 280.8369 29.50634 -3.442519 0 -3.393616 0 -3.379092 0 -3.369164 0 0 0 66.77006 66.77006 NA 248 2 0 0 
2001 212.8848 27.37357 -5.484333 0 -5.45736 0 -5.507987 0 -5.446342 0 24.39457 24.15153 46.22447 39.90729 NA 175 150 15 0 
2002 290.8278 29.97721 -3.125413 0 -3.026156 0 -3.026758 0 -2.986677 0 0 0 69.03207 69.03207 NA 272 0 0 0 
2003 301.1463 30.67363 -3.13555 0 -3.022817 0 -3.014813 0 -2.969255 0 0 0 69.00912 69.00912 NA 238 0 0 0 
2004 300.3931 30.76574 -2.455619 0 -1.916518 0 -1.728227 0 -1.64978 0 0 0 70.56147 70.56147 NA NA 0 0 0 
2005 267.6029 28.05916 -3.25449 0 -3.121361 0 -3.079364 0 -3.065353 0 0 0 68.68638 68.68638 NA 236 0 0 0 
