Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2006 299.5499 30.04863 -2.94596 0 -2.718394 0 -2.667884 0 -2.60725 0 1.191551 1.044326 65.22241 65.22241 NA 254 
2007 243.1482 26.77422 -3.681009 0 -3.617037 0 -3.610138 0 -3.586404 0 3.423883 3.304392 57.73767 57.73767 NA 210 
2008 251.1239 26.51853 -3.639523 0 -3.58861 0 -3.589436 0 -3.563153 0 0 0 59.05211 59.05211 NA 215 
2009 278.6738 29.58967 -2.433137 0 -2.007963 0 -1.829426 0 -1.800027 0 0 0 66.77921 66.77921 NA NA 
2010 294.5771 30.00842 -3.134333 0 -3.023427 0 -3.00534 0 -2.967974 0 0 0 63.88225 63.88225 NA 258 
2011 262.7764 27.54623 -3.578393 0 -3.511335 0 -3.500969 0 -3.477806 0 0 0 59.56405 59.56405 NA 216 
2012 290.8479 30.55007 -2.312383 0 -1.746159 0 -1.469626 0 -1.463048 0 0 0 67.06672 67.06672 NA NA 
2013 282.4373 29.15287 -3.392957 0 -3.294834 0 -3.262619 0 -3.245773 0 0 0 61.22986 61.22986 NA 202 
2014 320.5303 32.05174 -2.440698 0 -1.915244 0 -1.670084 0 -1.673134 0 0 0 66.76124 66.76124 NA NA 
2015 281.9833 29.904 -3.792447 0 -3.696827 0 -3.721827 0 -3.648849 0 3.755006 3.552382 56.7516 56.7516 NA 215 
2016 249.8665 28.09806 -4.884112 0 -4.863419 0 -4.900348 0 -4.85561 0 13.65911 13.54896 47.44719 43.64004 NA 211 
2017 285.2035 29.83312 -3.402194 0 -3.317126 0 -3.285343 0 -3.276704 0 0 0 61.14258 61.14258 NA 215 
2018 335.9096 33.29325 -2.580924 0 -2.137624 0 -1.980819 0 -1.951282 0 0 0 66.42843 66.42843 NA NA 
2019 333.4989 32.62687 -2.53821 0 -2.065359 0 -1.885757 0 -1.852641 0 0 0 66.52969 66.52969 NA NA 
2020 305.1158 30.96326 -3.033453 0 -2.874263 0 -2.845372 0 -2.796025 0 0 0 65.03949 65.03949 NA 249 
2021 328.5071 32.26399 -3.016711 0 -2.779439 0 -2.762765 0 -2.673239 0 0 0 65.23903 65.23903 NA 223 
2022 271.5775 28.53361 -3.606216 0 -3.54094 0 -3.540573 0 -3.511417 0 0 0 59.32889 59.32889 NA 221 
2023 265.3751 28.18136 -3.681761 0 -3.586313 0 -3.589958 0 -3.562636 0 0 0 58.70832 58.70832 NA 211 
2024 300.5524 29.56865 -2.94184 0 -2.796801 0 -2.767819 0 -2.733227 0 0 0 65.57693 65.57693 NA 236 
2025 221.2967 28.16867 -5.475074 0 -5.451395 0 -5.50817 0 -5.444202 0 24.26277 24.10451 41.95224 36.42026 NA 181 
2026 295.9409 30.19403 -3.278387 0 -3.179477 0 -3.124755 0 -3.130895 0 0 0 62.35324 62.35324 NA 194 
2027 263.0028 27.35106 -3.610125 0 -3.532877 0 -3.511146 0 -3.494254 0 0 0 59.29614 59.29614 NA 192 
2028 252.2808 26.57036 -4.907199 0 -4.86326 0 -4.914592 0 -4.853109 0 0 0 51.31062 51.31062 NA 205 
2029 312.2895 30.46142 -2.865009 0 -2.624177 0 -2.568151 0 -2.507202 0 0 0 65.75757 65.75757 NA NA 
2030 309.5321 30.89499 -2.751887 0 -2.448924 0 -2.370597 0 -2.302725 0 0 0 66.02416 66.02416 NA NA 
2031 285.9085 29.93417 -3.726287 0 -3.682318 0 -3.681775 0 -3.660496 0 0 0 58.35434 58.35434 NA 201 
2032 308.8108 31.79742 -3.703225 0 -3.669769 0 -3.665578 0 -3.653041 0 0 0 58.53662 58.53662 NA 214 
2033 352.0286 34.13994 -2.46607 0 -2.012372 0 -1.815331 0 -1.789645 0 0 0 66.70094 66.70094 NA NA 
2034 283.2554 29.10532 -3.313742 0 -3.220351 0 -3.172981 0 -3.173655 0 0 0 61.99829 61.99829 NA 225 
2035 297.6202 30.07626 -3.392585 0 -3.2976 0 -3.252178 0 -3.250107 0 0 0 61.23337 61.23337 NA 206 
2036 265.8936 27.46496 -3.972333 0 -3.912351 0 -3.947712 0 -3.882359 0 0 0 56.54138 56.54138 NA 204 
2037 214.0369 25.45483 -5.617596 0 -5.602145 0 -5.642277 0 -5.597968 0 27.73939 27.63903 40.43316 35.19387 NA 192 
2038 335.5515 31.37228 -2.471546 0 -2.007279 0 -1.824447 0 -1.791777 0 0 0 66.68793 66.68793 NA NA 
2039 290.5048 29.57784 -3.514484 0 -3.432093 0 -3.399985 0 -3.390898 0 0 0 60.11831 60.11831 NA 220 
2040 243.5572 26.13939 -4.863686 0 -4.816882 0 -4.840301 0 -4.79348 0 0 0 51.50946 51.50946 NA 202 
2041 270.0041 27.55612 -3.973788 0 -3.912619 0 -3.960781 0 -3.883703 0 0 0 56.53132 56.53132 NA 211 
2042 280.4426 28.30314 -3.362241 0 -3.270875 0 -3.243097 0 -3.228071 0 0 0 61.52351 61.52351 NA 184 
2043 262.5113 27.89057 -3.852629 0 -3.803242 0 -3.811332 0 -3.778549 0 0 0 57.39448 57.39448 NA 229 
2044 200.9214 24.03196 -6.089645 0 -5.282715 0 -5.306032 0 -5.255772 0 0 0 46.99493 46.99493 NA 182 
2045 291.6307 29.28868 -3.702727 0 -3.633835 0 -3.619987 0 -3.599416 0 0 0 58.54058 58.54058 NA 201 
2046 288.6668 30.45897 -4.236753 0 -4.195634 0 -4.228506 0 -4.18452 0 0 0 54.82778 54.82778 NA 218 
2047 268.8261 27.96714 -4.487846 0 -4.464831 0 -4.484109 0 -4.453324 0 0 0 53.38746 53.38746 NA 202 
2048 336.8906 34.48381 -2.45989 0 -1.963837 0 -1.763659 0 -1.730979 0 0 0 66.71563 66.71563 NA NA 
2049 279.3684 30.12146 -3.854738 0 -3.736141 0 -3.723613 0 -3.682065 0 0 0 57.37899 57.37899 NA 209 
2050 287.3584 29.89156 -3.770149 0 -3.716358 0 -3.723943 0 -3.689462 0 0 0 58.01382 58.01382 NA 201 
2051 291.0039 29.67477 -3.183624 0 -3.054235 0 -3.020381 0 -2.994485 0 0 0 63.34349 63.34349 NA 211 
2052 266.0182 29.30495 -4.397305 0 -4.354627 0 -4.384599 0 -4.333288 0 0 0 53.88786 53.88786 NA 198 
2053 252.8361 26.89936 -3.811334 0 -3.762807 0 -3.758767 0 -3.738544 0 0 0 57.70121 57.70121 NA 208 
2054 323.2832 32.71459 -3.652213 0 -3.564964 0 -3.570826 0 -3.536946 0 0 0 58.94799 58.94799 NA 224 
2055 305.0424 29.51113 -3.274447 0 -3.203667 0 -3.157716 0 -3.169097 0 0 0 62.39326 62.39326 NA 260 
