Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 276.3903 28.98046 -3.340602 0 -3.250495 0 -3.237526 0 -3.215088 0 2.232641 2.141754 67.03872 67.03872 NA 222 0 0 0 
2007 266.9745 27.15769 -2.890222 0 -2.706723 0 -2.663777 0 -2.616431 0 0 0 69.56616 69.56616 NA 263 0 0 0 
2008 277.8786 28.8323 -3.482253 0 -3.426244 0 -3.419372 0 -3.397469 0 2.742461 2.651848 65.47009 65.47009 NA 224 6 0 0 
2009 281.4774 28.91942 -2.813596 0 -2.623978 0 -2.572605 0 -2.541938 0 0 0 69.74087 69.74087 NA NA 0 0 0 
2010 279.399 28.52735 -3.307059 0 -3.208096 0 -3.165331 0 -3.158615 0 0 0 68.12868 68.12868 NA 216 0 0 0 
2011 290.2724 30.74217 -2.880906 0 -2.658769 0 -2.608074 0 -2.555515 0 0 0 69.58738 69.58738 NA NA 0 0 0 
2012 288.8699 29.4576 -3.201008 0 -3.057191 0 -3.046714 0 -2.988133 0 0 0 68.8611 68.8611 NA 230 0 0 0 
2013 286.7153 28.16061 -3.396752 0 -3.295851 0 -3.291067 0 -3.25866 0 0 0 67.21696 67.21696 NA 215 0 0 0 
2014 308.9121 31.89512 -3.016002 0 -2.807616 0 -2.819842 0 -2.724127 0 0 0 69.28012 69.28012 NA 228 0 0 0 
2015 253.1041 29.025 -4.413953 0 -4.384498 0 -4.421094 0 -4.369838 0 8.176509 8.048093 56.7228 56.7228 NA 203 28 2 0 
2016 281.3577 29.17171 -3.200241 0 -3.109721 0 -3.066869 0 -3.066994 0 0 0 68.86283 68.86283 NA 240 0 0 0 
2017 247.9411 27.87617 -4.138588 0 -4.097894 0 -4.145047 0 -4.077546 0 0 0 61.19142 61.19142 NA 190 21 0 0 
2018 256.9972 27.47007 -4.212906 0 -4.130097 0 -4.203846 0 -4.10692 0 0 0 60.70472 60.70472 NA 195 13 0 0 
2019 278.8748 28.30842 -3.263169 0 -3.12573 0 -3.083891 0 -3.05783 0 0 0 68.59307 68.59307 NA 235 0 0 0 
2020 339.8412 34.54984 -2.45506 0 -1.901929 0 -1.722194 0 -1.625363 0 0 0 70.56276 70.56276 NA NA 0 0 0 
2021 291.6062 30.27778 -3.598868 0 -3.534869 0 -3.546996 0 -3.50287 0 0 0 65.32908 65.32908 NA 220 12 0 0 
2022 326.0249 33.93388 -2.451097 0 -1.940459 0 -1.736703 0 -1.685139 0 0 0 70.57188 70.57188 NA NA 0 0 0 
2023 221.8008 28.43672 -5.552225 0 -5.495039 0 -5.541619 0 -5.463284 0 25.23811 24.52602 45.68644 38.2202 NA 181 176 21 0 
2024 329.8578 34.02147 -2.360864 0 -1.770251 0 -1.532176 0 -1.487037 0 0 0 70.77988 70.77988 NA NA 0 0 0 
2025 309.9337 30.4742 -2.568651 0 -2.123159 0 -2.00054 0 -1.90596 0 0 0 70.30158 70.30158 NA NA 0 0 0 
2026 245.3906 27.20285 -5.05883 0 -4.983911 0 -5.073081 0 -4.946451 0 0 0 56.17258 56.17258 NA 204 42 4 0 
2027 291.8792 29.6642 -3.492032 0 -3.407387 0 -3.396342 0 -3.377375 0 0 0 66.29977 66.29977 NA 233 5 0 0 
2028 276.651 27.733 -3.528515 0 -3.430948 0 -3.440597 0 -3.382164 0 0 0 65.96168 65.96168 NA 205 2 0 0 
2029 343.565 32.41077 -2.802472 0 -2.513255 0 -2.451564 0 -2.373435 0 0 0 69.76626 69.76626 NA NA 0 0 0 
2030 299.2573 30.50873 -4.124066 0 -4.0819 0 -4.117028 0 -4.063896 0 0 0 61.28858 61.28858 NA 224 22 0 0 
2031 289.6378 29.41135 -3.580991 0 -3.511437 0 -3.517686 0 -3.476661 0 0 0 65.48748 65.48748 NA 220 8 0 0 
2032 309.2147 30.72068 -3.388742 0 -3.31271 0 -3.292693 0 -3.274693 0 0 0 67.29642 67.29642 NA 220 0 0 0 
2033 345.3382 35.81495 -2.687946 0 -2.312162 0 -2.234135 0 -2.1291 0 0 0 70.02807 70.02807 NA NA 0 0 0 
2034 280.8691 30.5844 -4.114182 0 -4.07372 0 -4.124379 0 -4.053489 0 0 0 61.35509 61.35509 NA 232 18 0 0 
2035 286.7535 29.42222 -3.266469 0 -3.102896 0 -3.099142 0 -3.050997 0 0 0 68.55772 68.55772 NA 213 0 0 0 
2036 301.3118 30.15219 -3.077367 0 -2.922156 0 -2.92078 0 -2.84728 0 0 0 69.14091 69.14091 NA 228 0 0 0 
2037 301.4944 30.77232 -3.260129 0 -3.096306 0 -3.101141 0 -3.014449 0 0 0 68.6257 68.6257 NA 208 0 0 0 
2038 309.3176 30.3038 -3.477184 0 -3.407316 0 -3.396695 0 -3.372382 0 0 0 66.4394 66.4394 NA 212 2 0 0 
2039 282.128 28.25725 -3.503384 0 -3.40988 0 -3.400259 0 -3.363128 0 0 0 66.19381 66.19381 NA 217 3 0 0 
2040 268.0516 29.44611 -4.245943 0 -4.201945 0 -4.252412 0 -4.179946 0 0 0 60.49384 60.49384 NA 199 23 0 0 
2041 296.536 30.17341 -3.75592 0 -3.681001 0 -3.730511 0 -3.643542 0 0 0 64.0024 64.0024 NA 215 6 0 0 
2042 340.6337 33.65146 -2.386487 0 -1.818052 0 -1.613327 0 -1.536022 0 0 0 70.72077 70.72077 NA NA 0 0 0 
2043 310.6366 30.3105 -3.307614 0 -3.219966 0 -3.198342 0 -3.178346 0 0 0 68.12288 68.12288 NA 182 0 0 0 
