Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 259.5356 26.92486 -3.450058 0 -3.38344 0 -3.398669 0 -3.360099 0 2.608732 2.538506 65.82648 65.82648 NA 216 7 0 0 
1986 274.5156 29.55092 -3.538969 0 -3.439511 0 -3.42198 0 -3.38975 0 2.785246 2.628039 64.93494 64.93494 NA 204 3 0 0 
1987 306.0264 30.17958 -2.570173 0 -2.256039 0 -2.148292 0 -2.103749 0 0 0 70.29809 70.29809 NA NA 0 0 0 
1988 282.6013 30.88401 -3.25909 0 -3.192508 0 -3.156745 0 -3.159218 0 0 0 68.63686 68.63686 NA 233 0 0 0 
1989 313.2503 31.43225 -2.413698 0 -1.990599 0 -1.812575 0 -1.783456 0 0 0 70.65804 70.65804 NA NA 0 0 0 
1990 271.0926 29.19155 -3.42099 0 -3.312181 0 -3.286175 0 -3.270223 0 0 0 66.9788 66.9788 NA 210 2 0 0 
1991 302.4645 29.76824 -3.381013 0 -3.294305 0 -3.25268 0 -3.251306 0 0 0 67.37345 67.37345 NA 241 0 0 0 
1992 315.2264 31.76192 -2.362104 0 -1.92454 0 -1.746801 0 -1.706811 0 0 0 70.77701 70.77701 NA NA 0 0 0 
1993 217.8072 25.32025 -4.556579 0 -4.538935 0 -4.575428 0 -4.532003 0 9.681281 9.607685 55.40782 55.40782 NA 207 80 22 0 
1994 269.7107 28.08376 -3.037273 0 -2.864625 0 -2.861053 0 -2.780669 0 0 0 69.23184 69.23184 NA 225 0 0 0 
1995 272.2745 27.57802 -3.620106 0 -3.558486 0 -3.548519 0 -3.527677 0 0 0 65.14295 65.14295 NA 223 7 0 0 
1996 295.5709 28.72958 -3.098723 0 -2.976905 0 -2.978515 0 -2.920932 0 0 0 69.09252 69.09252 NA 240 0 0 0 
1997 272.7055 28.48907 -2.947637 0 -2.778169 0 -2.755547 0 -2.710018 0 0 0 69.43548 69.43548 NA 253 0 0 0 
1998 306.4523 31.59978 -2.538187 0 -2.147386 0 -1.99895 0 -1.953767 0 0 0 70.37156 70.37156 NA NA 0 0 0 
1999 269.0891 29.44549 -3.954477 0 -3.910619 0 -3.923528 0 -3.88869 0 0 0 62.47595 62.47595 NA 207 26 0 0 
2000 269.098 30.15594 -3.719613 0 -3.678753 0 -3.705204 0 -3.658324 0 0 0 64.29915 64.29915 NA 193 22 0 0 
2001 292.3119 29.32614 -2.6624 0 -2.332217 0 -2.24387 0 -2.181162 0 0 0 70.08658 70.08658 NA NA 0 0 0 
2002 230.3687 25.82865 -4.170031 0 -4.138922 0 -4.165332 0 -4.131113 0 0 0 60.98339 60.98339 NA 200 32 0 0 
2003 297.2431 30.5218 -2.69253 0 -2.388542 0 -2.284525 0 -2.244132 0 0 0 70.01758 70.01758 NA NA 0 0 0 
2004 300.8651 30.55279 -3.135591 0 -2.977757 0 -3.002838 0 -2.906756 0 0 0 69.00903 69.00903 NA 214 0 0 0 
2005 216.0932 26.22709 -4.535511 0 -4.514504 0 -4.540848 0 -4.504 0 0 0 58.7769 58.7769 NA 202 69 0 0 
