Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 266.9225 27.51292 -3.153853 0 -3.005329 0 -3.003507 0 -2.931908 0 1.673123 1.534185 68.40878 68.40878 NA 225 0 0 0 
2007 253.8338 27.80356 -3.948779 0 -3.892812 0 -3.924878 0 -3.863511 0 4.703773 4.549893 60.93708 60.93708 NA 219 28 0 0 
2008 300.1346 31.93615 -3.160929 0 -3.056427 0 -3.038747 0 -3.005744 0 0 0 68.9517 68.9517 NA 248 0 0 0 
2009 220.3125 27.45333 -4.449648 0 -4.39393 0 -4.501707 0 -4.369144 0 8.261895 8.039242 56.49203 56.49203 NA 182 78 1 0 
2010 306.8576 30.51301 -2.84273 0 -2.591856 0 -2.554521 0 -2.469937 0 0 0 69.6744 69.6744 NA NA 0 0 0 
2011 307.9529 32.57884 -2.269928 0 -1.617023 0 -1.351917 0 -1.29057 0 0 0 70.98994 70.98994 NA NA 0 0 0 
2012 249.4113 28.77838 -4.911213 0 -4.887879 0 -4.957063 0 -4.880419 0 14.00896 13.90148 52.17246 47.55877 NA 207 28 9 0 
2013 319.7883 34.0373 -2.298129 0 -1.715865 0 -1.504122 0 -1.427751 0 0 0 70.92475 70.92475 NA NA 0 0 0 
2014 269.1984 28.49147 -3.488209 0 -3.410185 0 -3.401905 0 -3.383046 0 0 0 66.3356 66.3356 NA 232 5 0 0 
2015 278.3192 29.62249 -4.910236 0 -4.851702 0 -4.956576 0 -4.824383 0 0 0 56.85563 56.85563 NA 193 30 1 0 
2016 302.8885 32.677 -3.00529 0 -2.825516 0 -2.815094 0 -2.738577 0 0 0 69.30445 69.30445 NA 225 0 0 0 
2017 266.7466 28.41761 -3.677363 0 -3.607611 0 -3.617058 0 -3.572735 0 0 0 64.65184 64.65184 NA 218 9 0 0 
2018 283.5424 30.25378 -3.643283 0 -3.557367 0 -3.551702 0 -3.51441 0 0 0 64.9423 64.9423 NA 215 10 0 0 
2019 327.9658 31.43 -2.777403 0 -2.518488 0 -2.460261 0 -2.419977 0 0 0 69.8235 69.8235 NA NA 0 0 0 
2020 269.2961 29.8744 -4.363652 0 -4.31669 0 -4.37522 0 -4.293209 0 0 0 59.76842 59.76842 NA 181 26 0 0 
2021 259.5684 28.79583 -3.856932 0 -3.795015 0 -3.834726 0 -3.764057 0 0 0 63.20621 63.20621 NA 207 12 0 0 
2022 242.1742 25.44611 -4.205148 0 -4.169485 0 -4.207549 0 -4.151654 0 0 0 60.75473 60.75473 NA 237 51 0 0 
2023 209.4328 25.61321 -5.154569 0 -5.121657 0 -5.200534 0 -5.10837 0 17.74076 17.50927 49.80397 43.96509 NA 199 76 37 0 
2024 250.3629 26.83734 -4.038272 0 -3.974829 0 -4.032908 0 -3.943107 0 0 0 61.8768 61.8768 NA 208 19 0 0 
2025 302.9285 31.301 -2.408045 0 -2.090752 0 -1.944362 0 -1.932106 0 0 0 70.67106 70.67106 NA NA 0 0 0 
2026 319.6726 31.6272 -2.277713 0 -1.578757 0 -1.309426 0 -1.250847 0 0 0 70.97194 70.97194 NA NA 0 0 0 
2027 262.1005 27.8885 -4.313095 0 -4.296753 0 -4.319994 0 -4.288582 0 0 0 60.07514 60.07514 NA 217 41 0 0 
2028 340.5308 33.9688 -2.838301 0 -2.569786 0 -2.517386 0 -2.440966 0 0 0 69.6845 69.6845 NA NA 0 0 0 
2029 324.6808 32.64868 -2.704788 0 -2.348031 0 -2.281355 0 -2.173435 0 0 0 69.98952 69.98952 NA NA 0 0 0 
2030 249.6591 28.74044 -4.115501 0 -4.072126 0 -4.104903 0 -4.050439 0 0 0 61.3462 61.3462 NA 202 23 0 0 
2031 295.9578 29.66022 -3.185919 0 -3.015554 0 -3.02637 0 -2.954939 0 0 0 68.8952 68.8952 NA 229 0 0 0 
2032 271.1446 29.52865 -4.411185 0 -4.371365 0 -4.435454 0 -4.358838 0 0 0 59.48645 59.48645 NA 198 16 0 0 
2033 290.0382 28.40364 -3.191069 0 -3.083896 0 -3.044293 0 -3.039989 0 0 0 68.88356 68.88356 NA 242 0 0 0 
2034 288.0786 29.39293 -3.349128 0 -3.244645 0 -3.223576 0 -3.206864 0 0 0 67.69497 67.69497 NA 213 0 0 0 
2035 336.0929 31.52837 -2.938597 0 -2.77546 0 -2.743998 0 -2.704953 0 0 0 69.45604 69.45604 NA 266 0 0 0 
2036 241.1047 26.36709 -4.358724 0 -4.333546 0 -4.379847 0 -4.322112 0 0 0 59.798 59.798 NA 180 49 0 0 
2037 310.921 31.57236 -2.665577 0 -2.49969 0 -2.447254 0 -2.418526 0 0 0 70.0793 70.0793 NA NA 0 0 0 
2038 322.212 32.85424 -3.960553 0 -3.792105 0 -3.795181 0 -3.712195 0 0 0 62.43165 62.43165 NA 200 6 0 0 
2039 291.5245 30.07456 -3.581734 0 -3.479567 0 -3.480113 0 -3.428483 0 0 0 65.48086 65.48086 NA 236 2 0 0 
2040 244.3366 27.65876 -3.875164 0 -3.802497 0 -3.851071 0 -3.777889 0 0 0 63.06693 63.06693 NA 218 38 0 0 
2041 264.1346 29.10237 -3.868913 0 -3.824156 0 -3.848418 0 -3.804114 0 0 0 63.11454 63.11454 NA 201 22 0 0 
2042 293.8228 32.7562 -4.105254 0 -4.06561 0 -4.130532 0 -4.047538 0 0 0 61.41545 61.41545 NA 202 14 0 0 
2043 272.8682 28.04232 -3.352807 0 -3.253941 0 -3.215211 0 -3.204508 0 0 0 67.65756 67.65756 NA 223 0 0 0 
2044 296.1107 31.66713 -4.183397 0 -4.158345 0 -4.190585 0 -4.145819 0 0 0 60.89591 60.89591 NA 203 28 0 0 
2045 265.8405 27.67097 -3.795517 0 -3.74217 0 -3.782533 0 -3.715496 0 0 0 63.68525 63.68525 NA 204 13 0 0 
2046 318.9075 31.85239 -2.965336 0 -2.75383 0 -2.755471 0 -2.650058 0 0 0 69.39523 69.39523 NA 230 0 0 0 
2047 287.2171 30.45519 -4.079851 0 -4.04613 0 -4.074367 0 -4.02927 0 0 0 61.58864 61.58864 NA 247 21 0 0 
2048 277.4574 30.48198 -3.621244 0 -3.572709 0 -3.569683 0 -3.548442 0 0 0 65.13303 65.13303 NA 208 8 0 0 
2049 230.8078 25.94308 -3.862452 0 -3.803586 0 -3.826304 0 -3.774152 0 0 0 63.1639 63.1639 NA 190 19 0 0 
2050 286.0671 30.20312 -3.6642 0 -3.607578 0 -3.612926 0 -3.579267 0 0 0 64.76338 64.76338 NA 212 13 0 0 
2051 269.6424 28.26772 -4.425475 0 -4.401755 0 -4.437199 0 -4.390015 0 0 0 59.40287 59.40287 NA 203 28 0 0 
