Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 0 44.40292 -2.394643 0 -1.567313 0 -1.236175 0 -1.152412 0 0.3020753 0.1843558 NaN NaN NA NA NA NA NA 
2007 312.2287 31.75112 -3.586794 0 -3.493943 0 -3.489011 0 -3.446364 0 2.967667 2.807599 64.44308 64.44308 NA 192 4 0 0 
2008 230.7375 28.40571 -5.066667 0 -5.03061 0 -5.094877 0 -5.023699 0 16.20722 16.08981 50.69354 45.47748 NA 202 55 14 0 
2009 306.6976 32.35486 -2.901228 0 -2.696243 0 -2.64729 0 -2.604956 0 0 0 69.54109 69.54109 NA NA 0 0 0 
2010 286.0244 29.68476 -2.523302 0 -2.057707 0 -1.884952 0 -1.846361 0 0 0 70.40577 70.40577 NA NA 0 0 0 
2011 329.9665 33.5118 -2.416357 0 -1.881167 0 -1.702081 0 -1.700905 0 0 0 70.65191 70.65191 NA NA 0 0 0 
2012 248.3946 28.389 -4.871581 0 -4.797245 0 -4.877839 0 -4.760077 0 0 0 57.04015 57.04015 NA 195 36 0 0 
2013 324.7376 32.38702 -2.521641 0 -2.043322 0 -1.886199 0 -1.809241 0 0 0 70.40958 70.40958 NA NA 0 0 0 
2014 264.1508 28.64587 -3.550453 0 -3.481475 0 -3.481158 0 -3.454003 0 0 0 65.76173 65.76173 NA 234 7 0 0 
2015 324.8375 30.5295 -2.874761 0 -2.565853 0 -2.529813 0 -2.415406 0 0 0 69.60138 69.60138 NA NA 0 0 0 
2016 298.6658 31.2368 -3.627137 0 -3.433618 0 -3.446046 0 -3.394204 0 0 0 65.0818 65.0818 NA 213 4 0 0 
2017 262.6963 27.3989 -3.110357 0 -2.995856 0 -2.990139 0 -2.942838 0 0 0 69.06616 69.06616 NA 243 0 0 0 
2018 247.5832 27.28613 -3.930902 0 -3.882977 0 -3.896247 0 -3.859014 0 0 0 62.64912 62.64912 NA 222 12 0 0 
2019 280.174 28.61674 -3.117359 0 -2.999961 0 -3.002953 0 -2.942848 0 0 0 69.05031 69.05031 NA 236 0 0 0 
2020 236.9008 26.24838 -3.340025 0 -3.201197 0 -3.174409 0 -3.170076 0 0 0 67.78789 67.78789 NA 200 0 0 0 
2021 228.3676 26.74598 -4.821862 0 -4.796255 0 -4.836 0 -4.783452 0 0 0 57.28183 57.28183 NA 197 34 0 0 
2022 316.5757 33.52298 -3.544807 0 -3.446991 0 -3.456669 0 -3.409667 0 0 0 65.81295 65.81295 NA 223 5 0 0 
2023 262.3083 29.17265 -3.886034 0 -3.831983 0 -3.875802 0 -3.804958 0 0 0 62.98451 62.98451 NA 212 10 0 0 
2024 227.6122 25.58546 -4.398223 0 -4.361765 0 -4.423299 0 -4.344913 0 0 0 59.56274 59.56274 NA 199 23 0 0 
2025 241.844 25.55946 -3.341516 0 -3.236765 0 -3.202639 0 -3.18439 0 0 0 67.77264 67.77264 NA 212 0 0 0 
2026 282.356 29.63748 -2.701913 0 -2.44621 0 -2.367461 0 -2.337645 0 0 0 69.9961 69.9961 NA NA 0 0 0 
2027 249.1072 27.17639 -3.458966 0 -3.342592 0 -3.317735 0 -3.284405 0 0 0 66.61234 66.61234 NA 222 1 0 0 
2028 311.0338 30.46479 -3.166287 0 -3.008735 0 -3.013653 0 -2.951763 0 0 0 68.93958 68.93958 NA 219 0 0 0 
2029 296.6807 30.48487 -2.908007 0 -2.67441 0 -2.646364 0 -2.566553 0 0 0 69.52566 69.52566 NA NA 0 0 0 
2030 272.4537 29.30956 -3.668162 0 -3.603239 0 -3.612867 0 -3.579422 0 0 0 64.72973 64.72973 NA 208 6 0 0 
2031 293.9443 30.5465 -2.845532 0 -2.527878 0 -2.498123 0 -2.377487 0 0 0 69.66801 69.66801 NA NA 0 0 0 
2032 253.3845 26.61465 -4.028664 0 -4.004546 0 -4.021956 0 -3.992487 0 0 0 61.94423 61.94423 NA 230 21 0 0 
2033 282.8178 29.91842 -3.293716 0 -3.185091 0 -3.139681 0 -3.149965 0 0 0 68.26855 68.26855 NA 251 0 0 0 
2034 292.3723 29.14641 -3.512196 0 -3.417286 0 -3.410211 0 -3.372078 0 0 0 66.11204 66.11204 NA 230 3 0 0 
2035 261.8206 25.15428 -3.800387 0 -3.752723 0 -3.780041 0 -3.728892 0 0 0 63.64669 63.64669 NA 219 11 0 0 
2036 247.2161 25.54616 -3.267975 0 -3.149563 0 -3.103215 0 -3.095849 0 0 0 68.54161 68.54161 NA 237 0 0 0 
2037 294.889 29.15532 -3.47243 0 -3.359877 0 -3.347586 0 -3.3036 0 0 0 66.48435 66.48435 NA 227 2 0 0 
2038 319.9539 30.14501 -3.133586 0 -3.023969 0 -3.014238 0 -2.977244 0 0 0 69.01357 69.01357 NA 229 0 0 0 
2039 242.9043 26.02509 -4.192396 0 -4.084914 0 -4.09678 0 -4.035694 0 0 0 60.83731 60.83731 NA 205 30 0 0 
2040 248.3513 27.41539 -4.228707 0 -4.190501 0 -4.225481 0 -4.171398 0 0 0 60.60345 60.60345 NA 196 21 0 0 
2041 278.69 29.27564 -3.373497 0 -3.233929 0 -3.210737 0 -3.19883 0 0 0 67.44869 67.44869 NA 209 0 0 0 
2042 303.3303 28.44887 -3.93756 0 -3.871784 0 -3.932362 0 -3.838896 0 0 0 62.6 62.6 NA 212 14 0 0 
2043 310.9904 30.89139 -3.074335 0 -2.94783 0 -2.950053 0 -2.884964 0 0 0 69.14778 69.14778 NA 195 0 0 0 
2044 315.1972 31.86104 -3.405222 0 -3.323749 0 -3.291786 0 -3.283013 0 0 0 67.13335 67.13335 NA 241 0 0 0 
2045 279.7376 29.20406 -3.398634 0 -3.310225 0 -3.290349 0 -3.266611 0 0 0 67.19835 67.19835 NA 223 0 0 0 
2046 274.435 28.11866 -3.243727 0 -3.089573 0 -3.073769 0 -3.028141 0 0 0 68.76463 68.76463 NA 227 0 0 0 
2047 209.5678 22.54047 -3.851486 0 -3.776681 0 -3.792275 0 -3.739279 0 0 0 63.24807 63.24807 NA 202 36 0 0 
2048 304.8685 32.634 -3.732143 0 -3.616347 0 -3.632719 0 -3.560861 0 0 0 64.19609 64.19609 NA 223 5 0 0 
2049 324.7986 32.33868 -3.050084 0 -2.886808 0 -2.882744 0 -2.808142 0 0 0 69.20278 69.20278 NA 214 0 0 0 
2050 316.1075 31.72441 -3.422301 0 -3.356425 0 -3.346356 0 -3.323487 0 0 0 66.96601 66.96601 NA 239 1 0 0 
2051 287.1649 30.25456 -3.536579 0 -3.410352 0 -3.3735 0 -3.352131 0 0 0 65.8879 65.8879 NA 216 2 0 0 
2052 208.8977 23.28403 -3.658752 0 -3.585624 0 -3.599304 0 -3.552057 0 0 0 64.80979 64.80979 NA 183 13 0 0 
2053 236.0076 29.6541 -5.537277 0 -5.516114 0 -5.563107 0 -5.510414 0 25.71827 25.58782 45.60919 38.8721 NA 197 158 19 0 
2054 258.4011 27.66695 -3.359115 0 -3.247184 0 -3.202896 0 -3.191218 0 0 0 67.59361 67.59361 NA 218 0 0 0 
2055 240.5268 26.08463 -3.66744 0 -3.642283 0 -3.646846 0 -3.63162 0 0 0 64.73585 64.73585 NA 200 32 0 0 
2056 301.0811 30.78428 -2.876837 0 -2.675701 0 -2.647883 0 -2.593723 0 0 0 69.59665 69.59665 NA NA 0 0 0 
2057 297.7407 29.7714 -3.272196 0 -3.19202 0 -3.150419 0 -3.151932 0 0 0 68.49654 68.49654 NA 253 0 0 0 
2058 305.0799 32.36159 -3.572464 0 -3.477354 0 -3.470944 0 -3.429799 0 0 0 65.56358 65.56358 NA 200 5 0 0 
2059 232.6924 26.19225 -4.3369 0 -4.317948 0 -4.33585 0 -4.311019 0 0 0 59.92982 59.92982 NA 226 28 0 0 
2060 270.2658 26.2521 -2.909594 0 -2.845954 0 -2.842141 0 -2.814667 0 0 0 69.52205 69.52205 NA 286 0 0 0 
2061 250.3287 27.04857 -3.391085 0 -3.316695 0 -3.30019 0 -3.286334 0 0 0 67.27315 67.27315 NA 204 0 0 0 
2062 309.257 30.97083 -3.294843 0 -3.196149 0 -3.16611 0 -3.160967 0 0 0 68.25669 68.25669 NA 247 0 0 0 
2063 252.7299 25.86393 -3.914584 0 -3.859406 0 -3.872292 0 -3.844453 0 0 0 62.77021 62.77021 NA 212 18 0 0 
