Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 303.7441 30.9859 -2.891556 0 -2.722651 0 -2.687307 0 -2.640944 0 1.197581 1.086948 69.1617 69.1617 NA 250 0 0 0 
1986 268.5741 26.75562 -3.096112 0 -2.957174 0 -2.952798 0 -2.911727 0 1.580667 1.498027 68.6184 68.6184 NA 219 0 0 0 
1987 220.3289 25.54431 -4.372283 0 -4.321739 0 -4.359121 0 -4.296122 0 7.6286 7.419358 57.15344 57.15344 NA 197 60 0 0 
1988 327.3018 32.42162 -2.581974 0 -2.215454 0 -2.090272 0 -2.038102 0 0 0 70.271 70.271 NA NA 0 0 0 
1989 274.2067 29.9385 -3.673324 0 -3.607522 0 -3.628185 0 -3.57462 0 0 0 64.68598 64.68598 NA 185 5 0 0 
1990 215.5426 25.06372 -4.629339 0 -4.595801 0 -4.64652 0 -4.580864 0 10.29342 10.12909 54.8079 51.27177 NA 199 62 14 0 
1991 229.222 26.02561 -4.100325 0 -4.060832 0 -4.10527 0 -4.048214 0 0 0 61.44889 61.44889 NA 206 49 0 0 
1992 263.4174 28.50169 -3.248353 0 -3.12597 0 -3.087652 0 -3.072072 0 0 0 68.75267 68.75267 NA 247 0 0 0 
1993 304.1857 31.2475 -2.724735 0 -2.499509 0 -2.419701 0 -2.388733 0 0 0 69.94389 69.94389 NA NA 0 0 0 
1994 276.6174 27.69108 -3.365382 0 -3.254513 0 -3.202292 0 -3.19962 0 0 0 67.53031 67.53031 NA 248 0 0 0 
1995 294.0255 31.95925 -3.792621 0 -3.719551 0 -3.761495 0 -3.683016 0 0 0 63.70822 63.70822 NA 216 16 0 0 
1996 291.7255 30.46599 -2.834066 0 -2.593935 0 -2.544007 0 -2.478189 0 0 0 69.69416 69.69416 NA NA 0 0 0 
1997 325.7199 32.45433 -2.389608 0 -1.751948 0 -1.5259 0 -1.537834 0 0 0 70.71357 70.71357 NA NA 0 0 0 
1998 291.1552 29.7227 -3.038996 0 -2.927875 0 -2.932262 0 -2.874347 0 0 0 69.22793 69.22793 NA 216 0 0 0 
1999 332.1665 33.54706 -2.758682 0 -2.493304 0 -2.425702 0 -2.366281 0 0 0 69.86628 69.86628 NA NA 0 0 0 
2000 274.1559 29.08808 -3.419352 0 -3.318359 0 -3.307231 0 -3.267862 0 0 0 66.99478 66.99478 NA 232 1 0 0 
2001 235.2247 25.457 -3.899315 0 -3.868724 0 -3.885112 0 -3.861185 0 0 0 62.88443 62.88443 NA 230 19 0 0 
2002 212.5173 25.97064 -4.987748 0 -4.936492 0 -4.9953 0 -4.919528 0 14.72671 14.47276 51.59607 46.63575 NA 179 118 7 0 
2003 267.0511 29.1097 -3.279205 0 -3.161778 0 -3.102064 0 -3.103336 0 0 0 68.42195 68.42195 NA 235 0 0 0 
2004 226.6228 24.06849 -4.061031 0 -4.011702 0 -4.055142 0 -3.987038 0 0 0 61.71834 61.71834 NA 207 17 0 0 
2005 303.3189 30.64269 -2.606862 0 -2.281518 0 -2.180471 0 -2.165534 0 0 0 70.21389 70.21389 NA NA 0 0 0 
