Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 267.3559 27.33865 -4.021888 0 -3.988424 0 -4.006104 0 -3.970802 0 5.245637 5.141519 60.22938 60.22938 NA 220 30 0 0 
1986 284.7583 30.36443 -3.283518 0 -3.183771 0 -3.143636 0 -3.14554 0 0 0 68.37622 68.37622 NA 230 0 0 0 
1987 287.8208 30.91883 -3.024639 0 -2.796407 0 -2.811161 0 -2.691809 0 0 0 69.26052 69.26052 NA 225 0 0 0 
1988 237.1282 24.73429 -3.696987 0 -3.671113 0 -3.686047 0 -3.658176 0 0 0 64.48702 64.48702 NA 228 26 0 0 
1989 295.3795 28.80213 -2.880297 0 -2.660905 0 -2.633873 0 -2.55501 0 0 0 69.58877 69.58877 NA NA 0 0 0 
1990 272.1825 29.61859 -3.820908 0 -3.779235 0 -3.793129 0 -3.759327 0 0 0 63.48533 63.48533 NA 222 21 0 0 
1991 252.5368 28.49213 -4.192693 0 -4.157767 0 -4.210246 0 -4.14258 0 6.352716 6.244999 58.70084 58.70084 NA 190 27 0 0 
1992 339.2272 34.60372 -2.564282 0 -2.146174 0 -2.017607 0 -1.943225 0 0 0 70.31161 70.31161 NA NA 0 0 0 
1993 265.2599 27.86775 -3.517283 0 -3.431889 0 -3.422723 0 -3.41432 0 0 0 66.06502 66.06502 NA 237 5 0 0 
1994 228.5409 26.93392 -4.649547 0 -4.623593 0 -4.673888 0 -4.612836 0 10.60548 10.48372 54.59585 51.38925 NA 175 53 7 0 
1995 286.4708 29.93948 -2.713605 0 -2.470405 0 -2.388186 0 -2.359031 0 0 0 69.96935 69.96935 NA NA 0 0 0 
1996 250.804 25.94984 -2.966301 0 -2.855051 0 -2.83742 0 -2.80851 0 0 0 69.39304 69.39304 NA 266 0 0 0 
1997 285.8291 29.10303 -2.966496 0 -2.808407 0 -2.796458 0 -2.736466 0 0 0 69.3926 69.3926 NA 241 0 0 0 
1998 272.6259 29.66386 -3.41198 0 -3.279958 0 -3.248904 0 -3.213946 0 0 0 67.06694 67.06694 NA 210 0 0 0 
1999 309.7228 32.93445 -2.699809 0 -2.330583 0 -2.244543 0 -2.150024 0 0 0 70.00092 70.00092 NA NA 0 0 0 
2000 285.9335 28.47674 -3.126666 0 -3.012399 0 -3.008949 0 -2.971526 0 0 0 69.02923 69.02923 NA 227 0 0 0 
2001 288.2195 28.04468 -2.829527 0 -2.594466 0 -2.571629 0 -2.543802 0 0 0 69.70451 69.70451 NA NA 0 0 0 
2002 251.9709 29.32508 -4.241403 0 -4.185525 0 -4.245896 0 -4.157586 0 0 0 60.52262 60.52262 NA 188 24 0 0 
2003 287.4713 28.90016 -2.984246 0 -2.85892 0 -2.863632 0 -2.832218 0 0 0 69.35225 69.35225 NA 271 0 0 0 
2004 270.7895 28.29634 -3.332425 0 -3.245024 0 -3.199279 0 -3.203035 0 0 0 67.86585 67.86585 NA 204 0 0 0 
2005 289.4832 29.00984 -3.459446 0 -3.395834 0 -3.396615 0 -3.370116 0 0 0 66.60777 66.60777 NA 204 3 0 0 
