Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 249.1131 26.15661 -3.181068 0 -3.047116 0 -3.035692 0 -2.979504 0 1.757647 1.622898 68.318 68.318 NA 228 0 0 0 
2007 233.1618 30.23949 -5.962618 0 -5.938273 0 -5.984759 0 -5.926082 0 36.49202 36.15365 40.48951 32.28402 NA 194 164 35 8 
2008 242.9029 26.59068 -3.899486 0 -3.857155 0 -3.882697 0 -3.83599 0 0 0 62.88314 62.88314 NA 211 16 0 0 
2009 232.3065 25.1298 -5.172747 0 -5.137294 0 -5.184406 0 -5.119568 0 0 0 55.6755 55.6755 NA 198 41 11 0 
2010 263.7644 26.67423 -3.554097 0 -3.50504 0 -3.519813 0 -3.480511 0 0 0 65.72876 65.72876 NA 221 5 0 0 
2011 303.1679 31.82204 -3.740553 0 -3.650301 0 -3.681287 0 -3.628758 0 0 0 64.1273 64.1273 NA 220 13 0 0 
2012 276.2882 28.8872 -4.437149 0 -4.415045 0 -4.452639 0 -4.403992 0 0 0 59.33499 59.33499 NA 202 18 0 0 
2013 252.3497 26.84097 -4.293601 0 -4.25905 0 -4.311142 0 -4.248615 0 0 0 60.19534 60.19534 NA 197 20 0 0 
2014 307.3408 31.32395 -2.969223 0 -2.811271 0 -2.773851 0 -2.740295 0 0 0 69.3864 69.3864 NA 228 0 0 0 
2015 262.9202 28.14444 -3.717046 0 -3.661923 0 -3.670556 0 -3.634362 0 0 0 64.32035 64.32035 NA 225 16 0 0 
2016 234.1195 27.10099 -3.74171 0 -3.682864 0 -3.676461 0 -3.65344 0 0 0 64.11786 64.11786 NA 201 28 0 0 
2017 288.7243 31.12044 -2.372867 0 -1.747598 0 -1.534712 0 -1.50125 0 0 0 70.75218 70.75218 NA NA 0 0 0 
2018 276.6213 29.50071 -3.591166 0 -3.519528 0 -3.531848 0 -3.483709 0 0 0 65.39713 65.39713 NA 202 19 0 0 
2019 266.6926 29.54818 -4.208225 0 -4.156414 0 -4.209548 0 -4.130508 0 0 0 60.73487 60.73487 NA 196 21 0 0 
2020 327.2996 35.29144 -2.985444 0 -2.738628 0 -2.782368 0 -2.618525 0 0 0 69.34953 69.34953 NA 207 0 0 0 
2021 304.3525 31.22143 -3.268245 0 -3.145566 0 -3.097241 0 -3.093825 0 0 0 68.53873 68.53873 NA 208 0 0 0 
2022 266.8724 27.80765 -3.32115 0 -3.25258 0 -3.22142 0 -3.218294 0 0 0 67.98218 67.98218 NA 253 0 0 0 
2023 300.5348 29.3793 -3.448781 0 -3.364581 0 -3.345076 0 -3.322481 0 0 0 66.70984 66.70984 NA 253 1 0 0 
2024 268.4515 28.36826 -3.178346 0 -3.08556 0 -3.060198 0 -3.059909 0 0 0 68.91232 68.91232 NA 221 0 0 0 
2025 295.5895 31.43172 -3.738878 0 -3.639109 0 -3.668564 0 -3.591304 0 0 0 64.14098 64.14098 NA 188 8 0 0 
2026 275.4765 27.90142 -3.244275 0 -3.157206 0 -3.119857 0 -3.115476 0 0 0 68.7634 68.7634 NA 226 0 0 0 
2027 273.8707 28.899 -4.420209 0 -4.401548 0 -4.443979 0 -4.39348 0 0 0 59.43361 59.43361 NA 236 41 0 0 
2028 276.2922 31.74529 -4.342887 0 -4.276008 0 -4.366698 0 -4.242569 0 0 0 59.89353 59.89353 NA 204 16 0 0 
2029 305.4426 32.62348 -3.123893 0 -2.950557 0 -2.986978 0 -2.897013 0 0 0 69.03551 69.03551 NA 207 0 0 0 
2030 209.544 25.28662 -4.703298 0 -4.664099 0 -4.726999 0 -4.64509 0 0 0 57.87878 57.87878 NA 175 66 0 0 
2031 272.0955 28.67023 -3.288168 0 -3.20016 0 -3.16798 0 -3.164505 0 0 0 68.32704 68.32704 NA 221 0 0 0 
2032 280.0952 29.94736 -4.0653 0 -4.021913 0 -4.076014 0 -4.000508 0 0 0 61.68881 61.68881 NA 190 14 0 0 
2033 216.5181 29.92804 -6.545024 0 -6.517431 0 -6.580993 0 -6.499614 0 53.51711 52.98488 33.06479 24.7834 NA 176 178 138 19 
2034 249.9437 26.03286 -5.767041 0 -5.753391 0 -5.816324 0 -5.747232 0 0 0 53.40077 53.40077 NA 189 36 12 0 
2035 260.3747 28.45285 -4.278313 0 -4.233108 0 -4.281335 0 -4.210506 0 0 0 60.29037 60.29037 NA 205 31 0 0 
2036 200.2355 28.94988 -6.848847 0 -6.81708 0 -6.844995 0 -6.783217 0 62.2576 61.29811 29.35394 21.05123 NA 186 175 144 9 
