Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 243.7058 27.56437 -3.840095 0 -3.814878 0 -3.823153 0 -3.804382 0 4.301878 4.250328 61.89052 61.89052 NA 213 52 0 0 
1986 252.3881 27.00447 -3.35697 0 -3.271667 0 -3.234523 0 -3.233838 0 0 0 67.61533 67.61533 NA 249 0 0 0 
1987 322.0837 33.54751 -2.304301 0 -1.670094 0 -1.398789 0 -1.388541 0 0 0 70.91049 70.91049 NA NA 0 0 0 
1988 247.3027 27.88182 -3.694959 0 -3.651968 0 -3.643737 0 -3.630472 0 0 0 64.50397 64.50397 NA 202 8 0 0 
1989 296.6033 31.22051 -2.439131 0 -1.87281 0 -1.669506 0 -1.63775 0 0 0 70.59944 70.59944 NA NA 0 0 0 
1990 315.4528 31.2141 -2.950692 0 -2.704858 0 -2.69728 0 -2.587327 0 0 0 69.42853 69.42853 NA 279 0 0 0 
1991 285.6481 29.55376 -3.476559 0 -3.406367 0 -3.395687 0 -3.371271 0 0 0 66.4453 66.4453 NA 229 2 0 0 
1992 324.9424 33.17077 -2.425854 0 -1.811884 0 -1.5951 0 -1.530199 0 0 0 70.63002 70.63002 NA NA 0 0 0 
1993 303.065 31.69872 -2.469291 0 -1.959261 0 -1.749466 0 -1.704246 0 0 0 70.53 70.53 NA NA 0 0 0 
1994 297.3487 31.15496 -2.61015 0 -2.137874 0 -2.039185 0 -1.907828 0 0 0 70.20635 70.20635 NA NA 0 0 0 
1995 217.9357 23.55147 -3.974479 0 -3.947112 0 -3.96426 0 -3.93274 0 5.004623 4.923268 60.64902 60.64902 NA 205 31 0 0 
1996 231.1926 27.66623 -4.863099 0 -4.752911 0 -4.799439 0 -4.742391 0 12.16917 12.03587 53.41309 49.8717 NA 185 75 16 0 
1997 286.6662 29.8632 -3.594897 0 -3.525099 0 -3.520099 0 -3.4902 0 0 0 65.36413 65.36413 NA 215 9 0 0 
1998 253.0906 27.08972 -3.865361 0 -3.839433 0 -3.847945 0 -3.826469 0 0 0 63.14166 63.14166 NA 211 28 0 0 
1999 252.092 26.65369 -4.170583 0 -4.139449 0 -4.167751 0 -4.123921 0 0 0 60.97977 60.97977 NA 215 31 0 0 
2000 280.0606 27.88992 -2.795273 0 -2.638236 0 -2.595957 0 -2.576897 0 0 0 69.78269 69.78269 NA NA 0 0 0 
2001 318.1976 31.33569 -2.854341 0 -2.671146 0 -2.637081 0 -2.583654 0 0 0 69.64792 69.64792 NA NA 0 0 0 
2002 293.297 31.50041 -3.261395 0 -3.155727 0 -3.116792 0 -3.11175 0 0 0 68.61211 68.61211 NA 226 0 0 0 
2003 277.322 29.10286 -3.881499 0 -3.851609 0 -3.877585 0 -3.83683 0 0 0 63.01884 63.01884 NA 226 19 0 0 
2004 312.0965 31.86419 -3.153029 0 -3.007729 0 -3.023661 0 -2.944209 0 0 0 68.96957 68.96957 NA 245 0 0 0 
2005 322.9242 32.87527 -2.921691 0 -2.653767 0 -2.646563 0 -2.523395 0 0 0 69.49451 69.49451 NA NA 0 0 0 
