Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 297.9118 31.11433 -4.077902 0 -4.037105 0 -4.081158 0 -4.017205 0 5.543705 5.419984 59.73925 59.73925 NA 214 14 0 0 
2007 295.0523 29.55361 -2.697997 0 -2.426529 0 -2.357939 0 -2.294961 0 0 0 70.00507 70.00507 NA NA 0 0 0 
2008 263.1817 28.13941 -3.58218 0 -3.51404 0 -3.513896 0 -3.47997 0 0 0 65.47689 65.47689 NA 216 8 0 0 
2009 258.5742 27.0372 -3.833152 0 -3.796738 0 -3.814121 0 -3.778531 0 0 0 63.38987 63.38987 NA 215 23 0 0 
2010 308.5418 31.96536 -3.004631 0 -2.835148 0 -2.831513 0 -2.783309 0 0 0 69.30595 69.30595 NA 228 0 0 0 
2011 227.2743 24.30207 -3.906617 0 -3.848625 0 -3.886852 0 -3.819629 0 0 0 62.82969 62.82969 NA 191 9 0 0 
2012 326.9299 32.41946 -2.738137 0 -2.552695 0 -2.522554 0 -2.49469 0 0 0 69.91324 69.91324 NA NA 0 0 0 
2013 284.932 29.21577 -3.155691 0 -3.014305 0 -3.01691 0 -2.945741 0 0 0 68.96355 68.96355 NA 238 0 0 0 
2014 265.2805 29.41799 -4.217235 0 -4.178405 0 -4.250497 0 -4.161946 0 6.501489 6.382459 58.49231 58.49231 NA 206 25 0 0 
2015 288.2198 29.63712 -2.796942 0 -2.538639 0 -2.502415 0 -2.411889 0 0 0 69.77888 69.77888 NA NA 0 0 0 
2016 314.1738 31.13783 -2.497693 0 -2.178617 0 -2.047618 0 -2.031655 0 0 0 70.46465 70.46465 NA NA 0 0 0 
2017 252.6441 30.54489 -5.379409 0 -5.353182 0 -5.429594 0 -5.34265 0 22.16319 21.94594 47.39291 40.51129 NA 200 114 34 0 
2018 293.1264 31.56897 -2.269767 0 -1.718223 0 -1.46044 0 -1.442451 0 0 0 70.99031 70.99031 NA NA 0 0 0 
2019 231.9986 26.27241 -4.116588 0 -4.066347 0 -4.117875 0 -4.041226 0 0 0 61.33887 61.33887 NA 197 42 0 0 
2020 281.3641 28.52976 -3.917514 0 -3.868805 0 -3.885609 0 -3.846444 0 0 0 62.74839 62.74839 NA 206 14 0 0 
2021 267.2245 28.87439 -3.682462 0 -3.632098 0 -3.634936 0 -3.606916 0 0 0 64.60885 64.60885 NA 213 11 0 0 
2022 295.6582 29.75774 -3.189696 0 -3.033277 0 -3.029605 0 -2.956977 0 0 0 68.88666 68.88666 NA 224 0 0 0 
2023 257.982 28.22053 -4.522477 0 -4.494985 0 -4.531474 0 -4.481238 0 0 0 58.84945 58.84945 NA 209 40 0 0 
2024 339.0021 34.1475 -3.983831 0 -3.898673 0 -3.957749 0 -3.876354 0 0 0 62.26319 62.26319 NA 197 9 0 0 
2025 336.8948 35.44054 -3.195753 0 -3.058689 0 -3.050338 0 -2.991394 0 0 0 68.87297 68.87297 NA 222 0 0 0 
2026 209.7627 24.99696 -4.861613 0 -4.82381 0 -4.886134 0 -4.805708 0 0 0 57.08821 57.08821 NA 189 77 0 0 
2027 276.7955 28.86006 -3.589562 0 -3.537734 0 -3.566473 0 -3.511821 0 0 0 65.41134 65.41134 NA 206 5 0 0 
2028 291.4308 30.07039 -3.83423 0 -3.802485 0 -3.839276 0 -3.786613 0 0 0 63.3815 63.3815 NA 235 12 0 0 
2029 175.5211 25.29834 -5.857803 0 -5.783528 0 -5.877515 0 -5.747389 0 32.30552 31.36451 42.25317 32.73833 NA 157 198 44 1 
2030 270.9677 27.78552 -3.556859 0 -3.473941 0 -3.482299 0 -3.442254 0 0 0 65.70381 65.70381 NA 237 3 0 0 
2031 280.7349 29.44782 -2.961291 0 -2.78827 0 -2.775463 0 -2.705803 0 0 0 69.40443 69.40443 NA 262 0 0 0 
2032 323.8544 34.7094 -3.307431 0 -3.16673 0 -3.117049 0 -3.096379 0 0 0 68.12479 68.12479 NA 199 0 0 0 
2033 253.7954 29.0128 -3.913489 0 -3.851352 0 -3.864273 0 -3.820283 0 0 0 62.77837 62.77837 NA 205 17 0 0 
2034 286.1635 28.35612 -3.256009 0 -3.148939 0 -3.104526 0 -3.096753 0 0 0 68.67002 68.67002 NA 231 0 0 0 
2035 311.9307 31.16745 -3.028866 0 -2.825441 0 -2.843512 0 -2.7569 0 0 0 69.25092 69.25092 NA 205 0 0 0 
2036 331.6898 31.43919 -3.303074 0 -3.196282 0 -3.147272 0 -3.142938 0 0 0 68.17033 68.17033 NA 237 0 0 0 
2037 320.6601 29.84852 -2.880342 0 -2.742656 0 -2.713566 0 -2.673813 0 0 0 69.58867 69.58867 NA 312 0 0 0 
2038 270.6708 28.84216 -5.273647 0 -5.25725 0 -5.298638 0 -5.250275 0 0 0 55.25316 55.25316 NA 211 46 16 0 
2039 303.4675 30.64595 -3.20722 0 -3.061428 0 -3.055943 0 -3.020952 0 0 0 68.84706 68.84706 NA 223 0 0 0 
2040 244.9911 25.00928 -4.206555 0 -4.160984 0 -4.194856 0 -4.138198 0 0 0 60.74564 60.74564 NA 200 24 0 0 
2041 250.3512 27.93395 -4.111068 0 -4.05078 0 -4.086821 0 -4.020637 0 0 0 61.37612 61.37612 NA 200 33 0 0 
2042 261.8007 29.28235 -4.629106 0 -4.596934 0 -4.639404 0 -4.580849 0 0 0 58.26788 58.26788 NA 200 69 0 0 
2043 335.6006 34.29804 -2.996208 0 -2.778277 0 -2.780818 0 -2.671873 0 0 0 69.32508 69.32508 NA 201 0 0 0 
2044 338.6115 33.96107 -2.877239 0 -2.636448 0 -2.615503 0 -2.521435 0 0 0 69.59574 69.59574 NA NA 0 0 0 
2045 313.935 32.57861 -3.791119 0 -3.752061 0 -3.758282 0 -3.733449 0 0 0 63.72015 63.72015 NA 228 9 0 0 
