Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
1985 264.0428 28.05776 -3.825562 0 -3.769557 0 -3.826772 0 -3.741894 0 4.083468 3.955416 62.07687 62.07687 NA 209 10 0 0 
1986 297.8724 31.55614 -2.845305 0 -2.571733 0 -2.526627 0 -2.456388 0 0 0 69.66853 69.66853 NA NA 0 0 0 
1987 266.5484 28.06316 -3.383854 0 -3.30783 0 -3.286584 0 -3.269817 0 0 0 67.3451 67.3451 NA 228 0 0 0 
1988 293.304 30.69582 -3.089641 0 -2.896217 0 -2.910922 0 -2.819335 0 0 0 69.11309 69.11309 NA 235 0 0 0 
1989 318.0479 33.35785 -2.625024 0 -2.168866 0 -2.059269 0 -1.981013 0 0 0 70.17224 70.17224 NA NA 0 0 0 
1990 310.2849 31.77365 -2.372039 0 -1.848044 0 -1.663609 0 -1.632072 0 0 0 70.75409 70.75409 NA NA 0 0 0 
1991 292.1259 29.91783 -3.274862 0 -3.160467 0 -3.139064 0 -3.120723 0 0 0 68.46813 68.46813 NA 218 0 0 0 
1992 284.1544 30.56189 -3.34446 0 -3.260363 0 -3.242566 0 -3.226645 0 0 0 67.74255 67.74255 NA 217 0 0 0 
1993 279.6691 29.75605 -3.372186 0 -3.272942 0 -3.223787 0 -3.224448 0 0 0 67.46185 67.46185 NA 204 0 0 0 
1994 318.4459 34.42502 -2.43895 0 -1.994347 0 -1.808918 0 -1.773267 0 0 0 70.59986 70.59986 NA NA 0 0 0 
1995 270.749 28.46045 -3.972072 0 -3.920584 0 -3.968768 0 -3.893732 0 4.855432 4.711997 60.71655 60.71655 NA 204 24 0 0 
1996 283.6087 31.00762 -4.614932 0 -4.481691 0 -4.532352 0 -4.408665 0 9.095984 8.396908 55.28726 55.28726 NA 204 34 4 0 
1997 278.361 29.26124 -3.889251 0 -3.827157 0 -3.855022 0 -3.80899 0 0 0 62.9602 62.9602 NA 245 23 0 0 
1998 323.8016 33.51258 -3.215231 0 -3.078758 0 -3.05189 0 -3.011877 0 0 0 68.82897 68.82897 NA 237 0 0 0 
1999 257.5714 27.8646 -3.282326 0 -3.179445 0 -3.136652 0 -3.128054 0 0 0 68.38885 68.38885 NA 205 0 0 0 
2000 273.3003 29.41155 -4.014728 0 -3.967236 0 -4.006147 0 -3.943491 0 0 0 62.04262 62.04262 NA 192 22 0 0 
2001 289.7533 30.67666 -3.791876 0 -3.746109 0 -3.759833 0 -3.723225 0 0 0 63.71413 63.71413 NA 236 11 0 0 
2002 277.8652 30.56649 -3.412753 0 -3.336967 0 -3.314869 0 -3.299074 0 0 0 67.05936 67.05936 NA 212 0 0 0 
2003 292.9793 30.17388 -3.158001 0 -3.037959 0 -3.023656 0 -2.985818 0 0 0 68.95833 68.95833 NA 251 0 0 0 
2004 320.3936 33.37536 -2.227383 0 -1.558154 0 -1.265247 0 -1.263566 0 0 0 71.08838 71.08838 NA NA 0 0 0 
2005 322.0767 33.43115 -2.352765 0 -1.844173 0 -1.636953 0 -1.626559 0 0 0 70.79857 70.79857 NA NA 0 0 0 
