"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
1.526;2.4;0.1;3.706;2.2;2.993;77.24;78.7259022956994;92.9147898144958;"01/01/1971"
1.736;4.4;4.587;5.4;2.2;1.577;87.89;94.6299469422953;93.397117779105;"02/01/1971"
0.3655;3.8;3.472;6.3;4.7;5.582;78.93;84.1932714270162;86.1664011403847;"03/01/1971"
7.212;0.9973;1.881;2.703;8.8;5.582;62.28;70.8985112715303;66.5319770449711;"04/01/1971"
2.151;3.8;0.8959;8;5.4;4.947;59.26;78.8257216427293;96.9856844267089;"05/01/1971"
0;6.3;4.1;8.7;7.5;3.698;58.4;69.20829656885;80.6809430405009;"06/01/1971"
0.3655;4.3;2.7;7.2;7;6.806;50.22;60.9074303499308;68.20280235382;"07/01/1971"
0;5.3;5.1;6.6;3.2;5.821;70.15;74.1800080518537;75.2215818545003;"08/01/1971"
0.1848;8.4;6.937;8.996;3.3;1.351;84.94;86.5690352900289;95.6689416110759;"09/01/1971"
1.526;9.36;7.7;10.6;2.2;2.477;82.26;85.2970202900534;95.4646915263814;"10/01/1971"
0;7.3;5.5;8.9;4.6;6.042;62.37;69.2610502335396;78.4249855946902;"11/01/1971"
5.15;5.8;2.6;8.408;3.389;6.289;68.2;82.4290573214572;100;"12/01/1971"
0.05206;7.8;5.4;9.809;4;3.883;67.42;77.0536690670871;90.9138209923783;"13/01/1971"
4.264;5.8;2.387;7.4;2.3;7.307;61.33;70.2140715592597;89.2725341701654;"14/01/1971"
0;6.695;6.1;7.9;4.16;5.582;73.32;79.7608952190897;83.1053003686232;"15/01/1971"
0.3655;6.7;4.9;8.693;2;7.077;65.09;76.5440992033481;86.7249223751622;"16/01/1971"
0;8.5;7.7;11.1;0.6;1.991;81.23;95.7067854150545;100;"17/01/1971"
0;8.8;5.2;14.5;1.4;6.806;56.93;80.8129904858972;100;"18/01/1971"
0;9;4.8;11.6;0.7;4.31;70.44;85.7617209645017;100;"19/01/1971"
0;7.239;5.2;9.8;4.9;7.602;64.38;74.3373916999782;85.5911826674956;"20/01/1971"
0.9047;5.5;5.3;6.7;3.6;2.285;74.8;82.3958709412567;83.5508849634129;"21/01/1971"
0.05206;8;6.1;8.9;3.2;3.171;65.54;71.2688208675483;81.2008039018422;"22/01/1971"
0;7.5;6.1;10.6;3.7;4.689;68.25;82.9262969928281;91.3119487800247;"23/01/1971"
2.492;8.9;7.9;12.2;6.8;3.524;67.37;83.5273447509562;89.3969828161857;"24/01/1971"
0;7;7.4;10.5;9.005;7.077;52.09;58.6276566869484;57.0412147933209;"25/01/1971"
2.816;7.2;6.4;10.6;6;5.821;61.24;77.5057136718819;81.8916261260619;"26/01/1971"
0;10.1;10.45;13.1;9.3;7.466;67;79.8810739243059;78.0327295834393;"27/01/1971"
8.842;10.2;10.9;12.9;5.6;3.357;80.51;90.6647359072273;86.5265314542726;"28/01/1971"
0.05206;9.9;6.9;10.4;2.8;1.351;77.39;83.0173323265055;100;"29/01/1971"
2.492;6.5;4.9;7.2;2.3;2.285;82.37;84.4610394097608;94.3848710311282;"30/01/1971"
1.107;4.187;2.2;4.6;3.8;3.357;69.36;73.8773626314845;85.0517338337585;"31/01/1971"
0.9771;1.103;0.4;3.499;5.6;4.381;52.61;64.5683157958228;67.9372849413301;"01/02/1971"
1.978;-0.1;-1.6;1.159;5.2;0.8814;70.31;76.7989253023017;85.7289291392265;"02/02/1971"
0;-0.9196;-1.494;1;5.1;5.311;65.51;75.5465043964129;78.8067039826799;"03/02/1971"
2.852;-0.321;-4.806;1.7;3.5;6.554;81.09;83.7856286615589;100;"04/02/1971"
1.612;-0.4998;-2.36;0.5236;3;2.853;84.88;89.4833031175995;100;"05/02/1971"
1.1;-1.664;-4.908;4.604;7.001;7.651;48.86;68.5822096622017;87.4367539261035;"06/02/1971"
2.606;1.8;-1;3.8;9.6;9.997;37.56;61.3877544022365;75.2182076423994;"07/02/1971"
3.079;-0.2951;-1.4;4.304;3.4;8.328;69.75;76.5629582177479;83.0246125444254;"08/02/1971"
13.7;3.4;3.538;3.6;1.7;1.851;97.25;99.2386916361505;98.2748420761755;"09/02/1971"
0;6;6.153;7.7;6.4;7.206;70.11;74.0417059248679;73.261737498132;"10/02/1971"
0.5921;5.3;2.1;6;2.1;6.173;70.57;75.2049477140555;94.2649949686571;"11/02/1971"
0.1;6.8;5.122;7.215;2.5;2.987;77.58;89.99213638008;100;"12/02/1971"
6.7;4.888;2.3;7.191;1.6;2.575;87.16;100;100;"13/02/1971"
0.1;7.1;6.1;9;5;7.803;67.79;79.3644677448171;85.0271104396476;"14/02/1971"
0.9771;6.3;6.6;7.9;2.5;1.277;84.87;93.8999316141392;91.9760717633588;"15/02/1971"
