"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.1;9;10.4;10.8;2.8;7.352;82.98;99.9464824286635;90.9723005471869;"01/01/1971"
0.4928;8.296;5.3;10.2;2.3;4.718;73.19;81.7469903869856;100;"02/01/1971"
0;8.7;6.5;11.8;2.2;1.783;68.61;83.4341980923066;96.9744097550155;"03/01/1971"
0;8.2;4;12.1;1.6;3.26;60.02;81.3229683706044;100;"04/01/1971"
0;12.94;10.1;19.8;4.5;7.762;40.05;64.5909327112251;77.9559110334263;"05/01/1971"
0;10.4;9.7;11.4;1.9;1.318;94.28;99.7089499533381;100;"06/01/1971"
0;10.4;7.7;15.01;1.529;5.736;61.49;87.7929873017532;100;"07/01/1971"
0;8.9;7.4;15.7;0.9808;6.914;53.96;84.8282156002352;93.9446485105652;"08/01/1971"
0;9.6;6.2;11.6;3.4;5.736;64.63;74.589277186533;94.0525584320765;"09/01/1971"
0;7.7;6;11.7;3.5;5.202;61.98;79.5203043794894;89.3835239643979;"10/01/1971"
0;6.7;3.5;10.5;0.696;3.775;69.99;84.799832125237;100;"11/01/1971"
5.125;8.4;6.299;10.1;0.7;1.202;84.48;95.9002722678232;100;"12/01/1971"
0.5;9.579;4.998;11.5;1.7;5.916;73.74;78.9415156996182;100;"13/01/1971"
74.27;5.494;3;9.7;2.8;1.598;72.04;100;100;"14/01/1971"
0;10.5;7.4;10.9;3.687;7.352;72.05;75.8982667711178;93.5963535548468;"15/01/1971"
60.4;7.7;5.5;7.5;4.7;0.51;88.8;92.59532224411;100;"16/01/1971"
6.2;9.5;9;9.6;3.687;2.231;87.2;97.0166204857626;100;"17/01/1971"
50.91;9.3;9.699;13.2;6.2;2.288;85.39;77.8923872779244;75.8283383325027;"18/01/1971"
0;7.6;8.3;9;7;4.952;64.37;73.9438744134024;70.4985932128134;"19/01/1971"
6.667;7.1;7.5;10.5;3.7;7.502;65;80.9158806756871;78.7280942440444;"20/01/1971"
0;7.223;6.4;8.8;2.5;4.137;77.21;89.4341862715165;94.6442670137816;"21/01/1971"
0;6.25;6;9.5;3.2;4.952;65.42;81.1338522721336;82.5494413831527;"22/01/1971"
0;6.8;4.5;9.4;3.2;8.068;59.02;69.8160808726854;81.910278983797;"23/01/1971"
0;5.3;2.1;10.3;1.5;10.53;51.43;72.4412711249043;90.800888314905;"24/01/1971"
7.988;6.8;2.1;10.65;2.2;1.698;66.53;81.2156347202812;100;"25/01/1971"
0;8;8.006;11.09;5.1;7.352;60.57;69.6884461617434;69.6599636208717;"26/01/1971"
0;6.887;3.4;10.5;4.6;4.569;67.37;83.8960518400704;100;"27/01/1971"
0;3.443;0.2071;4.9;10.71;12.13;37.16;42.8067734721904;53.9858276263162;"28/01/1971"
0;4.1;1.4;7.7;5.4;12.17;33.61;50.6420723155772;61.3680675013603;"29/01/1971"
0;4.1;1.3;9.3;2.4;8.995;49.36;69.3939717343168;84.6991470052102;"30/01/1971"
2.136;5.7;2.4;8.7;1.6;10.2;67.85;82.3445092045537;100;"31/01/1971"
19.68;6.544;7.3;8.559;2.4;1.225;85.98;98.9305462869031;93.9208533891865;"01/02/1971"
0;9.6;8.4;12;3.2;8.441;61.67;71.9711526490898;78.0511390947681;"02/02/1971"
0;10.3;9.7;14.6;1.618;7.028;58.17;82.8522659121129;86.2526635585493;"03/02/1971"
0;10.8;10.76;12.3;5.1;3.696;60.53;73.035925154692;73.2307969477616;"04/02/1971"
0;11.5;8.6;14.73;5.535;8.618;36.92;49.3576055325197;59.9448652141191;"05/02/1971"
0;10.5;9.6;12.2;3.2;3.039;69.15;76.7840888968294;81.5573065544157;"06/02/1971"
0;9;4.4;13.3;2.1;10.37;72.07;87.8347691864913;100;"07/02/1971"
7.8;10.4;8.9;12.1;4.4;4.529;81.84;92.5878052450699;100;"08/02/1971"
0;10.9;8.1;13.7;2.4;8.781;59.95;72.9512911827702;88.0813948098671;"09/02/1971"
10.7;8.7;7.8;9.5;2.9;1.918;93;92.9976872796845;98.866542997314;"10/02/1971"
0;9.5;5.8;14.1;2.1;10.51;53.93;70.0545937935257;90.207051149774;"11/02/1971"
0;8.8;6.3;12;4.6;9.646;52.87;65.600286845008;77.8315854332145;"12/02/1971"
0;6.4;2.1;8.1;7.6;8.781;39.81;55.6232208932456;75.2468200285216;"13/02/1971"
0;3.5;-1.3;8.5;2.8;11.32;47.98;61.2832845658923;86.6433731189822;"14/02/1971"
20.5;8.5;7.9;9.47;5.8;1.052;79.85;93.2392071538929;97.1234035456352;"15/02/1971"
7.971;11.89;9.741;11.6;4.2;1.111;85.53;90.3371304547709;100;"16/02/1971"
0;10.2;4.7;17.9;1.4;10.61;56.62;84.953983977792;100;"17/02/1971"
0.139;13.7;6.5;16.8;5.222;5.877;59.42;75.0846003737662;100;"18/02/1971"
0;9.935;2.9;17.8;2;9.445;31.56;57.5838738277224;93.589331416211;"19/02/1971"
3.76;9;5.2;13;3.2;1.982;70.56;89.3966548331958;100;"20/02/1971"
0;11.1;9.9;14.1;6.4;10.95;52.67;65.1538705796616;70.5887877251452;"21/02/1971"
0;8;7.2;8.3;0.9;3.772;80.19;87.7107961721724;92.6409151613382;"22/02/1971"
0.1;9;6.1;12.7;2.8;3.772;69.32;95.5590036574663;100;"23/02/1971"
0;11.5;9.2;15.45;6.8;13.47;54.18;72.9613278180883;85.0875472166448;"24/02/1971"
0.1;11.69;9.6;16.2;6.4;13.66;41.51;51.3623598902735;59.044162745464;"25/02/1971"
0;11.89;10.9;12.9;4.241;6.157;70.24;84.109405509593;89.8140896415702;"26/02/1971"
0;11.6;7.7;16.3;2.3;6.265;48.04;70.2126596968355;91.2614532804595;"27/02/1971"
0;9.703;8.1;14.1;1.8;5.366;60.29;85.3821329320932;95.1599030630932;"28/02/1971"
0;11.9;11.6;13.7;6.702;8.214;71.58;80.0880949960489;81.6920238416954;"01/03/1971"
5.9;11.9;10.45;14.7;4.5;6.409;75.05;86.3585038359382;95.0870930645344;"02/03/1971"
0;10;4.5;13.4;2.2;7.652;56.35;65.6434041146027;95.7103803343281;"03/03/1971"
0;6.9;2.4;11.3;2.4;14.67;25.8;45.8263516818018;62.8055757903797;"04/03/1971"
0;8.5;5.6;11.2;2.4;2.031;65.13;83.6185895285306;100;"05/03/1971"
0;10.5;6.4;16.5;2.2;11.68;59.2;91.5221149883794;100;"06/03/1971"
7.109;11.2;8.3;13.09;2.1;4.044;86.37;96.0300645270922;100;"07/03/1971"
0;9.7;4.7;12.5;3.952;12.26;61.02;66.4638536560618;93.653309354966;"08/03/1971"
0;6.7;4.609;11;7.213;14.26;35.41;57.6572413921053;66.6698408346561;"09/03/1971"
0;6.5;2.8;12.1;5.8;15.6;35.24;43.3336499304715;56.1526545215576;"10/03/1971"
0;7.591;1.6;13.9;1.4;15.89;31.78;57.1913698157105;87.0285312466841;"11/03/1971"
0;7.031;2.4;12.65;1.9;15.78;53.15;77.7279098118635;100;"12/03/1971"
0;9.1;8;11;4.7;3.419;71.54;80.6571344879584;86.9054129086372;"13/03/1971"
0;9.1;6.6;12.8;3.9;8.625;62.36;78.4146997295067;92.9963555199627;"14/03/1971"
0;10.5;4.6;17.5;2.2;15.2;30.49;46.8587066499628;70.1522353821269;"15/03/1971"
0;8.555;5.2;13;4.5;16.2;42.46;57.8452866587233;72.8557159958248;"16/03/1971"
