"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0;3.7;1.3;5.811;5.2;6.578;62.09;75.1044768228087;89.1211908247593;"01/01/1971"
0.1;0.4439;-2.24;3.033;4;7.006;52.05;72.9942070031596;88.8796555637067;"02/01/1971"
9.3;-1.783;-3.401;5.9;3.2;6.058;33.61;48.3462701247247;54.5332639468716;"03/01/1971"
6.998;2.3;-4.441;6.7;4.4;4.317;33.91;41.6803480309311;68.4010338193886;"04/01/1971"
6.487;3.611;1.52;4.033;4.4;0.8081;81.25;83.2017036901867;96.5702901762011;"05/01/1971"
3.2;1.1;-2;4.247;4.807;6.058;47.82;57.8775641162988;72.5954609918576;"06/01/1971"
4.754;-4.269;-4.3;2.919;2.2;6.167;36.59;59.7512925609404;59.8913246756064;"07/01/1971"
0.7;4.1;-1.395;7.7;4.2;5.621;42.28;61.0332522482545;90.6518383836029;"08/01/1971"
0;5.3;4.5;8;1.3;4.009;67.09;80.9885358079084;85.64579028906;"09/01/1971"
8.427;5.3;1.7;5.7;2.3;1.434;87.18;98.7236524627928;100;"10/01/1971"
60.85;3.21;3.5;6.6;1.3;1.343;77.87;99.3747926532699;97.3554856133186;"11/01/1971"
13.49;5.5;4.1;8.4;2.851;4.577;70.76;90.1029984093655;99.3731230343401;"12/01/1971"
3.028;5.9;3.9;8.1;2.1;2.006;74.75;86.6870819067806;99.6922592300709;"13/01/1971"
6.73;6.4;4.6;6.706;1.7;1.773;86.23;85.5715770205235;96.983062941976;"14/01/1971"
3.762;5.4;3;5.8;3.4;0.8994;85.89;89.6233609183162;100;"15/01/1971"
0;5;3.8;7.5;2.198;5.621;77.98;94.5127403063462;100;"16/01/1971"
0;6.117;4.7;7.6;1.627;9.238;71.05;72.7872856037187;80.3315221265645;"17/01/1971"
12.34;7;5.9;10.5;3.1;0.8081;73.65;89.3815482046649;96.4301621939947;"18/01/1971"
0;10.49;9.4;12.5;5.1;4.209;71.59;84.0423030942295;90.4161351346015;"19/01/1971"
0;8.459;6.6;10;5.8;5.402;61.24;67.5761643125716;76.7387192671923;"20/01/1971"
1.15;4.437;4.2;5.295;2.6;0.5698;84.27;93.315343230061;94.8814699937544;"21/01/1971"
0;6.8;4.5;9.6;4.1;6.402;64.01;77.3387965810843;90.7361502542629;"22/01/1971"
0;6.1;4.5;8.6;5.4;9.95;62.29;65.8090097294035;73.5682822347383;"23/01/1971"
0;9.803;6.1;14.2;4.7;8.516;62.67;84.8777955135964;100;"24/01/1971"
0;9.8;7.8;13.7;4.5;9.008;55.28;73.9702265002571;84.6943367714604;"25/01/1971"
0;5.3;0.7;8.691;3.322;11.25;50.69;66.7858004888266;92.584565121934;"26/01/1971"
0;4;-1.578;9;2.2;11.78;43.53;66.8770536438099;99.9747168790887;"27/01/1971"
0.803;3.1;1.081;6.706;1.122;4.665;69;85.860640982189;99.2031476684419;"28/01/1971"
0;3.4;2.1;6.5;5.762;7.559;56.23;70.9206329479845;77.7932825355844;"29/01/1971"
0;1.2;-1.8;5.6;6.1;12.27;44.63;47.5747867833709;59.2217300648275;"30/01/1971"
0;1.9;-0.9103;3.799;2.3;3.703;64.68;72.5154336630918;88.904887192983;"01/02/1971"
3.452;3.5;4.8;4.6;1.5;0.9822;87.14;96.0264004854917;87.636662534094;"02/02/1971"
0.1657;8.1;4.48;11.4;4.5;7.777;56.37;69.0795997335095;88.7120836708167;"03/02/1971"
0;9.3;4.2;12;5.682;5.751;57.55;71.9092278407134;100;"04/02/1971"
0;11.3;11.6;12.9;5.6;7.252;65.5;79.6925248038812;78.1241133642389;"05/02/1971"
0;10.7;9.19;14.6;4.8;7.367;62.49;83.1517641432576;92.013771019099;"06/02/1971"
0;6.7;4.6;10.44;1.4;8.371;61.66;78.1387679367512;90.4098945856233;"07/02/1971"
0.1657;5.695;2.9;6.4;2.2;1.985;78.78;85.2043424428276;100;"08/02/1971"
0;8;0.8;13.8;1.6;8.909;52.06;80.1888204089664;100;"09/02/1971"
0;4.881;0.648;5.6;4.1;1.111;64.39;72.7060289634444;98.2566350200837;"10/02/1971"
0;6.009;6;8.202;2.2;1.553;76.76;89.2755583324497;89.3312223119904;"11/02/1971"
6.584;8.5;6.3;9.5;3.2;1.7;85.57;97.1021421698781;100;"12/02/1971"
