"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.1;4.5;-0.2;5.3;4.6;5.62;62.23;71.3811693979781;99.8973242485777;"01/01/1971"
0;0.2;-2.505;3.691;4.1;5.016;46.62;63.432545832197;77.3899125140355;"02/01/1971"
0;1.442;-0.3;4.6;3.9;5.836;56.33;71.7648677642533;81.4198764243674;"03/01/1971"
24.18;0;-1.606;3.7;2.7;0.962;66.71;81.3670494760969;91.5327412587701;"04/01/1971"
3.327;6.6;3.3;9;6.4;3.335;64.31;77.491387612228;97.5846832418502;"05/01/1971"
4.205;1.537;0.432;3.4;9.3;7.24;43.25;40.3676295410844;43.7205180699371;"06/01/1971"
0;-0.7027;-2.733;3.392;6.899;7.556;40.62;47.0126730784965;54.6203309688638;"07/01/1971"
2.748;1.2;-1.5;4.7;6.6;0.7657;63.09;75.5959446367452;92.0414326523629;"08/01/1971"
0.1;7.6;5.695;10;4;5.016;69.29;83.8603179725387;95.6211742775306;"09/01/1971"
0;5.5;2.3;8.016;1.6;3.005;74.93;95.5178420637745;100;"10/01/1971"
8.155;6.5;3.9;6.4;0.9;3.475;86.44;92.6966223153187;100;"11/01/1971"
0;2.4;1.6;4.5;1.6;5.836;78.01;88.7182087764713;93.9480128294122;"12/01/1971"
0.4441;4.7;2.8;5.975;3.4;1.681;79.18;87.9848698036261;100;"13/01/1971"
0.3;3.9;2;6.5;1.6;6.985;73.04;83.198015448992;95.2192964143787;"14/01/1971"
11.18;4.6;1.3;4.846;1.7;1.13;85.82;85.9701229765078;100;"15/01/1971"
1.714;5;3.994;6.9;2.1;7.24;77.12;80.3834874545373;86.2589199980185;"16/01/1971"
1.129;5.1;5.6;6.7;1.8;2.36;74.95;93.2428391899851;90.0523871285093;"17/01/1971"
12.06;7.8;6.7;10;2.885;1.211;85.54;96.1707429000049;100;"18/01/1971"
2.748;11.2;10.48;13.7;6;6.015;71.11;81.7915887097537;85.8081762157937;"19/01/1971"
0;9.8;8.7;12.2;5.4;7.446;59.15;65.6960014552119;70.7553298514646;"20/01/1971"
4.805;8.4;6.9;10;2;1.211;82.39;91.2716238144957;100;"21/01/1971"
0;7;6.077;9.061;5.2;7.24;62.28;69.9854430781474;74.5844417963391;"22/01/1971"
5.137;7.7;5.301;11.4;3.6;1.583;70.58;88.9659578546423;100;"23/01/1971"
0;11.6;8.953;14.5;4.5;5.016;66.15;78.5059633150035;93.7122081152745;"24/01/1971"
0;10.1;7.5;13.8;3.9;7.68;59.47;69.2399338356769;82.5646540594122;"25/01/1971"
0;7.8;3;9.4;3.1;10.83;59.77;67.6260710124974;94.4545464436425;"26/01/1971"
0;3.1;-0.5;8.6;2.6;10.83;43.97;63.7492293333794;82.6182181841347;"27/01/1971"
0;3.5;-0.3;9.2;1.1;10.09;61;88.9241018336669;100;"28/01/1971"
0.7;5.8;3.283;10.12;1.5;7.867;56.14;81.7396442321291;97.5124590726049;"29/01/1971"
0;2.5;-1.8;7.3;2.2;12.04;46.78;68.3119710595924;93.3412453285141;"30/01/1971"
0.1;1.7;-3.001;5.4;2.5;6.697;44.99;62.1366719658253;87.6651666474166;"01/02/1971"
29.74;5.6;4.4;7.809;2.4;1.703;83.26;97.5268786556965;100;"02/02/1971"
0.1;8.1;3.7;13.1;2.9;4.883;58.19;76.5957982625215;100;"03/02/1971"
0.1;7.196;3.7;11.5;3;6.019;63.85;78.0246668576156;99.5113842308753;"04/02/1971"
0;10.1;8.4;13.7;2.4;4.525;62.25;74.7780736587552;83.8628286863262;"05/02/1971"
0;9.5;8;14.8;2.5;5.687;57.12;77.852165667859;86.1760091982657;"06/02/1971"
0;8.7;5.2;13.6;0.7987;7.428;56.86;77.0150682286574;97.9580395946898;"07/02/1971"
0.5947;8.2;5;14.6;1.9;7.653;48.89;73.5729269609081;91.7280066093627;"08/02/1971"
0;7.398;4.2;13;2.3;9.326;49.8;70.5393874761566;88.0618643379533;"09/02/1971"
1.44;4.626;1.9;6.2;3.4;1.049;68.13;71.6360961610908;86.8975061931915;"10/02/1971"
4.079;5.6;6.4;7.5;3.4;0.7269;91.18;100;97.7306774413946;"11/02/1971"
1.702;10.4;9.9;12.1;1.9;2.576;86.19;93.5312599886336;96.7154594409079;"12/02/1971"
0;11.6;10;14.89;4.1;7.23;74.02;91.4411303971533;100;"13/02/1971"
0.1;8.5;4.8;12.1;3.4;10.6;57.8;70.3553563747869;90.7827883949633;"14/02/1971"
0;6.4;2.8;11.1;2.4;10.16;61.01;82.5190831910162;100;"15/02/1971"
3.493;9;9.1;9.6;4.2;2.284;92.18;97.4758633147855;96.8195887847236;"16/02/1971"
0.2848;11.09;10.89;11.22;4.1;2.207;88.83;88.8222052369907;90.0114779476377;"17/02/1971"
0;13.01;11;15.7;3.4;3.774;64.09;77.7268645046866;88.7467342076806;"18/02/1971"
0.5947;10.2;5.8;14.1;2.5;11.4;49.05;64.6912930722039;87.3079807228559;"19/02/1971"
0;9.1;5.2;11.7;2;4.057;65.49;76.3979187832262;99.837949291521;"20/02/1971"
0;11.1;8.9;13;6.2;11.57;53.49;63.3282793555439;73.3919883538266;"21/02/1971"
13.06;12.01;9.605;15.9;3.3;8.368;66;76.0363015140794;89.2453046542847;"22/02/1971"
0;12.3;9.5;14;7.197;11.9;51.01;60.0128630009622;72.3060053910445;"23/02/1971"
0;9.509;8.3;11.3;4.8;9.786;58.85;72.0975814191011;78.2407829637453;"24/02/1971"
0.1;10.2;6.9;13.7;5.7;12.58;60.94;71.0700458007246;88.9001731231521;"25/02/1971"
0;9.1;5;13.7;4.6;12.86;46.5;57.2173447486706;75.8232524071281;"26/02/1971"
0;7.309;2.8;10.5;4.9;11.72;52.89;62.2885496474843;85.3310840183794;"27/02/1971"
0;4.9;0.3;8.9;3.6;14.31;53.11;67.8103071436002;94.1074157460509;"28/02/1971"
0.4036;12.1;3.7;21.8;2.5;12.34;28.37;51.5262269539533;91.3825736260075;"01/03/1971"
0;11.2;10.2;13.15;6;9.275;68.2;76.7799393041673;82.0724119033063;"02/03/1971"
0;13.8;11.1;16.9;4;10.5;66.35;74.8353491312642;89.367624450899;"03/03/1971"
0;12.1;9.1;18.48;1.6;13.46;50.44;78.3226358179742;95.6772163606067;"04/03/1971"
0;11.5;9.1;17.3;1.4;8.677;58.92;85.1535813141963;99.978742155121;"05/03/1971"
0;14;9.3;17.8;1.6;4.051;56.35;76.6832931168759;100;"06/03/1971"
0;13.2;10.5;15.9;5.2;13.66;46.72;55.2526543376039;66.0386813718928;"07/03/1971"
0.1;12.5;10.9;17.7;2.7;10.5;52.72;71.216274607101;79.1639011412754;"08/03/1971"
0;12;9.996;18.8;1.3;14.36;47.06;70.3686565697328;80.3998802493896;"09/03/1971"
0;12.29;6.7;18.6;1.4;13;37.73;54.4769740568512;79.3679917520827;"10/03/1971"
0;12;6.6;19.68;1.2;13.17;43.5;66.789210455203;96.1241106426665;"11/03/1971"
0.1;13.5;8.7;22.1;2.7;11.94;40.72;65.0093836374338;89.4331140371164;"12/03/1971"
0;14.6;10;21.04;3.8;11.94;40.21;61.2661742125875;82.9270668359804;"13/03/1971"
