"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0;6.9;5.9;9.72;4.6;4.307;59.19;69.9437595029002;74.9427202632739;"01/01/1971"
0;6.1;3.726;8.823;2.9;2.577;67;76.4222491306464;90.2135665731742;"02/01/1971"
1.671;3.715;1.3;4.101;1.6;0.9;85.63;89.0973024850386;100;"03/01/1971"
0;7.9;5.6;10.98;2.976;1.571;74.05;91.1411649214475;100;"04/01/1971"
0;9.2;6.5;11;1;6.339;73.97;83.1403675882099;99.9553876165365;"05/01/1971"
0;7.959;3.9;12;1.4;6.035;64.26;83.7199179370089;100;"06/01/1971"
0;8.7;6.3;13.44;1;3.971;51.44;73.8562187697962;87.0354521617144;"07/01/1971"
0;9.4;7.8;12.3;1.3;4.822;70.33;89.1446150440508;99.359489300822;"08/01/1971"
0.8444;10;9.7;11.2;2.7;4.307;85.89;94.7813762140067;96.7091736507604;"09/01/1971"
0;8.62;7.1;10.6;0.7;5.201;72.42;86.33534326899;95.7674273784945;"10/01/1971"
0;7.9;3.9;10.1;2.252;6.765;74.74;82.542653139367;100;"11/01/1971"
59.76;10.4;7.7;11.3;6;1.479;87.76;98.5587106084454;100;"12/01/1971"
36.48;8.9;10.1;12.5;2.6;0.6795;82.39;100;100;"13/01/1971"
0;6.695;4.7;8.7;4;3.307;65.1;75.2411111566746;86.4198460891147;"14/01/1971"
0;3.809;3.1;6.171;6.1;7.609;53.95;63.7804830118768;67.0606001600127;"15/01/1971"
0;3.5;1.5;6.8;7.1;7.952;42.62;50.2975653061983;58.0063829381627;"16/01/1971"
0;7.2;4.5;11.5;5.2;7.312;60.73;82.705931362851;99.7362163524353;"17/01/1971"
0;6.9;4.3;8.6;1.8;6.765;71.3;77.7425951841793;93.1375304577575;"18/01/1971"
6.748;7.2;6.5;8.6;1.4;1.364;85.17;90.217356916473;94.6670992068326;"19/01/1971"
0.4008;6.5;3.5;7.7;1;2.577;77.9;83.4673801225872;100;"20/01/1971"
0;5.4;3.2;8.8;0.8;3.597;83.15;97.6932802547048;100;"21/01/1971"
0;6.5;6.1;8.1;2.1;1.479;77.23;94.6670992068326;97.3197694525064;"22/01/1971"
1.145;5.7;4.4;6.171;7.1;3.971;53.71;61.2866721122522;67.1083228264311;"23/01/1971"
0;7;5.281;11.7;5.5;9.931;47.06;62.6305441543337;70.5396068368048;"24/01/1971"
0;7.7;3.6;13.1;2.7;5.71;47.81;67.8411958954333;90.1949383034533;"25/01/1971"
1.016;7;3.3;12.5;2;9.811;50.57;68.781322457877;89.0331223965684;"26/01/1971"
0;5.7;2.8;9;1.777;10.46;48.63;64.3661360319209;78.9148848620102;"27/01/1971"
0.1083;5.542;-0.4;11.6;0.794;10.86;39.21;64.6266672816404;98.7002785063573;"28/01/1971"
0;3.715;-0.9041;9.4;2.3;10.86;43.97;71.9364584113592;100;"29/01/1971"
0;3.6;1.2;8.4;4.9;11.99;37.12;42.8910543372617;50.9030640480512;"30/01/1971"
0;4.3;1.9;10.6;5.4;11.99;42.66;68.5233127140214;81.2424194216474;"31/01/1971"
0;3.709;1.596;6.8;8.296;8.367;54.12;66.9126693750298;77.7773450520208;"01/02/1971"
0.2545;6.1;3.943;9.759;7;7.316;51.33;66.1033410015423;76.8476307476701;"02/02/1971"
0.6048;5.1;1.624;9.8;4.6;8.048;43.44;62.0629088876015;79.3776372822042;"03/02/1971"
0;4.802;1.2;10.5;3;5.744;40.41;58.5173351735943;75.571472009799;"04/02/1971"
0;7.079;4.3;9.6;3.8;8.048;57.31;69.8819234888114;84.756134144699;"05/02/1971"
9.251;8.4;7.1;8.6;4.251;1.584;86.48;85.1493859241521;93.052454749472;"06/02/1971"
29.69;7.4;7.4;7.409;4.1;1.336;78.11;93.0897427101657;93.0897427101657;"07/02/1971"
