"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0;5.55;4.404;8.391;1.269;4.573;69.81;85.1856645314937;92.2845806294086;"01/01/2006"
0;4.168;2.207;8.04;1.685;5.612;64.68;82.911103719574;95.2767722379285;"02/01/2006"
0;3.899;2.505;6.549;0.6627;3.624;85.14;92.8346116288368;100;"03/01/2006"
0;7.311;6.489;9.631;1.158;3.453;74.26;87.3831607006787;92.463603715953;"04/01/2006"
2.482;5.688;4.831;5.637;1.463;1.047;85.93;86.9382107057516;92.2882107430064;"05/01/2006"
6.058;7.4;3.193;10.38;2.064;1.224;79.78;92.9314268212028;100;"06/01/2006"
2.558;9.92;8.765;10.17;2.342;1.546;87.31;90.7802260896219;98.1289449432314;"07/01/2006"
1.631;9.47;7.286;12.17;5.034;4.573;65.27;77.4593117376332;89.8465662063928;"08/01/2006"
0;8.57;7.29;10.17;3.602;2.943;66.62;79.4655301726768;86.7114308224778;"09/01/2006"
0;12;6.69;17.14;4.97;4.998;51.39;65.2086758072288;93.2692734106957;"10/01/2006"
0.1;9.327;6.896;11.62;2.845;6.825;60.46;72.8479213685014;85.9582850694644;"11/01/2006"
1.286;10.67;10.06;12.26;3.233;1.546;72.94;85.3237604845103;88.8744488766811;"12/01/2006"
0;8.115;8.04;8.897;1.073;3.624;65.22;73.5775386352407;73.9542489735792;"13/01/2006"
0;9.591;7.19;12.47;3.602;4.573;76.22;92.4402801370199;100;"14/01/2006"
0;8.734;6.85;10.81;4.65;4.573;62.12;70.3323398128505;79.9832138484842;"15/01/2006"
4.265;6.35;5.46;6.007;4.165;2.882;79.41;82.4981531386261;87.7476717277484;"16/01/2006"
0;10.97;6.245;12.74;6.899;3.974;75.12;86.1742617431764;100;"17/01/2006"
2.482;10.2;10.3;10.61;5.944;1.81;81.27;90.2586962058225;89.6568725503094;"18/01/2006"
0;10.78;10.28;13.19;3.615;5.612;63.63;74.191730087214;76.7096574110293;"19/01/2006"
0;8.49;6.64;11;4.57;7.381;60.2;71.5054610175098;81.1478338048705;"20/01/2006"
0;7.054;2.664;10.41;0.7791;9.845;60.39;77.2485865322272;100;"21/01/2006"
0;9.177;5.06;11.31;6.154;3.974;75.85;86.3421258872318;100;"22/01/2006"
36.08;11.46;7.873;11.42;4.881;1.81;79.02;84.7170891896874;100;"23/01/2006"
0;8.091;6.76;11.62;2.552;9.11;59.36;77.9264169164036;85.3601147361307;"24/01/2006"
7.854;8.104;6.68;8.24;2.349;1.416;90.62;90.3961546707599;99.6544617223348;"25/01/2006"
5.623;9.242;8.49;9.829;2.44;4.573;74.33;78.3792269236909;82.4701216380775;"26/01/2006"
0;12.69;10.55;14.78;2.065;6.931;68.43;82.9497325282903;95.5675342596229;"27/01/2006"
7.525;11.27;9.713;12.4;1.968;2.21;73.72;84.9250938569266;94.229411759718;"28/01/2006"
0;8.02;7.21;9.424;6.592;6.06;63.68;73.1293810986037;77.2921892606543;"29/01/2006"
0;8.1;6.875;8.992;3.233;4.696;69.8;79.1615688447143;86.0824913850311;"30/01/2006"
0;8.331;4.577;14.09;1.363;9.845;59.73;80.9733345584122;100;"31/01/2006"
0;8.46;6.62;10.92;1.152;2.595;78.72;91.5485887608103;100;"01/02/2006"
0;9.12;8.48;10.89;2.8;4.267;69.29;82.5905138912891;86.2472119065666;"02/02/2006"
5.917;9.047;8.155;8.964;2.567;1.268;93.84;91.3919882885227;97.0898672453976;"03/02/2006"
0;9.314;6.726;12.41;1.93;6.735;59.99;76.7624166375348;91.5626088714259;"04/02/2006"
0;10.58;9.554;12.38;2.815;4.431;70.27;81.227650395565;87.0078192793135;"05/02/2006"
0;8.273;5.659;9.485;5.699;6.882;58.93;67.1227988999461;80.3300484452399;"06/02/2006"
0;7.194;5.04;9.39;5.714;6.66;63.88;77.1843670618584;89.5898080530646;"07/02/2006"
1.12;10.43;10.08;12.62;5.837;4.175;69.56;78.4079096728946;80.2654445771179;"08/02/2006"
0;11.67;8.661;15.07;4.578;9.365;56.96;71.0760188159159;86.9384045603368;"09/02/2006"
0;9.888;6.284;15.22;1.302;10.25;57.66;80.6633615736185;100;"10/02/2006"
0.2;9.689;8.137;12.93;3.162;9.105;69.74;86.8044171553753;96.4109666010463;"11/02/2006"
0;8.662;5.23;9.96;3.758;7.709;56.86;65.3737147313509;82.7639299992885;"12/02/2006"
0;5.04;3.471;8.01;4.917;9.511;66.56;83.6817637108924;93.435040743613;"13/02/2006"
2.182;8.547;6.644;9.8;7.491;4.267;77.15;84.7286541971445;96.5001270944771;"14/02/2006"
0;9.234;9.195;11.27;6.057;11.48;52.84;65.4374650094141;65.6098649226053;"15/02/2006"
0;9.18;7.49;13.04;5.09;10.87;54.19;72.3112703681065;81.1106614859214;"16/02/2006"
0;10.1;5.44;15.68;2.496;11.48;48.63;64.8753522132032;89.1748535511589;"17/02/2006"
0;10.79;6.144;15.71;4.076;12.17;45.9;61.8524291742008;84.785911343995;"18/02/2006"
0;9.21;5.469;14.33;1.93;12.49;54.76;75.7907931209628;97.9308072676358;"19/02/2006"
0;8.659;7.547;11.28;6.56;10.87;51.95;63.9484928147957;68.97748371106;"20/02/2006"
0;7.416;4.33;10.93;6.362;11.2;53.69;68.0171148484661;84.24476774419;"21/02/2006"
0.84;8.845;8.663;11.2;5.084;4.267;69.1;81.6433855863441;82.6558288235465;"22/02/2006"
0;10.02;7.73;15.51;5.831;12.93;44.91;59.2981949898534;69.234703418185;"23/02/2006"
0;9.73;6.644;14.89;2.872;13.89;48.8;64.2212964714508;79.2244865778228;"24/02/2006"
0;8.468;6.605;10.64;3.546;8.103;57.79;72.5102205477353;82.3637083633748;"25/02/2006"
0;7.51;5.597;9.052;4.487;4.267;57.36;66.5753578101188;75.9616865760411;"26/02/2006"
13.67;7.719;7.313;7.312;4.656;0.9927;91.53;87.1157092422754;89.5690037764829;"27/02/2006"
7.071;8.273;7.973;9.492;4.664;1.388;70.78;78.3845129376037;80.0015643288455;"28/02/2006"
0;9.343;6.264;11.89;3.663;8.053;56.05;60.0746481223875;74.1224544377522;"01/03/2006"
0;6.357;4.216;10.57;1.665;12.64;51.18;70.4161073938967;81.7432822363986;"02/03/2006"
0.63;8.531;6.024;12.15;3.059;5.517;58.49;67.4666540301877;80.1149017039983;"03/03/2006"
0;7.506;3.73;11.61;3.669;13.84;43.29;59.1279298960798;76.8662544375247;"04/03/2006"
1.175;8.01;7.62;8.587;4.743;3.858;73.45;83.1713173054791;85.4144336346201;"05/03/2006"
0;7.615;5.5;11.07;8.237;11.94;38.24;53.1351098475173;61.47652495639;"06/03/2006"
0;7.652;3.762;12.48;5.789;14.84;39.07;56.5177227935815;74.0426826325751;"07/03/2006"
0;6.871;3.542;10.87;4.12;15.03;40.6;54.2411427893923;68.4105983218441;"08/03/2006"
1.987;6.76;0.9225;11.71;0.7032;16.99;38.14;50.6205331574729;76.4009184137079;"09/03/2006"
0.4677;7.903;0.696;16.54;3.26;15.28;27.19;47.4657019912422;78.7539312422844;"10/03/2006"
0.8308;8.111;2.597;13.17;2.522;16.51;23.05;34.084123090655;50.0396443206989;"11/03/2006"
1.175;7.994;0.4894;14.78;2.033;17.87;23.01;34.3568007719134;58.2236027887253;"12/03/2006"
0;8.888;3.369;13.48;3.368;16.09;43.72;59.3306811289818;86.9223949036168;"13/03/2006"
0.2667;10.76;8.188;14.67;2.936;10.98;57.63;75.5019105677818;89.7758628748654;"14/03/2006"
1.795;6.89;6.264;6.9;4.742;3.987;81.88;83.3704917973732;87.0468085025334;"15/03/2006"
0;8.341;3.659;12.9;3.276;17.39;43.66;61.4682386483319;85.0146861274835;"16/03/2006"
0;8.89;2.011;16.91;1.447;17.65;29.7;52.0557371074421;84.016076596728;"17/03/2006"
0;8.751;5.49;12.93;4.12;15.6;47.46;62.4537225228457;78.1183069394614;"18/03/2006"
0;8.43;4.93;13.28;2.528;16.99;57.64;73.1992822105037;93.1542445942745;"19/03/2006"
0;9.002;6.641;13.5;2.181;16.83;64.46;89.0864346726295;100;"20/03/2006"
1.987;8.341;6.89;9.641;3.665;3.119;75.86;83.6651026046739;92.3879491205896;"21/03/2006"
0;9.943;5.035;14.59;3.051;17.65;54.25;67.4805086784282;94.4125600203702;"22/03/2006"
37.14;12.58;12.23;10.07;2.811;1.336;71.89;73.3935435490433;75.1021156707655;"23/03/2006"
0;10.09;6.24;14.71;2.736;18.64;55.14;69.7349556288215;90.6206745722876;"24/03/2006"
2.052;8.62;8.451;9.813;5.454;5.493;71.31;82.7076854097294;83.6613501430617;"25/03/2006"
0;10.93;8.02;14.59;6.108;15.6;51.22;63.9608228477372;77.8033485977466;"26/03/2006"
0.06667;11.02;6.888;13.72;1.207;6.301;74.54;82.3167670588482;100;"27/03/2006"
0;12.29;10.97;14.67;4.455;8.053;77.87;88.3284047757275;96.3892586954068;"28/03/2006"
0;14.23;10.75;21.02;4.332;18.64;39.71;61.0731227655791;76.7643011787337;"29/03/2006"
1.878;17.09;9.44;25.91;2.743;19.02;30.76;58.8257697482861;96.9544482729242;"30/03/2006"
0;13.2;11.96;16.17;8.279;15.45;46.83;60.7091761889847;65.8587330890067;"31/03/2006"
0;9.963;7.07;13.39;5.932;7.492;45.54;56.2515387612705;68.4514725653048;"01/04/2006"
0;10.49;4.975;15.22;2.838;15.08;43.35;57.578355620351;83.9126682320789;"02/04/2006"
0;9.105;5.48;13.11;3.455;2.908;55.85;74.2291414460521;95.1627874149059;"03/04/2006"
