"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
1.462;4.704;5.3;5.586;1.9;0.8816;86.14;89.4675803883023;85.8203942154311;"01/01/1971"
0;6.909;6.148;9.122;1.7;3.532;81.09;87.8136249488906;92.5449999650585;"02/01/1971"
20.83;7.3;4.6;8.1;3.4;0.7073;83.26;89.3778385867564;100;"03/01/1971"
31.13;4.9;4.6;7;5.4;0.6501;75.99;93.4438453977171;95.4262599102082;"04/01/1971"
11.74;7.4;6.1;6.7;4.9;0.8069;82.98;87.5645181853616;95.7615450705947;"05/01/1971"
15;9;7.8;9.122;6.853;0.9306;85.89;84.8103906160544;92.0115084641565;"06/01/1971"
17.99;11.1;9.5;12;3.1;2.264;84.93;88.7508706589673;98.773819781387;"07/01/1971"
0;8.2;6.148;10.7;2.1;7.248;69.28;81.3829300062694;93.6839091572446;"08/01/1971"
0.1;5.8;2.8;8.723;1.6;7.6;64.11;78.3809650789923;96.7667587052415;"09/01/1971"
0.1;5.483;2.7;10.5;0.7;7.248;57.06;78.9153246876907;95.9850589362333;"10/01/1971"
0;6.9;2.63;9;1.1;7.97;71.59;85.0990599339572;100;"11/01/1971"
0;7.2;3.4;9.4;2.95;6.362;69.22;78.6934177124119;100;"12/01/1971"
0;3.3;2.3;6.378;6;7.411;56.94;60.6613183113595;65.1326111389482;"13/01/1971"
0;5.7;3.8;11;3;7.713;48.65;71.2726793893284;81.4078383950189;"14/01/1971"
0;6.389;1.824;13.5;1.2;8.476;47.62;76.4212321084213;100;"15/01/1971"
0;6.9;3.6;10.4;3.8;7.411;61.17;78.0211250299392;98.1957695932886;"16/01/1971"
0;6.207;0.8;10.6;3.3;8.908;56.1;75.0853363752534;100;"17/01/1971"
0;4.8;-0.3;10.3;1.2;9.578;42.4;69.3663894625398;99.8648618341772;"18/01/1971"
0.1249;5.5;2.985;10.3;1.3;5.851;63.66;83.6773839394669;99.8537384893263;"19/01/1971"
0.09295;8.8;5.249;12.9;3.2;8.476;67.24;80.6978517639227;100;"20/01/1971"
0;8.99;7.7;12.5;1.4;5.569;70.12;88.5335373401592;96.6434594477469;"21/01/1971"
0;9.177;8.2;10.4;2.3;1.931;84.24;93.6799438656235;100;"22/01/1971"
0;7.3;6.313;9.7;5.1;7.248;62.75;74.7445488020868;79.9966397829564;"23/01/1971"
0;5.7;4.4;8.4;4.4;3.906;63.5;75.9185758230483;83.1301181686693;"24/01/1971"
0;7.6;6.6;10.4;2.8;5.004;63.65;75.0994914580891;80.4351571394785;"25/01/1971"
0.1;6.1;3.4;7.619;2.1;6.218;65.49;71.7475759849113;86.6691545079469;"26/01/1971"
0;10.1;8.503;12.2;3.1;1.931;73.26;84.2588415939774;93.8369974262153;"27/01/1971"
0;9.492;7.6;11.2;6;6.592;66.92;78.5808747947342;89.3416907115259;"28/01/1971"
1.358;6.3;6.4;8.2;6.5;5.767;68.74;83.517833337835;82.9430406673367;"29/01/1971"
4;6.9;5.5;11.7;5.3;1.822;65.92;91.865696775067;100;"30/01/1971"
0;5;3.6;8.4;7.2;4.9;61.78;75.0382939153609;82.7921072904355;"31/01/1971"
0;1.991;0.4;4.922;4.2;6.641;55.55;71.8362177901327;80.5653222567605;"01/02/1971"
9.901;4.4;0.9973;6.9;1.7;1.006;78.48;96.0333158773819;100;"02/02/1971"
0;6.8;4.4;8.6;6;9.206;66.07;74.28681762044;87.7690321485388;"03/02/1971"
5.981;6.26;4.9;9.7;5.6;1.943;63.84;75.478548305306;82.960819841518;"04/02/1971"
1.276;6.9;6;9.8;6.4;5.644;63.1;78.9550192186638;84.0138876505624;"05/02/1971"
0;10.1;1.8;13.4;7.893;0.6742;62.75;77.6526319478768;100;"06/02/1971"
0;11.6;11.8;14;10;7.23;78.39;79.007141375382;77.9691706826617;"07/02/1971"
0.6406;10.5;6.308;13.8;4.7;5.721;58.55;74.4732485688861;99.0020961172404;"08/02/1971"
0.1;8.6;6.987;12.9;2;9.652;58.64;79.5082782713432;88.761090367246;"09/02/1971"
4.181;9.8;8.147;10.2;3;3.769;93.24;96.7882519903327;100;"10/02/1971"
5.981;10.2;11;11;3.3;3.051;97.13;100;96.6069108906891;"11/02/1971"
3.1;10.8;10.9;12.5;4.7;2.029;90.31;96.8317443255264;96.1892024762537;"12/02/1971"
5.535;9.4;8.9;10;3.6;2.624;84.39;95.9168416132887;99.2092713625939;"13/02/1971"
0;6.9;5.8;9.044;4.1;10.69;61.38;68.4855738398038;73.8909413690094;"14/02/1971"
0;2.71;1.3;5.8;2.6;11.52;53.07;58.973326306458;65.2372948103813;"15/02/1971"
0.1;2.4;-1.151;7.9;0.9;12.16;41.68;60.5152044172589;78.2644372994495;"16/02/1971"
0;3.1;-1;7.34;1.2;12.5;44.12;62.2751352234588;83.7193872766683;"17/02/1971"
0;4.6;0.3488;9.5;0.614;13.04;47.14;64.8475731998072;87.8144163777879;"18/02/1971"
0.1;7;1.856;9.7;1.6;12.5;55.61;69.1555761641773;99.218221558621;"19/02/1971"
0;8.2;6.1;12.3;1.7;11.8;61.86;81.3829300062694;93.9955574377615;"20/02/1971"
0;7.6;5.6;12.3;2.718;6.907;52.11;73.4909974634576;84.3524151725249;"21/02/1971"
0;6.9;4.7;12.9;1.574;13.77;56.69;78.6601052643297;91.6302299191342;"22/02/1971"
0;9;6.6;9.8;2.4;6.41;82.38;93.8551284065159;100;"23/02/1971"
6.7;10.1;11.3;11.3;8.106;2.506;89.48;95.2164468153537;87.8967040795519;"24/02/1971"
47.3;7.9;7;8.3;1.6;1.099;87.57;92.3957520497938;98.2660057542274;"25/02/1971"
5.7;7.8;7.8;8.5;2.1;5.228;82.04;83.1846887169672;83.1846887169672;"26/02/1971"
0.1;11.2;9.948;14.7;1.1;7.361;66.84;82.7841158536474;89.9971299681093;"27/02/1971"
0;10.1;8.997;12.6;6.8;11.69;51.31;61.7370729801255;66.4930126944016;"28/02/1971"
0;9.6;6.9;16.3;3.9;10.41;47.22;66.2030970275353;79.544847127332;"01/03/1971"
0.1;10.2;4;20.51;1.2;10.99;44.08;74.6982070035998;100;"02/03/1971"
0.5516;11.5;7.3;17.5;4.551;8.094;47.26;68.9012473435223;91.4341505499616;"03/03/1971"
0;7.7;5.7;11.1;5.3;12.19;44.87;58.1473807526245;66.7335851724756;"04/03/1971"
0;9.5;5.9;12.7;3.8;9.518;52.24;66.0185266613884;84.4224740562389;"05/03/1971"
0;13.11;10.5;16.15;5.9;12.19;59.09;71.8718820711927;85.3983881193294;"06/03/1971"
0.4312;12.4;11.9;12.8;9.325;8.17;55.83;68.142920484292;70.4251142092045;"07/03/1971"
0.1;12.2;11.42;15.6;7.485;12.19;58.78;76.9710362388482;81.0414103412517;"08/03/1971"
0.1;11.9;11.3;13.9;5.7;11.65;61.61;74.1569433508551;77.1606712588671;"09/03/1971"
0;11.1;8.8;14.6;4.5;11.16;60.54;77.2792501290382;90.1680116463306;"10/03/1971"
0;9.2;7.209;11.1;5.2;5.463;53.71;65.3776066611922;74.8593867960827;"11/03/1971"
0;6.9;4.7;10.4;4.9;14.81;42.7;56.8364726436075;66.2081373858523;"12/03/1971"
0;8.3;3.705;12.5;5.6;15.18;47.04;62.1906280570056;85.4963739293118;"13/03/1971"
0;6.9;4.7;9.7;5.3;12.89;45.07;58.4421152838709;68.0785315812439;"14/03/1971"
1.359;4.8;2.4;9.932;2.8;13.23;46.62;65.5379712463013;77.6480804730543;"15/03/1971"
0;5.399;-1.359;10.7;0.6797;17.7;31.77;44.5694133417843;72.3058237980397;"16/03/1971"
0;7.1;1.8;15.2;3.1;17.57;34.3;61.4100951802698;89.0696703812519;"17/03/1971"
0;9.5;4.3;16;4.6;17.43;42.12;57.6031894096873;82.3614494838252;"18/03/1971"
0;7.1;4.2;10.9;5.8;13.95;48.6;65.7411229456152;80.4120458197069;"19/03/1971"
1.5;4.706;1.963;9.1;5.4;17.07;34.24;48.8769143834427;59.3542900701111;"20/03/1971"
0.9438;3.396;1.807;7.01;5.7;17.07;31.99;46.6940921515638;52.2904556909322;"21/03/1971"
0;2.396;0.1;4.246;6.3;15.01;25.19;37.8468380058648;44.6552826119296;"22/03/1971"
0;1.021;-6.688;2.344;5.9;21.54;39.92;54.985665662089;97.7249395365572;"23/03/1971"
0.2;6.3;2.149;11.38;5.6;18.63;34.56;46.1217885596999;61.747147149218;"24/03/1971"
0;6.793;2.2;13;4;19.27;40.2;59.8145964428978;82.546192665651;"25/03/1971"
0;7.1;2.999;11.5;2.87;16.02;53.17;72.3831095559023;96.3762989277564;"26/03/1971"
0;8.4;4.5;12.8;2.6;17.99;54.11;72.8309700723253;95.3232807172023;"27/03/1971"
0;9.2;4.072;12.2;4.8;10.16;55.6;70.3085939216892;100;"28/03/1971"
0;11.25;11.3;13;5.2;6.752;71.86;81.6060751492265;81.3357951335778;"29/03/1971"
3.406;10.7;10.4;11.8;4.5;5.708;86.71;90.8791523406048;92.7170456209005;"30/03/1971"
8.665;12.1;11.6;13;4.464;5.708;88.83;94.081833620382;97.2404765243903;"31/03/1971"
1.3;12.22;8.9;15.4;2.727;16.71;53.81;67.1335818430598;83.7846598640004;"01/04/1971"
0.8783;10.6;7.3;13.7;3.3;9.841;50.53;66.5686114175749;83.2089026971408;"02/04/1971"
0;11.3;7.4;17.1;4.9;8.915;53;75.3469877097945;97.9975352680145;"03/04/1971"
0;11.5;8.915;13.7;5.9;11.26;55.5;59.1714686914559;70.3471664265114;"04/04/1971"
0;13.5;9.1;18.7;5.5;19.5;46.36;64.756592774294;86.7074773267998;"05/04/1971"
0;12.78;7.7;18.6;2.6;17.57;52.64;77.3498507420308;100;"06/04/1971"
3.077;11.4;8.8;13.5;2.7;5.387;77.75;93.6761409642924;100;"07/04/1971"
0;11;8.4;12.2;7.894;9.415;64.87;68.9286584002847;82.0882669789802;"08/04/1971"
0;9.474;8;12.5;9.948;13.24;47.98;59.7669199515734;66.0414276098859;"09/04/1971"
0.2097;8.9;6.9;11.19;7.7;18.72;44.47;57.0381833914625;65.3725932107219;"10/04/1971"
0.3;9.5;5;14.8;6;20.4;27.5;44.8360382774162;61.0398674788465;"11/04/1971"
3.728;11.1;3.7;18.4;1.8;24.32;27.36;49.3526384303722;81.9228494460354;"12/04/1971"
0.06624;10.61;5.212;15;2.9;20.67;56.45;74.897094523876;100;"13/04/1971"
0;12;10.7;15.3;2.511;9.494;70.56;82.9083395488809;90.3724383604509;"14/04/1971"
8.3;10.9;11;12.2;2.1;4.989;91.56;92.114130350554;91.5033838500627;"15/04/1971"
0.1;12.2;8.6;15.7;1.8;23.99;48.12;65.3640195984497;83.1408583244743;"16/04/1971"
31.3;9.7;6;10.31;5.2;7.71;83.07;96.9258888858321;100;"17/04/1971"
8.2;11.8;7.9;16.1;4.6;20.67;40.94;61.1294313568489;79.42148516153;"18/04/1971"
0;11.2;5.7;16.1;2.7;16.38;55.86;79.3531578253731;100;"19/04/1971"
2.514;13.3;9.9;15.5;4.3;9.363;75.28;86.4906029056546;100;"20/04/1971"
18.05;10.7;7.1;12.2;3.7;4.358;76.27;77.8819387496569;99.3550697811313;"21/04/1971"
0;12;7.6;15.1;1.2;24.11;54.34;70.821898123196;95.1666252746091;"22/04/1971"
0;11.8;10.1;14.7;4.2;15.49;57.19;70.8682176662525;79.3536320363937;"23/04/1971"
0;12;9.5;16.1;5;17.85;47.54;61.0481507780027;72.1138117180856;"24/04/1971"
0.8783;12.22;8.3;16.9;2.3;20.98;53.49;69.2755336950735;90.0476223339166;"25/04/1971"
3.6;10.9;8;16.2;2.6;5.055;62.72;87.7765535787204;100;"26/04/1971"
0;13.4;10.1;18.77;3;25.22;52.31;76.9800740454139;95.743888703266;"27/04/1971"
0;13.6;9.3;17.2;3.7;19.28;59.84;77.2911796771449;100;"28/04/1971"
23.5;11.4;9.1;12.9;3.3;4.862;86.58;92.0800068985526;100;"29/04/1971"
0;13.5;10.1;17.7;5.8;23.34;40.84;56.0774398064967;70.2025152811167;"30/04/1971"
0;15.4;9.4;22.3;1.8;18.96;41;68.5381747325881;100;"01/05/1971"
0;14.1;9.5;19.39;3.1;21.53;54.11;71.3958245829297;96.7557862153183;"02/05/1971"
