"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0;8.2;4.7;12.9;1.1;6.418;59.64;80.5434671069599;100;"01/01/1971"
0.1;7.3;6;9.7;1.7;5.69;68.88;82.7944522239367;90.5515942014984;"02/01/1971"
0;7.145;5.374;9.7;0.9;4.245;69.2;85.6123809470951;96.759538099158;"03/01/1971"
0;6.1;5;9.1;3.2;3.707;65.07;79.0019761629224;85.2801332841324;"04/01/1971"
0;3.1;2.011;5.2;5.7;5.309;65.93;79.5797182529619;86.0016172912371;"05/01/1971"
0.07698;3.1;0.9;5.7;7.7;6.716;51.9;54.7551188945883;64.0961249312314;"06/01/1971"
0.9331;1.6;-0.4;5.652;7.3;4.376;50.91;74.3784824425212;85.9745116034212;"07/01/1971"
0;-4.305;-7.309;-3.901;4.6;3.916;51.16;47.9385026662735;60.325721607409;"08/01/1971"
0;-5.595;-8.202;-1.407;6;3.562;47.52;57.1268737761347;69.8697251416381;"09/01/1971"
0;-2.684;-4.201;0.4931;5.6;2.993;54.9;82.9168590808483;92.9039402337925;"10/01/1971"
0;2.5;0.5;5.4;4.9;7.336;59.27;74.086383756862;85.5435362017982;"11/01/1971"
0;1.7;-0.7;6.7;3.7;6.154;47.69;60.2952356385705;71.755305224728;"12/01/1971"
0;4;2.336;8.8;4.3;8.353;50.82;71.006751800472;79.8984150412129;"13/01/1971"
0;4;3.2;9.6;3.1;8.353;51.05;71.7083995455359;75.8779166215134;"14/01/1971"
0;4.1;2.4;7.4;7.106;5.309;61.04;73.7733962270161;83.2168265567204;"15/01/1971"
2.758;2.5;-0.8;3;6.6;7.799;35.86;40.0418733756618;50.8301682716995;"16/01/1971"
0;-1.231;-4.3;2.7;4.3;7.336;43.73;61.6080514760302;77.4437791176296;"17/01/1971"
0;-0.7318;-6.111;5.8;1.519;8.799;39.43;58.8560378994736;88.0885770744721;"18/01/1971"
0;1.1;-3.508;3.9;1.4;5.69;68.82;75.4774707513233;100;"19/01/1971"
0.8505;2.2;-1.199;6.7;1.5;7.073;71.12;92.6366902790294;100;"20/01/1971"
0;4.451;-0.4242;7.3;2.2;8.169;59.32;75.1033734915916;100;"21/01/1971"
0;1.4;-5.034;7.9;1.2;9.799;45.93;63.3220036128423;100;"22/01/1971"
0.1;6.5;2.336;11.6;0.7;8.353;64.27;81.7495284735751;100;"23/01/1971"
9.025;6.1;2.011;10.1;1.4;4.512;63.73;80.1619876472344;100;"24/01/1971"
10.06;6.4;2.662;7.6;4.1;8.353;71.19;71.6657717972122;93.1375455656312;"25/01/1971"
4.575;2.495;-0.5;2.5;0.7;0.9222;88.04;86.7139828962818;100;"26/01/1971"
0.9331;7.9;6.5;11.2;1.3;5.913;71.34;90.2078744967022;99.2985619860319;"27/01/1971"
7.79;7.8;5;10.7;1.5;1.592;74.62;89.6083952345553;100;"28/01/1971"
0;7;4.3;7.5;2.8;9.594;71.77;73.5652611384107;88.7407323918907;"29/01/1971"
0.7052;3.5;2.4;4.101;2.6;6.154;71.21;80.3058154579145;86.8320205868424;"30/01/1971"
0;2.3;-1.441;7.8;1.7;11.99;45.76;71.532794802949;93.83734796859;"31/01/1971"
0;4.6;0.8406;10;2.2;4.901;53.17;74.0730726473197;96.7964432331286;"01/02/1971"
20.59;6.1;3.5;8.161;2.8;3.225;84.84;84.1614302274744;100;"02/02/1971"
13.35;7.3;7;7.6;1.6;3.225;94.73;93.028190831516;94.9628099986208;"03/02/1971"
0;6.8;5.2;7.727;2.4;1.111;81.67;85.2244503280465;95.2118969983381;"04/02/1971"
0;4.4;3.5;7.3;4.4;7.022;65.51;74.8658344398262;79.7658746247348;"05/02/1971"
0;2.9;2.6;6.6;5.8;10.28;44.99;60.5221122124282;61.8278145095659;"06/02/1971"
0;6.9;4.8;11.2;3.5;8.887;52.96;71.4183292745706;82.6142326959593;"07/02/1971"
0.1124;5.707;1.893;13.2;0.6;9.11;47.79;75.5614372832569;98.8856114209548;"08/02/1971"
0.3;6.4;2.8;12;0.9;9.532;58.44;80.2127545198328;100;"09/02/1971"
0;7.2;4.211;9.2;5.1;10.75;51.66;59.8827537191533;73.6935722650275;"10/02/1971"
0.8;5;-0.7;11.3;1.4;9.532;27.03;46.9853725786344;70.6314946495561;"11/02/1971"
0.2;3.79;-0.798;9.5;1;4.229;58.1;73.3065424856345;100;"12/02/1971"
0;7.8;5.5;9.7;2.425;4.103;68.1;77.669851946472;91.005472351767;"13/02/1971"
1.1;4.749;0.8406;6.9;1.1;7.918;69.14;82.2818654668083;100;"14/02/1971"
0;6.3;2.4;9.5;1.4;13.8;66.66;85.3790976669751;100;"15/02/1971"
0.5;7.7;5.4;8.8;3.2;4.47;79.25;83.1031384562716;97.3842968566899;"16/02/1971"
0;6.559;4;9.604;3.5;8.063;60.76;74.3895868573409;88.908792838818;"17/02/1971"
0;6.3;2.8;9.1;2.8;1.636;77.86;92.2777287584667;100;"18/02/1971"
0;10.5;8;13.8;2.525;4.354;64.99;80.6226514415798;95.4303187736041;"19/02/1971"
9.194;10.1;7;12;2.9;4.901;75.62;83.0852833933727;100;"20/02/1971"
5.6;12.71;12;15.2;6.9;5.079;75.51;88.6417353851224;92.8796537250709;"21/02/1971"
9.923;9.2;9.7;9.8;7.1;1.074;94.7;100;100;"22/02/1971"
19.84;8.354;6.2;8.3;7.5;1.218;92.84;90.7413677895623;100;"23/02/1971"
23;8.6;6.8;8.7;6.5;1.306;85.3;78.8371992253832;89.1507800179564;"24/02/1971"
15.7;10;9.2;11.71;6.297;1.673;87.47;95.0335955624753;100;"25/02/1971"
3.673;9.4;10.1;10.3;3.6;1.721;84.18;91.2592082381189;87.0674696471099;"26/02/1971"
0;8.9;8.9;9.893;4.2;1.473;74.13;78.0808415248541;78.0808415248541;"27/02/1971"
0.6267;9.7;8.1;9.1;5.8;1.399;86.33;90.573423557792;100;"28/02/1971"
0;9.3;9.1;8.979;2.7;2.428;83.14;89.7752202067111;90.9948997580534;"01/03/1971"
0;8.9;7.2;9.4;1.8;1.279;91.37;95.4924975075111;100;"02/03/1971"
0.9;10.8;10.5;12.3;1.4;3.168;91.28;100;100;"03/03/1971"
0.1;11.1;6.608;12.5;1.5;3.2;81.12;90.0830588495397;100;"04/03/1971"
0;9.5;6.6;14.6;1.7;6.441;60.78;83.1512197937263;100;"05/03/1971"
0.5384;8.1;5.231;11.2;1.7;11.59;66.64;83.8101414289225;100;"06/03/1971"
0;7.4;2.738;11.5;1.5;12.48;52.75;70.6563812441275;97.830179583885;"07/03/1971"
0;7.8;3.8;11.93;2.3;12.29;49.16;67.2563612848665;88.7678877204427;"08/03/1971"
0.1;6.151;1.8;10.5;2.6;13.1;52.44;72.09869557632;97.9531980324347;"09/03/1971"
0;5;2.9;8.7;3.5;5.896;71.87;89.1488572792706;100;"10/03/1971"
8.791;6.5;7;7.7;7;1.7;87.06;94.4481573299978;91.2528167361661;"11/03/1971"
28.34;11.3;8.8;10.4;7.311;1.365;87.03;87.4341539126743;100;"12/03/1971"
4.5;12.8;11.8;13.2;4.9;5.13;84.46;84.9998280134941;90.7815038200633;"13/03/1971"
0;11.9;8.7;12.9;2.6;4.327;82.38;89.3299289205126;100;"14/03/1971"
0;11.13;7.6;15.05;1.6;15.44;65.01;86.2844042791574;100;"15/03/1971"
0;10.8;7.504;16;1.4;15.85;62.1;87.3436175910953;100;"16/03/1971"
1.651;12.1;6.2;20.41;1.7;19.37;42.14;71.2685187064202;100;"17/03/1971"
0;14.81;10.6;20.7;5.1;16.79;32.88;53.8330260200107;70.9555084152082;"18/03/1971"
0;10.2;8.8;11.51;7;8.327;37.53;50.1524521509352;55.1082708050758;"19/03/1971"
2.228;11.46;9.4;16.4;3.7;8.498;39.39;57.2930328796336;65.7458812038061;"20/03/1971"
0;9.4;10.41;10.9;0.9;5.178;84.28;95.419290273508;89.1679560425267;"21/03/1971"
0;10.1;5.5;12.8;0.6;16.79;69.61;84.5884927739225;100;"22/03/1971"
0;11.22;7.4;13.68;0.7801;15.03;69.14;84.4119538073735;100;"23/03/1971"
0;10.1;5.9;14.3;0.7;11.59;60.29;82.6105856942517;100;"24/03/1971"
0;9.1;4.924;12.7;0.7;16.1;63.61;88.4845010976483;100;"25/03/1971"
0;12.3;8.4;19.1;4.593;19.26;29.36;44.8358868252869;58.1908359867208;"26/03/1971"
1.014;8.6;2.5;12.6;3.3;21.22;29.57;41.8403196481123;63.9421452346315;"27/03/1971"
0;5.899;0.7;13;1.3;19.92;37.85;50.8606489676738;73.5043806955996;"28/03/1971"
