"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.2245;3.6;2.1;4.7;2.9;1.101;82.83;90.1124555066509;100;"01/01/1971"
0;4.4;3.4;4.71;2.8;2.751;78.6;83.51994287286;89.6180808558283;"02/01/1971"
1.2;1.9;0.9;3.297;1.913;5.575;81.27;88.5498154968113;95.1563618272866;"03/01/1971"
1.852;-0.04429;-0.3;3.397;7.1;3.538;68.64;78.7375047107313;80.2193152438473;"04/01/1971"
0.6086;-0.6873;-1.1;0.5565;5.924;7.221;55.39;67.3940180904825;69.4656052555714;"05/01/1971"
1.721;1.6;-2.201;5.128;3.5;5.284;75.04;87.9321061612671;100;"06/01/1971"
32.72;0.9;-1.894;2.387;4.4;0.9369;81.11;100;100;"07/01/1971"
0.7588;2.4;0.3;3.608;2.6;6.963;68.57;78.9729031300555;91.8611660224427;"08/01/1971"
3.443;2.071;-0.3;3.189;2.5;0.9525;74.54;90.161880811295;100;"09/01/1971"
0;4.1;1.9;5.849;1.9;6.475;67.84;77.7347847454123;90.8770116990928;"10/01/1971"
0.05572;2.3;2.1;5.099;0.7;7.471;75.25;89.3538009062446;90.6403005892344;"11/01/1971"
28.28;5.7;2.6;6.171;2.4;0.5305;86.91;100;100;"12/01/1971"
0;6.2;4.3;7.9;1;7.655;75.12;88.5675920445385;100;"13/01/1971"
19.56;4.518;4.1;4.986;2.2;0.8067;88.16;97.445394987182;100;"14/01/1971"
3.443;6.2;4.7;5.4;2.2;0.8923;94.17;91.8173056722648;100;"15/01/1971"
1.2;4.6;1.7;7.6;1;6.266;79.28;95.9259744636152;100;"16/01/1971"
1;6.9;4.2;10.3;2.2;6.963;66.9;83.1329669050633;100;"17/01/1971"
6.248;6.6;4.2;9.155;1.6;1.209;76.83;85.6034797753901;100;"18/01/1971"
0;8;5.2;11;6.4;7.942;53.34;66.4517171969699;80.596520629836;"19/01/1971"
0;6.4;2.3;11.7;1.4;8.241;57.29;82.6886661815444;100;"20/01/1971"
0;8.7;7.303;10.5;0.9;3.119;85.39;96.5042999817231;100;"21/01/1971"
0;9.704;7.146;13.31;1.6;6.963;64.33;81.1651253967289;96.5610470023531;"22/01/1971"
0;11.9;10.04;14.6;2.2;5.284;67.19;78.3801104986163;88.7023753063568;"23/01/1971"
0;11.99;9.463;15.2;2.8;6.749;71.08;82.951420696014;98.1668843467841;"24/01/1971"
0.05572;10.2;9.205;12.2;1.419;2.655;81.09;95.8777617510696;100;"25/01/1971"
0;9.4;5.922;9.3;3.3;6.749;78.33;82.2756423809665;100;"26/01/1971"
0;3.625;1.2;7.108;7.4;7.221;57.68;68.4428484600132;81.3714845960433;"27/01/1971"
0;0;0.8;3.4;7.903;9.736;33.61;42.6856667035036;40.2782962514009;"28/01/1971"
0;1.1;-1.5;5.3;6;11.26;35.05;36.0132543330122;43.5327073826812;"29/01/1971"
0;2;-1.94;6.4;3.4;12.13;36.74;59.0817134024669;78.7069334792649;"30/01/1971"
0;2.212;-0.7;6.1;7.8;6.067;50.91;69.2984746202545;85.5500800349636;"31/01/1971"
0;7.9;6.8;9.7;3.6;4.518;73.76;83.0475479593113;89.5467124236616;"01/02/1971"
0;6.3;4.5;10.36;1.5;5.974;66.49;88.3673660853192;100;"02/02/1971"
0;4.9;1.699;11.5;2.191;2.841;60.19;94.968306923843;100;"03/02/1971"
1.592;9.5;8.1;11.6;1.7;2.023;85.73;94.1474435108759;100;"04/02/1971"
0;11.58;6.6;14.5;3.7;5.974;61.61;76.9371397914111;100;"05/02/1971"
0;11.6;3.8;19.61;1.1;7.298;40.9;69.8785409899165;100;"06/02/1971"
0.1;11.1;9.636;13;1.995;3.071;83.19;88.1711220945515;97.2349249638864;"07/02/1971"
0.8542;10.3;9.1;11.59;2.7;2.49;86.83;94.5749247668262;100;"08/02/1971"
0;7.6;4.9;10.7;1.9;9.095;60.36;77.9573011767064;93.9519992397591;"09/02/1971"
0;4.8;2.6;9.6;1.8;9.095;58.96;81.5907941629055;95.2985110861731;"10/02/1971"
0.1942;8.1;7.3;9.195;3;1.71;88.94;95.1146247587016;100;"11/02/1971"
