"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
1.031;4.1;3.743;4.895;2.5;3.758;85.1;95.3321086160767;97.7604868394512;"01/01/1971"
0.09543;2.8;0.2446;4;2.2;3.894;83.3;82.4721653466638;99.1024088246617;"02/01/1971"
0;-1.761;-3.5;1.122;3.4;5.484;74.37;90.0653255997316;100;"03/01/1971"
0.1826;-5.102;-7.524;-3.816;6;0.9178;75.45;99.9733568046825;100;"04/01/1971"
0;-2.707;-3.492;-1.3;5.3;4.569;70.19;85.1444789131072;90.2900515892753;"05/01/1971"
0;1.1;-1.893;3.907;0.8;3.957;77.57;87.0135440078939;100;"06/01/1971"
42.82;2.5;0.2446;4.013;4.4;1.236;90.81;98.3656711210579;100;"07/01/1971"
2.2;2.2;1.2;2.897;4.1;2.33;91.96;88.3772702932466;94.9537925511723;"08/01/1971"
0;-4.293;-4.733;-1.201;4.7;4.47;84.3;100;100;"09/01/1971"
0;0.7122;-3.298;3.402;1.3;7.112;79.54;85.0245433864761;100;"10/01/1971"
6.7;4;2.7;4.5;0.8;3.957;87.51;100;100;"11/01/1971"
20.89;7.2;3.5;8;2.6;1.236;86.61;98.9485866198285;100;"12/01/1971"
4.128;4.4;1.5;5.306;1.345;4.147;87.78;96.5595792280394;100;"13/01/1971"
2.758;7.3;5.3;7.9;2.7;2.473;85.26;91.8167202175347;100;"14/01/1971"
0;6.6;3.3;7.6;1.4;1.884;84.48;88.8984945303241;100;"15/01/1971"
3.448;6.5;5.708;7.7;1.2;0.9756;86.66;92.3766303414832;97.5808124275435;"16/01/1971"
0;5.8;2.9;8;1.3;7.652;82.98;96.517832505931;100;"17/01/1971"
8.5;8.3;6.537;10.3;3.1;0.9525;80.49;91.7896150278763;100;"18/01/1971"
0;7;3.5;9.7;2.8;6.433;62.91;76.2989403844299;97.3762525684409;"19/01/1971"
0;6.4;3.8;10.3;1.5;8.357;65.09;85.2832859366256;100;"20/01/1971"
0;8.7;7.3;9.8;1.4;1.884;88.16;96.7361421438414;100;"21/01/1971"
0;9.5;7.4;11.7;1.257;4.752;81.89;96.7969705738095;100;"22/01/1971"
0;11.9;10.5;14.5;2.7;5.3;76.48;88.6046204353015;97.2350257991283;"23/01/1971"
0;12.1;11.8;12;1.8;1.73;86.41;88.9326744849433;90.7108475711438;"24/01/1971"
5.2;11.7;11;13.8;2.5;2.91;81.79;92.2607372051887;96.6441629128834;"25/01/1971"
0;6.8;4.4;10.5;4.4;8.952;62.7;84.2676136809255;99.5612294503078;"26/01/1971"
