"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.4424;5.1;4.1;6.9;1.8;0.916;77.99;95.5813339626639;100;"01/01/1971"
0;7.4;5.75;8.5;2.1;3.466;85.58;90.952478209167;100;"02/01/1971"
0;6.1;4.553;6.8;2.4;0.916;82.39;86.7065300512635;96.5702557597001;"03/01/1971"
0;6.002;4.887;6.7;1.7;4.72;70.21;74.8158666467589;80.8510702149469;"04/01/1971"
0.1;5.7;4.887;7.691;3;3.617;62.31;72.9459141202467;77.1965717010373;"05/01/1971"
0;4.8;1.9;5.1;6.4;6.685;59.74;65.2536827648975;80.1253652445523;"06/01/1971"
0;2.184;0.7805;3.3;2.5;5.865;54.96;58.8107743243135;65.0558674965665;"07/01/1971"
37.48;3.2;0.6;4.7;1.9;0.9572;79.54;74.435451334887;89.6794297429801;"08/01/1971"
6.84;4.5;5.6;4.7;1.6;0.9394;90.81;100;95.3938702822306;"09/01/1971"
0.7688;5.1;3.763;7.4;0.7;5.647;68.41;83.7403842406873;91.9760503532206;"10/01/1971"
0;7.7;6.1;10.89;5.6;4.562;69.29;76.7284856183605;85.6504001924122;"11/01/1971"
0.1;7.6;1.708;9.8;4;7.309;59.7;68.7279812657622;100;"12/01/1971"
8.048;5.7;2;7.691;2.795;0.6997;73.98;82.9497217668008;100;"13/01/1971"
4;4.3;3.2;5.399;1.479;0.5906;88.32;100;100;"14/01/1971"
0;8.1;7.654;10.1;5.228;5.865;70.07;79.5841663523696;82.0421887033415;"15/01/1971"
0;11.1;8.8;12.5;9.29;7.309;61.81;65.5485930064979;76.4808960716043;"16/01/1971"
0;8.5;7.4;12;4.2;6.869;53.54;70.4728601015088;75.9599635243835;"17/01/1971"
0;10.4;5.5;14.51;4.675;7.309;55.71;68.6783357164016;95.9149305984312;"18/01/1971"
0;7.6;3.4;11.3;4.3;3.818;63.88;80.1592201402311;100;"19/01/1971"
13.7;11;8.815;11.95;4.5;5.647;68.24;76.2797241133037;88.3224253512019;"20/01/1971"
0;8.898;7.3;11.31;2.9;6.869;63.98;76.2327662820126;84.9942278124818;"21/01/1971"
0;8.5;3.4;13.35;1.7;9.42;51.84;76.3186705059275;100;"22/01/1971"
0.1231;8.9;4.5;12.2;0.8;3.061;61.97;80.6968785074701;100;"23/01/1971"
0;8.024;7.8;9.8;5.3;6.37;72.7;81.6507775535945;82.907406421244;"24/01/1971"
0;7.6;7.3;9.826;3.3;5.865;71.44;84.5162087276312;86.2694600377253;"25/01/1971"
8.915;7.6;4.5;9;3.1;4.333;75.51;81.2367549521688;100;"26/01/1971"
1.949;4.6;3.626;6.7;0.9;3.061;75.29;88.5840144866364;94.8664084892935;"27/01/1971"
0;4.255;2.7;6.7;2;10.06;64.74;75.0019251501108;83.7204235145666;"28/01/1971"
0;5.1;0.7;6.2;1.2;7.513;67.84;74.3307267030036;100;"29/01/1971"
1.1;3.4;1.6;5.281;2.1;0.9817;76.27;90.7265425326915;100;"30/01/1971"
0;4;0.2068;6.491;1.479;12.06;63.85;75.3569678198685;98.8490749606302;"31/01/1971"
0.5033;2.8;0.1106;4.6;1.5;4.153;76.05;91.3762784616252;100;"01/02/1971"
0;1.59;-1.8;2.162;1.8;5.889;79.86;95.0387289510347;100;"02/02/1971"
0;0.9046;-2.054;2.6;3.2;6.131;63.01;80.8997778669786;100;"03/02/1971"
0;0.8329;-1.3;3.7;1.9;4.599;70.33;87.2758802765298;100;"04/02/1971"
0.1;0.7331;-1.251;3.8;2;5.889;71.66;88.4650200634347;100;"05/02/1971"
0;1.2;-0.7;3.931;3.5;7.724;60.16;73.9807512582974;84.931984218619;"06/02/1971"
0;0.3367;0.2;3.598;3;6.788;61.49;80.389284184246;81.1915538938864;"07/02/1971"
