"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
2.145;8.6;10.1;9.8;1.8;1.445;92.87;99.2613441024255;89.7178651338688;"01/01/1971"
0.2;9.1;7;11.3;2.9;4.659;70.15;80.0506898677482;92.359305954793;"02/01/1971"
0;8;5.3;12.2;2.1;5.451;58.2;82.194680612488;98.9981898723111;"03/01/1971"
0;7.2;5.8;10.65;0.6494;2.902;68.88;87.2962469789533;96.1466100732159;"04/01/1971"
0;6.9;4.8;9.7;4;4.426;59.1;76.8414692126029;88.887531852271;"05/01/1971"
0.1;4.1;0.4;7.9;2.6;5.451;53.34;70.8471444068943;92.2858004222113;"06/01/1971"
6.8;2.8;-0.4484;6.1;2.2;0.7473;74.34;84.8073126586758;100;"07/01/1971"
9.29;6.6;3.8;9.5;4.185;1.837;74.02;91.3070332344382;100;"08/01/1971"
0;10.1;8.5;12;6.3;5.977;70.89;83.94237646123;93.5035905390174;"09/01/1971"
0;8.5;7.4;11.2;3.7;4.187;66.71;82.6785597147548;89.1160138971977;"10/01/1971"
0;7.7;5.8;9.6;2.875;5.977;68.82;77.1782786409868;87.9620392947825;"11/01/1971"
0;11.4;9.4;13.5;6.2;5.451;71.19;82.8417763968462;94.6867841343863;"12/01/1971"
0.2694;10;6.235;11.6;4.1;5.759;73.51;79.6614900084389;100;"13/01/1971"
0;8.599;4.4;14.11;5.5;2.771;51;73.984186614587;98.840053747555;"14/01/1971"
0;6.388;5.121;8.455;6.4;5.157;67.85;77.0884301143992;84.1737512162401;"15/01/1971"
0;5.9;4.6;8.6;4.6;3.958;62.76;79.7352624586062;87.2962885220878;"16/01/1971"
0;7.6;5.4;11.3;4.876;6.818;55.48;69.3214062346554;80.6810178698855;"17/01/1971"
0;7.3;4.5;9.9;4.1;5.759;66.86;79.319444410148;96.3103847408729;"18/01/1971"
0;8.1;5.4;10.5;6.7;7.351;62.08;68.1287553412851;82.0441799199512;"19/01/1971"
0;7.326;5.8;10.2;6.7;6.175;57.75;71.1426900620255;79.0350236509189;"20/01/1971"
0;7.1;5.501;10.4;3.3;7.201;58.56;76.1161969208081;85.0071333507073;"21/01/1971"
0;4.4;2.575;7.291;3.723;5.977;63.7;77.0098703128752;87.6180374591752;"22/01/1971"
0;5.7;2.7;9.7;4.9;7.002;54.7;71.0946756945498;87.7866556884167;"23/01/1971"
0;6.5;2.575;9.8;3.9;7.002;57.45;78.4822420038854;100;"24/01/1971"
0;7.7;4.4;10;2.9;7.978;66.66;71.7652522652424;90.1859453145212;"25/01/1971"
0;4.413;1.004;9.189;3.4;9.942;44.76;65.3139903727869;83.2499504710328;"26/01/1971"
0;2.4;0.5087;5.8;1.2;9.337;66.47;85.2152878528748;97.6325674627465;"27/01/1971"
0.1;4.6;1.598;7.7;1.3;9.795;68.78;88.9299707159181;100;"28/01/1971"
0;6.183;1.2;6.7;1.7;9.942;71.22;74.8829739676211;100;"29/01/1971"
0;3.4;0.6;9;1.6;11.94;50.68;72.0290946248477;88.0182262852161;"30/01/1971"
0;3.1;1;6.55;4.6;12.1;49.76;55.9301214459743;65.000393521341;"31/01/1971"
0.8574;1.31;-2.9;6.9;1.8;7.302;54.44;75.58193830236;100;"01/02/1971"
3.277;3.112;2.9;5.986;5.747;1.097;52.88;71.6995498693427;72.7868868319178;"02/02/1971"
0;7.816;5.2;12.3;6.6;4.587;35.27;55.5344314204784;66.5156283908251;"03/02/1971"
0;9.1;6.7;12.1;2.4;4.224;55.6;69.9667851363458;82.4078290251324;"04/02/1971"
0;9.8;8.413;11.5;2.6;4.04;66.14;72.9342666165685;80.0950846102846;"05/02/1971"
0;7.9;5.3;11.81;2.2;8.35;54.81;71.9245620775096;86.0400241430458;"06/02/1971"
0.1;8.257;6.5;10.5;2.4;1.296;76.06;90.2813637664976;100;"07/02/1971"
0;11.62;9.2;13.6;6.012;6.867;68.42;76.4119909283966;89.8224156656448;"08/02/1971"
0;7.369;6.1;9.8;7;9.565;52.35;59.8119247418263;65.2722879978561;"09/02/1971"
0;6.276;4.853;8.8;5.827;7.686;61.26;69.8704930256009;77.1348037103775;"10/02/1971"
10.7;8.787;7.5;10;6.395;4.285;77.63;79.5300694697925;86.810027625598;"11/02/1971"
15.73;9.3;11.1;13.1;8.495;3.777;81.38;97.0802404498176;86.0618241261452;"12/02/1971"
5.7;11.4;9.9;12.6;6.5;3.247;80.38;87.4850754971803;96.6887313880018;"13/02/1971"
11.57;8.679;9;7.8;0.5949;1.937;94.7;86.1359098774106;84.2850290803447;"14/02/1971"
