"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
12.48;8.86;1.17;10.91;2.456;1.083;75.2;93.443465194837;100;"01/01/2006"
0;9.081;5.41;11.96;5.579;4.806;59.68;73.0503700042123;93.95641429782;"02/01/2006"
7.321;8.24;7.251;9.191;2;4.386;76.04;83.0753888915644;88.8788083708193;"03/01/2006"
0;6.82;5.663;8.91;6.073;4.556;59.25;70.5602787154989;76.4351174330211;"04/01/2006"
0.1308;4.97;0.3321;10.68;2.258;7.492;52.09;71.9743476612461;100;"05/01/2006"
0.2625;5.56;1.916;9.21;1.292;2.468;73.83;86.0791093324146;100;"06/01/2006"
0.2533;9.934;10.08;10.37;2.847;0.9843;95.73;97.1484709552003;96.2023407121041;"07/01/2006"
12.41;10.48;11;11.51;3.507;0.4925;94.69;98.9461471659872;95.5762716099786;"08/01/2006"
8.652;10.7;11.15;10.78;2.558;0.5885;94.91;100;97.0501990897276;"09/01/2006"
4.101;8.981;7.002;11.78;4.56;7.078;62.84;71.2708528163019;81.5598301333116;"10/01/2006"
15.76;10.59;6.14;13.02;6.239;3.927;67.31;83.1642077117535;100;"11/01/2006"
0;6.113;5.971;6.67;4.378;1.92;72.86;77.1492412801711;77.9114721904888;"12/01/2006"
74;6.798;7.474;7.325;2.967;0.372;88.75;98.8812275932599;94.3993500118784;"13/01/2006"
0;5.37;4.885;5.425;6.366;4.017;80.16;75.3674224534606;77.9609744932577;"14/01/2006"
0;4.68;4.797;5.019;4.815;0.6359;76.85;79.6795880634522;79.0298277034118;"15/01/2006"
0;4.545;2.05;8.164;2.854;7.367;55.44;71.9666725171579;85.87699466407;"16/01/2006"
0;4.08;0.58;8.737;1.642;7.85;56.13;78.2030719086635;100;"17/01/2006"
0.6944;6.983;3.096;10.22;2.018;1.92;76.06;91.2454141018419;100;"18/01/2006"
1.499;8.77;7.533;11.51;1.417;3.294;69.01;84.8134347072781;92.2620249235535;"19/01/2006"
0;4.55;0.17;6.342;2.255;7.982;60.58;73.1372643512475;99.9839712580738;"20/01/2006"
0;3.357;-0.7906;6.761;2.746;8.957;54.83;71.9759277619838;97.0368526396502;"21/01/2006"
0;6.909;5.98;7.446;3.867;0.6826;82.84;87.4861454599892;93.2783725279375;"22/01/2006"
14.61;7.66;7.121;6.04;6.876;0.6067;86.88;92.1643731686777;95.6295011229823;"23/01/2006"
5.987;8.449;7.463;8.03;4.09;0.5766;91.24;93.6214640519417;100;"24/01/2006"
0;7.428;3.925;9.31;0.8442;7.492;68.44;74.8190143204301;95.4256841317085;"25/01/2006"
0.1333;7.601;7.34;8.196;1.185;3.685;83.53;84.260585592722;85.779009229876;"26/01/2006"
0;5.96;-0.2111;5.388;2.974;4.386;76.56;70.7856610643413;100;"27/01/2006"
0;-1.641;-5.003;5.315;1.728;10.82;46.89;69.1884397992073;88.9993940154148;"28/01/2006"
0;-1.319;-4.695;5.422;1.848;10.82;48.36;67.7416991291812;87.1705530445535;"29/01/2006"
0;1.964;-1.64;8.886;1.835;11.14;42.86;67.0641546313308;87.1565476495671;"30/01/2006"
0.1273;2.633;-1.967;8.955;1.927;11.14;46.05;65.8787572141984;92.0033191644499;"31/01/2006"
0.1;1.653;-0.2424;7.547;1.409;3.905;69.77;91.2933549755747;100;"01/02/2006"
0;2.72;0.544;7.275;2.041;2.955;71.48;92.2050975674271;100;"02/02/2006"
9.941;5.652;3.087;5.456;3.058;1.266;88.14;90.3170242103879;100;"03/02/2006"
0;5.695;4.448;7.23;4.4;7.015;71.29;73.7547306997266;80.4612483657846;"04/02/2006"
0;4.72;3.327;7.111;2.651;3.426;73.57;87.3281260862756;96.3261189807227;"05/02/2006"
0.1;10.11;8.29;11.83;2.95;0.9314;77.62;87.7339189096415;99.1972085889185;"06/02/2006"
0;11.53;5.6;18.41;3.422;4.492;42.17;69.2560171465513;100;"07/02/2006"
0.2111;9.005;6.007;10.2;5.899;7.905;60.06;64.3279483615422;78.9720677153821;"08/02/2006"
0.1;6.025;4.317;9.523;7.452;5.9;54.43;65.9079132506366;74.2446689247627;"09/02/2006"
0;8.36;5.367;13.2;3.437;9.275;49.96;67.6168067592267;83.0708638550109;"10/02/2006"
0;9.786;4.66;15.98;2.673;8.818;38.41;62.8893876493232;89.3799857056072;"11/02/2006"
0;11.26;8.491;17.3;3.064;9.826;39.99;55.9220267922131;67.3413748774651;"12/02/2006"
0.2111;10.13;9.69;10.42;2.249;2.169;84.11;86.5768777010711;89.170499982096;"13/02/2006"
0;8.63;7.574;10.39;7.363;8.113;59.34;61.2498576927361;65.8152717737939;"14/02/2006"
7.705;6.427;5.48;8.33;4.983;1.645;70.28;89.7285632835;95.8134731408198;"15/02/2006"
0;5.422;4.188;8.759;6.584;12.62;40.19;55.2052622246082;60.1818794881378;"16/02/2006"
5.37;10.22;6.964;14.41;2.745;2.955;61.22;82.3158099307144;100;"17/02/2006"
0;7.09;5.792;9.415;6.619;10.66;49.35;57.6680960142929;63.0721002957134;"18/02/2006"
0;5.039;2.13;7.58;4.29;8.818;67.95;74.4055505746307;91.3845826269366;"19/02/2006"
0;9.35;3.327;16.53;2.342;7.844;46.85;76.6318559033707;100;"20/02/2006"
4.526;7.97;6.006;9.14;0.8587;2.477;82.91;90.3875142080453;100;"21/02/2006"
0;6.338;2.743;8.648;3.065;12.01;53.01;61.6183560459729;79.2793384085116;"22/02/2006"
7.886;6.137;2.85;9.413;3.981;0.6291;73.62;91.2339032284444;100;"23/02/2006"
0;6.648;5.26;8.182;8.158;11.91;48.66;60.9982159128894;67.1557184783658;"24/02/2006"
0;7.83;6.502;9.899;5.148;6.735;58.94;72.2534255215184;79.144990495314;"25/02/2006"
0;9.36;6.272;13.68;2.253;16.95;46.99;59.590119780216;73.5682199551904;"26/02/2006"
0.6545;7.792;2.474;15.98;1.012;16.81;37.7;57.135935074665;82.8010396149773;"27/02/2006"
0;6.88;3.793;9.538;1.716;6.092;63.01;76.6190741928198;94.995592581336;"28/02/2006"
0;5.302;2.63;9.961;4.136;11.66;49.01;68.0940926014523;82.1948494170308;"01/03/2006"
0;7.457;4.34;11.83;5.456;12.53;33.49;43.8088854399651;54.3751896085665;"02/03/2006"
0;9.942;6.621;14.72;4.537;1.411;24.44;45.936199485731;57.5710194869485;"03/03/2006"
0;10.43;5.703;17.45;2.432;11.66;27.21;35.9213733243973;49.5637043093794;"04/03/2006"
1.252;9.59;4.242;16.88;3.781;13.53;33.01;46.6121382180686;67.3249472483512;"05/03/2006"
0.1062;7.99;5.98;9.4;4.37;5.309;66.38;71.3021916722895;81.8608064352422;"06/03/2006"
0.1062;6.465;6.365;7.96;3.472;5.804;62.08;74.4344845405057;74.9500370086016;"07/03/2006"
0;6.94;3.746;10.4;4.951;13.53;50.69;60.6344804845041;75.7386462788109;"08/03/2006"
0;6.913;4.18;9.748;7.637;15.61;40.78;44.1320982366548;53.3667421639027;"09/03/2006"
0;6.67;2.317;14.61;4.642;15.8;26.44;29.1628965792777;39.5742666191369;"10/03/2006"
0.22;3.872;1.155;8.714;3.231;15.8;45.72;48.4072152664544;58.7532867073037;"11/03/2006"
9.428;3.172;0.8139;5.347;4.239;0.9655;74.01;93.2451258363685;100;"12/03/2006"
6.601;8.63;9.016;8.84;1.953;2.118;89.21;100;99.9235762485685;"13/03/2006"
0;7.367;2.494;6.955;2.927;5.725;76.61;76.2270150526197;100;"14/03/2006"
0;7.72;2.82;11.48;3.887;14.2;48.41;66.0138332629679;92.8808694283505;"15/03/2006"
0;7.72;0.2747;13.79;1.355;10.79;48.45;68.2907064421458;100;"16/03/2006"
0.1;9.91;5.471;14.39;2.353;14.84;46.82;65.9205950160879;89.2721127191885;"17/03/2006"
0;10.97;7.76;14.61;4.315;14.84;70.72;87.0327694042043;100;"18/03/2006"
0;10.66;10.87;10.83;5.452;2.658;88.35;92.5444165175608;91.258652394001;"19/03/2006"
0;12.23;11.95;15.35;5.014;5.136;77.32;87.1212013976827;88.744107263486;"20/03/2006"
27.41;10.08;8.817;10.46;3.128;2.665;86.23;91.3169624437156;99.4229549904779;"21/03/2006"
20.59;10.29;9.74;11.93;2.927;1.968;92.03;96.2135447382342;99.826700390542;"22/03/2006"
0;12.13;9.115;14.68;3.359;10.6;71.79;84.9776722862219;100;"23/03/2006"
0;12.03;8.061;17.86;1.667;18.58;49.33;69.5220408537812;90.7066036284372;"24/03/2006"
0;11.96;7.234;19.78;1.948;17.48;43.61;72.1160118697563;99.1024675200747;"25/03/2006"
0;11.17;7.05;17.85;2.239;19.72;46.3;73.5934569290378;97.1994163807167;"26/03/2006"
0;11.95;9.162;16.68;3.559;18.41;61.47;83.1123369562644;100;"27/03/2006"
15.16;11.59;10.87;12.63;6.331;2.072;82.76;87.967215389274;92.2731940964323;"28/03/2006"
25.1;12.5;9.61;11.71;4.799;1.179;79.81;83.8671997504751;100;"29/03/2006"
9.204;12.59;11.6;15.09;2.366;15.15;73.29;82.4003563227474;87.9567495964266;"30/03/2006"
0.1059;12.87;10.73;16.88;3.897;19.26;51.65;65.5352679822769;75.4886384132867;"31/03/2006"
