"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.3412;9.6;9.5;10;2.5;1.885;87.17;90.870739153758;91.4841883284451;"01/01/1971"
0;8.1;6;10.5;2.7;6.735;70.96;79.2219399172365;91.5104578289691;"02/01/1971"
0;7.2;4.7;11;2.447;6.735;59.68;82.3849302708159;97.9666673973997;"03/01/1971"
0;7.39;5.3;11;0.8;5.846;62.23;84.2025302546136;97.2777554393296;"04/01/1971"
0;6.9;3.696;8;4.665;6.225;64.19;71.1397994288106;88.9301334374028;"05/01/1971"
0;4.5;2.53;7.4;2.6;7.312;61.27;75.3489404735165;86.6091266736745;"06/01/1971"
10.9;2.185;1.5;4.7;2.6;0.8174;73.89;88.3580691141582;92.8054227437573;"07/01/1971"
1.751;5.9;3.1;9.4;4.5;0.9538;72.41;94.8326481288839;100;"08/01/1971"
0;9.9;6.415;10.7;4.515;3.968;75.9;76.7228758671069;97.25684093367;"09/01/1971"
0.1;8.4;5.575;9.9;3.5;4.598;63.98;73.9844351821002;89.8319103957737;"10/01/1971"
0;7.4;5.575;10.2;2.7;7.822;67.59;75.7541528687318;85.9175876961377;"11/01/1971"
1.022;10.2;6.125;13.2;5.2;6.934;68.51;83.2512368428687;100;"12/01/1971"
0;9.9;10.3;11.4;6.1;4.406;70.14;76.3754111793269;74.3562656544795;"13/01/1971"
0.1719;8.5;5.395;11.84;4.665;3.015;66.46;81.0628834723275;100;"14/01/1971"
0;6.5;6;9;3.7;5.693;67.6;76.5959735265388;79.2893050497526;"15/01/1971"
0;6.6;5.9;9.7;3.7;6.735;62.51;73.9120314825027;77.5759852057641;"16/01/1971"
0;6.9;6.125;9.602;4;4.844;68.6;81.9696951963011;86.4702486578947;"17/01/1971"
0;6.9;5.681;8.583;3;4.481;69.43;76.1697207610641;82.8631659906575;"18/01/1971"
0;6.8;4.7;8.2;4.5;7.939;72.88;75.276648634703;87.0878440160403;"19/01/1971"
0;7.6;5.5;10.2;5.291;6.735;63.7;76.7079854527207;88.6590401015231;"20/01/1971"
0;6.4;5.4;8.7;2.6;2.885;68.1;77.1263440922198;82.6621467159809;"21/01/1971"
0;4.9;2.9;6.675;3.686;9.12;66.92;71.2356404492164;82.0179716161979;"22/01/1971"
0;6.6;4.9;10.3;4.3;7.452;62.24;74.8486854229916;84.2217941902888;"23/01/1971"
0.3412;5.863;4.7;7.9;2.1;3.549;67.34;81.1896675752852;88.0421267687911;"24/01/1971"
2.397;5.863;4.1;9.4;2.6;5.846;64.74;84.7801059419356;95.8894899151475;"25/01/1971"
0;4.7;2.6;8.583;2.6;9.848;63.27;77.9458152446874;90.4062994833753;"26/01/1971"
0;4.208;2;6.7;2.119;10.24;68.53;74.5586158197766;87.2015590070044;"27/01/1971"
13.58;4.4;0.2106;9.1;2.6;8.322;61.04;87.2232775626718;100;"28/01/1971"
77.76;4.8;1.7;8.6;1.003;1.06;81.09;93.7962462978442;100;"29/01/1971"
0;4.9;0.9;6.5;1.4;11.84;61.08;69.4288712330672;92.2554057242734;"30/01/1971"
0.1;4;1;8.297;1.1;11.84;56.86;77.5220522903515;96.0108944793834;"31/01/1971"
6.518;4.3;0.4;7.3;2.4;5.078;64.43;70.2506262398976;92.8044056507711;"01/02/1971"
19.39;6.7;6.2;6.1;4.9;1.546;87.27;91.6436187727586;94.8606882760083;"02/02/1971"
4.8;5.772;4.4;7.4;4.2;1.73;67.1;70.2974731150128;77.3607125466468;"03/02/1971"
