"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0.5703;8.8;8.5;9.8;1.7;1.536;89.55;97.4649281514686;99.466904670158;"01/01/1971"
0;9.2;7.3;11;3.024;4.31;69.15;78.4195076257454;89.2343749614165;"02/01/1971"
0;7.7;5.4;13.21;2.5;5.451;55.5;79.8615266725163;93.585618610507;"03/01/1971"
0.1;6.871;5.7;11.2;0.7;2.771;70.76;93.1818179396461;100;"04/01/1971"
0;6.9;4.252;9.8;4;4.426;59.17;71.2708722974035;85.6726582930893;"05/01/1971"
0;3.4;0.002165;7.9;2.8;5.977;54.16;70.3559449239221;89.7885867042143;"06/01/1971"
6.5;2.454;-1.1;4.7;2.6;0.9064;74.34;95.9823064159776;100;"07/01/1971"
5.15;6.6;4.8;9.4;4.322;1.48;74.66;90.2365715881653;100;"08/01/1971"
0.2;11.23;7.7;12.59;6.3;5.759;69.97;73.2152837532455;92.8589940159944;"09/01/1971"
0;9.198;8.074;11.4;3.7;3.76;65.45;78.430090717237;84.6390145335712;"10/01/1971"
0;7.6;6.4;9.7;3.2;5.977;67.2;75.7866151062813;82.2986253033295;"11/01/1971"
0.2;11.7;8.6;14;6.1;5.977;74.59;79.7427700346016;98.1380161341882;"12/01/1971"
0;10.4;6.5;11.5;4.2;5.759;73.76;81.1888040968075;100;"13/01/1971"
0;8.599;5.708;14.6;5.6;1.618;51.45;75.7057669775373;92.3148287486824;"14/01/1971"
0;6.1;4.8;8.7;6.2;4.659;66.09;77.9285326998277;85.3054969865825;"15/01/1971"
0.1;6.3;4.7;8.801;4.6;3.884;63.88;78.3609358387497;87.5840710474707;"16/01/1971"
0;7.3;5.9;11.36;4.7;6.482;56.83;74.282277120436;81.8067642133652;"17/01/1971"
0.4744;7.6;5.2;9.8;4.2;5.759;67.09;79.5657951713379;93.9033324054458;"18/01/1971"
0;8;5.6;10;6.9;7.646;57.66;65.2056525250852;76.913772525564;"19/01/1971"
0;7;5.8;10.4;6.502;6.175;55.54;70.1807058814345;76.2420167762052;"20/01/1971"
0;7.7;5.457;10.6;3.7;6.818;58.72;70.9587268453606;82.8237193588769;"21/01/1971"
0.4744;4.511;3;7.205;3.6;5.977;63.3;73.1634394198103;81.3944303408427;"22/01/1971"
0;5.6;3.037;9;5.2;7.201;56.08;69.0987166362268;82.7259962927024;"23/01/1971"
0;6.5;2.4;10.3;3.9;7.002;54.65;75.8044144333666;100;"24/01/1971"
0;8.6;4.4;9.554;2.95;7.495;64.73;68.2166438893212;91.1410158397885;"25/01/1971"
0;4.4;1.4;8.752;3.598;10.75;46.61;60.1499518566268;74.4425535806595;"26/01/1971"
0;3;0.7;5.9;1;9.337;64.57;81.6526204450167;96.2889626302383;"27/01/1971"
3.448;4.293;0.8471;6.844;1.3;9.337;70.77;86.9383829288502;100;"28/01/1971"
0;4.8;1.1;6.1;2.5;10.4;76.48;90.4795473481326;100;"29/01/1971"
0;3.7;-0.1617;9.2;1.9;11.66;49.63;72.8726371353261;96.1342265061516;"30/01/1971"
0;3.1;0.9099;6.171;4.9;12.17;50.91;70.7137899106856;82.7180901511054;"31/01/1971"
0;2.08;-1.611;6.115;1.9;7.302;56.69;74.5734481018514;97.5147446950007;"01/02/1971"
0;4.6;3.709;5.9;5.402;1.898;53.01;58.6011412822205;62.3904369799589;"02/02/1971"
0;7.6;4.5;12.3;6;4.709;39.8;56.5783858500015;70.1230956423196;"03/02/1971"
0;9.9;7.1;11.92;2.3;3.022;54.17;64.0938708689505;77.5060043380458;"04/02/1971"
0;9.5;8.899;11.4;2.5;4.801;68.21;77.0833909760233;80.2734492726962;"05/02/1971"
0;7.9;6.3;11.9;2.5;8.696;57.37;73.1791492058559;81.6736448282283;"06/02/1971"
0.2372;8.1;6.5;10.79;2.5;1.521;73.96;85.0175628793662;94.8691994008341;"07/02/1971"
0;12.1;8.2;13.7;6.905;6.364;68.89;80.6663113885887;100;"08/02/1971"
0.1;7.369;5.5;9.9;7.296;9.907;52.78;60.8114343595279;69.1836524244988;"09/02/1971"
0;6.1;4.7;8.6;5.827;7.561;61.08;75.4180600845255;83.1371134196519;"10/02/1971"
12.12;8.4;7.8;11.1;6.706;4.285;72.73;84.2177410277954;87.7290374524312;"11/02/1971"
16.08;11.2;10.97;12.59;8.1;4.224;76.36;85.3818412179122;86.6968316238021;"12/02/1971"
6.847;11.4;10.9;12.1;6.505;3.51;77.63;86.8683873354171;89.8015894203257;"13/02/1971"
12.9;8.787;8.4;8.5;1.352;1.578;96.94;90.8812186714219;93.2975817637158;"14/02/1971"
0.5658;7.4;5.6;8.7;1.5;6.867;86.76;87.2162232296433;98.7457405833913;"15/02/1971"
0;5.6;2.6;7.1;2.4;5.931;55.92;62.0006383514159;76.5708594302143;"16/02/1971"
0;1.6;0.2731;5.193;7;13.1;42.96;58.2092471289297;64.0648075305739;"17/02/1971"
0;-0.2144;-2.59;3.494;4.108;10.39;54.96;77.4692423220196;92.2876869355188;"18/02/1971"
0;-0.5002;-3;1.674;1.9;9.565;70.63;73.7040592808777;88.6577679927741;"19/02/1971"
3.421;0.3;-3;1.146;3;1.743;82.19;84.521675646467;100;"20/02/1971"
0.8;2.8;2.25;6.3;4.1;8.885;71.61;84.6545460120956;88.0393617159983;"21/02/1971"
0.7066;3.4;0.2731;6.4;1.7;1.701;57.42;80.6249012133531;100;"22/02/1971"
0.65;4.509;4.1;7;6.8;12.29;55.6;65.9008183807532;67.8213602119385;"23/02/1971"
0.4754;3.341;1.5;6.8;6.1;10.93;56.05;68.6971988110927;78.3397516889884;"24/02/1971"
0;2.654;2.8;5.299;4.7;9.565;69.45;78.8349373880023;78.0201087891832;"25/02/1971"
0;3.8;3;6.9;2.8;13.95;57.88;69.8391420796428;73.9069173197977;"26/02/1971"
6.6;5.9;5.4;7.4;3.001;2.032;89.68;95.1661950215993;98.5293529787451;"27/02/1971"
0;7.052;4.2;9.376;1.3;5.742;69.62;78.8157292449851;96.0872553415917;"28/02/1971"
0.1;2.301;0.7949;4.7;2.6;1.734;70.08;68.0677635502986;75.8489035076794;"01/03/1971"
0;0.4558;-5.946;6.699;5.2;13.8;23.09;42.3280051248497;68.2117667333307;"02/03/1971"
4.149;-3.463;-6.314;0.2199;5.7;10.73;46.64;67.1997813994002;83.4360871945062;"03/03/1971"
13.11;1.1;-0.1825;3.68;6.694;2.369;93.57;100;100;"04/03/1971"
6.4;7.1;1.7;17.7;1.6;4.47;40.78;80.3825824807006;100;"05/03/1971"
0;12.9;7.494;19.8;2.6;11.65;46.73;68.2875350683503;98.0612032960788;"06/03/1971"
0.2;10.8;7.52;16.7;2;9.602;60.08;78.7363514288263;98.2480914149554;"07/03/1971"
0;10.9;6.1;14.5;4.5;11.45;55.38;64.46364095777;89.2862570835395;"08/03/1971"
0.7221;10.1;2.196;20.3;1.225;12.45;37.87;69.1740035996879;100;"09/03/1971"
0.414;11.8;7.4;18.5;2.3;12.45;55.06;83.8571914259528;100;"10/03/1971"
0;12.3;9.9;15.5;2;11.08;79.17;91.2897395792119;100;"11/03/1971"
0;12.77;10.3;15.4;2.2;10.14;81.25;90.3816877079252;100;"12/03/1971"
13.11;11.3;9.2;14.4;3.7;6.712;74.42;90.1485930498769;100;"13/03/1971"
0;8.624;5.1;13.4;4.021;11.82;49.07;65.0762283093926;82.923767018482;"14/03/1971"
0;7.821;4.924;11.6;4.2;14.33;51.79;64.4527273630239;78.7257981436686;"15/03/1971"
0;7.2;2.498;12.1;1.4;16.5;48.81;70.3634393741003;97.7553487279308;"16/03/1971"
