"PPT_sum";"Tair_mean";"Tair_min";"Tair_max";"WS_mean";"RG_sum";"RHair_min";"RHair_mean";"RHair_max";"DATE"
0;7.4;5.9;9.4;2;4.38;77.31;86.867928273925;96.3248315962951;"01/01/1971"
0.1;3.1;0.6785;4.9;3.9;6.595;60.39;69.3465142145273;82.4876895903416;"02/01/1971"
0;4.807;1.3;9;5.2;4.655;53.06;74.6933849281054;95.8028504422099;"03/01/1971"
0.1;1.007;-2.24;3.892;1;5.105;61.78;72.7845041411241;92.3102088414843;"04/01/1971"
0;4.891;-1.4;12.6;1.8;8.335;48.41;69.6420494881786;100;"05/01/1971"
0.7735;7.7;5.308;9.5;1.2;1.006;81.76;89.2296296265267;100;"06/01/1971"
0;8.407;4.4;10.3;2.4;4.869;80;88.7450402585797;100;"07/01/1971"
2.245;9.9;8.5;11.1;2.9;1.712;85.54;96.4080868324872;100;"08/01/1971"
37.46;11.7;11.51;12.2;4.9;0.772;93.11;95.8288320142291;97.0413041012389;"09/01/1971"
0;8.511;6.5;12;1.4;5.663;61.78;74.3683938372098;85.3368069171003;"10/01/1971"
33.97;9.5;9.8;12.5;4.7;1.122;80.86;100;100;"11/01/1971"
0;9.2;7.1;14.39;2.2;5.374;54.35;78.6996773564554;90.78997755862;"12/01/1971"
0;7.7;6.5;9.5;3.5;6.041;72.98;83.3823203323845;90.5408869126369;"13/01/1971"
0;6.3;2.4;10.4;1.3;6.595;62.54;80.5807923780911;100;"14/01/1971"
0.1619;4.119;1.8;8.7;1;8.453;61.32;77.2333536680123;91.0620182713589;"15/01/1971"
0;4.5;3.3;6.5;5.4;6.595;69.31;80.2651056110128;87.3480857768084;"16/01/1971"
0;7;4.4;9.7;5.9;6.041;57.3;70.7827661915697;84.7868731614799;"17/01/1971"
7.106;7.8;3.754;10.1;6.8;4.023;63.24;79.0408588531035;100;"18/01/1971"
0.1619;6.9;6.2;8.4;4.5;2.812;71.3;78.266886658551;82.1369417970803;"19/01/1971"
0;8.1;5.3;10.81;6.706;3.953;67;79.0710122359311;95.88676589777;"20/01/1971"
1.516;9;7.2;11.95;5.4;6.283;63.66;75.9786372319617;85.8838421739988;"21/01/1971"
0.3;7.6;4;11.2;7.6;4.869;58.23;74.8652447598418;96.1056939953311;"22/01/1971"
0;1.7;1.191;1.802;7.7;7.391;59.03;61.8061577532411;64.110913520068;"23/01/1971"
0.1619;1.597;0.5;3.744;6.8;7.894;45.9;49.1127462119415;53.1590136192336;"24/01/1971"
0;5.327;1.5;7.7;7.3;6.283;63.5;70.8071805736854;92.8293725302719;"25/01/1971"
0;9;8.5;10.99;9.206;9.078;64.38;70.270655141278;72.6907429433863;"26/01/1971"
0;11.19;10.09;11.12;6.6;9.371;66.8;62.7056159314672;67.4786306690242;"27/01/1971"
1.158;11.3;10.4;12.1;8.793;5.663;71;82.6504113973351;87.754215189004;"28/01/1971"
0;10.9;8.8;12.8;7.7;7.721;68.61;76.6763571136245;88.2826150739971;"29/01/1971"
0;10.3;9.412;11.6;7.1;7.721;61.45;65.1837079490713;69.1866142208738;"30/01/1971"
1.158;10.1;10.1;10.54;5.6;1.268;83.1;81.0810042193062;81.0810042193062;"31/01/1971"
0;10.2;4.4;13;3.9;5.079;64.43;79.0467612250963;100;"01/02/1971"
0;6.7;4.1;10.3;1.1;8.034;68.01;90.1320057025536;100;"02/02/1971"
0;8;5.2;11.83;2;3.334;64.66;80.9638118512361;98.1976359285996;"03/02/1971"
0;7.3;4.597;12.2;2.7;7.501;52.44;77.1993708356806;93.1010127191562;"04/02/1971"
0;5.4;1.195;10.9;1.5;8.276;40.23;51.8001579024946;69.7721274953104;"05/02/1971"
1.446;4.3;1.8;5.9;2.794;1.435;76.08;87.9752184429229;100;"06/02/1971"
0.7548;5.5;6.3;5.2;2.2;1.826;86.02;80.1035871275569;75.7824870892071;"07/02/1971"
0;4.613;3.142;9.8;1.1;9.166;55.73;77.7884907491971;86.286845657179;"08/02/1971"
0.1;1.8;0.3;6.4;2.9;10.13;38.54;58.7391036777414;65.4546721786299;"09/02/1971"
0;0.1127;-2.5;5.4;4.1;10.29;35.72;50.8361850024652;61.606549395773;"10/02/1971"
0;0.8263;-2.5;4.741;3.6;10.81;45.27;57.4490562726432;73.3182111298652;"11/02/1971"
0;1.5;-0.3;4.5;3.7;9.554;51.81;64.8799716678293;73.9163690461164;"12/02/1971"
0;3.9;1.3;7.7;3.926;11.02;41.18;64.4022492798555;77.507251562427;"13/02/1971"
0;7.4;4.6;10.7;7;7.501;56.25;70.2605915217203;85.29743030846;"14/02/1971"
0;8.9;4.2;11.3;5.3;6.788;64.57;81.0542606089203;100;"15/02/1971"
0;4.6;2.3;10.27;1.7;12.58;40.62;68.1341573779835;80.1719119748512;"16/02/1971"
0.3359;5.5;3.8;7.4;6.8;8.935;59.58;69.2558503398909;78.012456523898;"17/02/1971"
20.8;7.4;6.5;9.9;7.217;1.826;70.98;78.3030386810339;83.2989632942527;"18/02/1971"
0.7548;7.4;3.7;11.3;10.3;11.21;42.71;45.7691234991648;59.1949407019466;"19/02/1971"
0.3359;2.8;1;6.2;8.4;15.19;39.09;42.3163611027206;48.142002688266;"20/02/1971"
0;2.676;0.6;6.1;4.4;11.65;46.46;61.4500511977914;71.3295207787568;"21/02/1971"
0.6759;0.9;-1.79;4.168;7;13.14;48.57;67.5972788486611;82.2829464667012;"22/02/1971"
0;0.5426;-1.79;3.5;4.3;11.02;61.41;88.2054213659322;100;"23/02/1971"
0.2;2.732;1.5;2.6;6.5;7.501;72.74;77.2800302018006;84.3990476771615;"24/02/1971"
0;1.485;-0.1;3.6;5.3;12.23;56.57;71.5912321591509;80.2946747033168;"25/02/1971"
0.1;2.1;-1.6;4.992;4.5;15.64;50.79;59.188047461459;77.4442006929987;"26/02/1971"
0;0.976;-4.779;5.887;3.6;16.13;33.42;55.9107410102719;85.5951318609955;"27/02/1971"
12.99;3.2;-3.174;7.914;2.3;3.334;55;73.9051332148037;100;"28/02/1971"
0;10.8;9.8;10.65;1.6;5.5;91.75;96.0389698105805;100;"01/03/1971"
0;10.6;8.7;12.7;1.5;8.377;79.16;85.8378014275281;97.5330995761229;"02/03/1971"
30.71;7.6;6.7;9.3;2.297;2.41;92.45;99.539230308559;100;"03/03/1971"
0;8.4;3.504;12.7;2.3;12.73;58.29;80.0327330013044;100;"04/03/1971"
0.1;14;8.1;20.3;1.6;12.29;56.01;81.6283000523479;100;"05/03/1971"
0;12.3;5.071;19.79;2.5;12.08;41.71;68.5812459469891;100;"06/03/1971"
0;8.495;4.9;11.9;8.5;12.65;44.7;62.0189428670438;79.4413839725607;"07/03/1971"
0;7.58;0.2;12.5;3.2;7.931;58.74;82.3799979634578;100;"08/03/1971"
0.1;14.6;9.6;21.79;2.3;11.51;42.4;64.816415138625;90.1207555623029;"09/03/1971"
2.68;13.2;10;18.5;1.3;5.091;50.03;77.0142946346462;95.1796172905361;"10/03/1971"
0;11.5;9.1;15;1.2;16.62;71.69;86.3668006276021;100;"11/03/1971"
1.7;11.5;7;14.2;0.7052;11.72;68.4;84.4088328247788;100;"12/03/1971"
1.163;9.354;7.7;11.9;1.2;4.323;75.29;86.5515263290557;96.8295806984889;"13/03/1971"
0.1;8.4;4.3;11.8;5.7;15.73;43.07;56.2240300944123;74.6277957429703;"14/03/1971"
3.381;6.4;0.1;10.5;2.6;13.23;34.24;39.9876691665467;62.4908940052998;"15/03/1971"
20.22;6.7;7.7;10.2;3.2;4.979;65.04;85.8629446141724;80.1717287570862;"16/03/1971"
0;6.7;4.6;10.5;6.2;14.6;47.6;61.6605243582527;71.3438623940973;"17/03/1971"
0;7.2;2.7;11.6;6.4;17.1;30.94;44.5068014106706;60.9495233410064;"18/03/1971"
0;7.1;2.2;12.9;4.8;18.71;40.51;49.2735211064849;69.4490456505436;"19/03/1971"
0;8.2;3.985;13.9;5.7;16.16;32.4;45.8406704658633;61.3687529547331;"20/03/1971"
0;8.1;4.6;11.8;4.7;13.39;46.4;63.4952755252075;80.8576586993446;"21/03/1971"
0;9.7;6.4;13.5;4.4;17.44;53.17;70.5137196114648;88.2849048689746;"22/03/1971"
0;13.2;11.8;18.2;7.1;15.36;45.03;60.9884469924018;66.8643635608145;"23/03/1971"
0;11.3;8.8;15.6;4.3;15.36;43.04;53.2176139365463;62.9233115590993;"24/03/1971"
0;11.4;6.5;17.6;5.4;21.58;26.4;40.8223379237706;56.8575212457333;"25/03/1971"
0;9.9;4.3;14.6;4.3;19.25;31.51;41.6289424013304;61.1429731034593;"26/03/1971"
0;6.7;1.8;14.49;4.6;19.58;24.28;38.620883387106;54.4965746411607;"27/03/1971"
0;7.2;2.8;13.99;3.5;18.71;34.57;52.917030021991;71.9530905392831;"28/03/1971"
3.056;8.3;3.8;12.1;1.8;19.96;46.99;63.5604000898628;86.7957198072766;"29/03/1971"
32.56;8.826;7.1;10.3;2.2;4.46;84.46;86.7194221989855;97.5450880284496;"30/03/1971"
7.126;9.1;5.9;11.2;2.5;16.94;76.29;79.1198678925418;98.4841088491371;"31/03/1971"
4.637;8.2;5.1;10.3;1.6;3.871;80.05;87.034314167692;100;"01/04/1971"
0;9;5.3;13.1;1.338;11.3;71.09;82.2119808583551;100;"02/04/1971"
22.5;10.2;8.1;11.59;3.491;9.379;81.68;95.8908598059537;100;"03/04/1971"
0;11.1;8.303;14.7;2.6;14;58.68;73.1223295714188;88.2429684708612;"04/04/1971"
0;13.2;9.6;17.5;1.2;16.29;64.82;85.1990774117174;100;"05/04/1971"
0;12.6;10.3;15.6;2.9;18.86;67.36;93.4397322218847;100;"06/04/1971"
0;11.6;11;14.22;4.2;15.49;76.14;92.3838224631034;96.135051942894;"07/04/1971"
4.637;12.9;12.6;13.5;5.3;3.545;92.07;94.4129394857412;96.2885045457226;"08/04/1971"
29.35;12;10.1;12.8;4;5.801;88.56;99.5504396657855;100;"09/04/1971"
0.9294;11.6;11.5;12.55;2.948;2.999;83.9;89.7944024844812;90.3908448849382;"10/04/1971"
34.49;11.5;10.3;12.4;4;2.793;77.99;90.3908448849382;97.9056691251021;"11/04/1971"
5.068;12.1;10.4;13.3;3;3.871;79.51;88.5978636891412;99.1790644124325;"12/04/1971"
9.747;11.8;8.1;15.3;1.4;15.2;62.3;79.8062331545685;100;"13/04/1971"
4.637;10.7;9.3;13.1;1.2;9.885;83.07;96.7063631123748;100;"14/04/1971"
0;11.7;8.8;14.5;2.6;18.38;66.1;80.1932271865735;97.3641817697409;"15/04/1971"
9.027;10.08;8.1;13;2.6;7.152;79.3;97.8131951681674;100;"16/04/1971"
0;11.1;8.8;13.5;6.788;13.4;58.92;72.9373034338393;85.1019078794498;"17/04/1971"
0.08327;12.3;8.3;16.2;3.7;19.77;58.74;69.7206585727905;91.1047290114477;"18/04/1971"
0;12.5;6.9;18.1;2.5;21.61;53;73.2741584304232;100;"19/04/1971"
0;11.7;9.7;14.4;1.937;11.85;75.84;88.0999356172379;100;"20/04/1971"
0;13.4;10.79;16.8;4.4;23.72;55.89;66.6326629080604;79.1413919706539;"21/04/1971"
0;14.57;10.9;18.7;5.1;23.98;39.98;53.3274678261341;67.8387006937789;"22/04/1971"
0;14.5;9;20.54;2.5;16.53;54.6;74.6239297499167;100;"23/04/1971"
0;15.8;12;19.6;0.8062;13.4;65.9;79.6681423140199;100;"24/04/1971"
4.637;12.4;9.3;12.25;3;5.319;86.32;85.5748303756225;100;"25/04/1971"
6.8;9.1;4.5;11.84;1;5.011;65.01;77.8505651990786;100;"26/04/1971"
0;10.1;6.348;14.1;1.6;27.97;55.71;64.4797707972691;83.2243592210696;"27/04/1971"
6.408;11.3;7.3;13.9;2.3;13.58;65.18;74.1662675469754;97.1248743551109;"28/04/1971"
12.82;7.308;5.6;9.305;1.723;2.396;85.11;90.6511850150373;100;"29/04/1971"
7.691;7.958;5;12.6;2.3;5.403;68.56;91.9244567827621;100;"30/04/1971"
0;10.77;6.591;13.7;2.5;16.76;75.26;85.4883055655263;100;"01/05/1971"
0;11.3;8.9;14.1;1.3;17.15;71.61;81.9809308926439;96.2787381307017;"02/05/1971"
